"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",4,"36.4%","63.6%","100.0%","100%","-",4,3,50,18,"73.0%","13.6%","0%",65,152,1.5,0.9,"2.8%",110,"5.6%","10.9%",1.44,0.33
"Azir","Middle",4,"36.4%","36.4%","72.7%","50%","-",2,5,14,3.2,"76.2%","15.2%","25%",-4,-1,7.3,8.9,"29.1%",564,"36.8%","24.4%",0.56,0.4
"Bard","Support",4,"36.4%","0.0%","36.4%","25%","-",3,10,10,1.3,"65.0%","25.0%","25%",18,167,-8.3,0.5,"2.1%",159,"11.8%","10.6%",1.57,0.37
"Braum","Support",9,"81.8%","0.0%","81.8%","22%","-",1,26,34,1.3,"61.4%","22.6%","11%",-75,-227,2.7,1.4,"5.5%",118,"7.7%","11.3%",1.51,0.36
"Cassiopeia","Middle",1,"9.1%","0.0%","9.1%","0%","-",2,5,4,1.2,"54.5%","19.2%","0%",-255,-192,-11,7.4,"20.8%",481,"19.2%","19.4%",0.58,0.33
"Ekko","Top",8,"72.7%","27.3%","100.0%","75%","-",17,10,39,5.6,"63.6%","18.9%","38%",-75,-51,-6,7.3,"25.6%",345,"19.6%","21.0%",0.51,0.18
"Elise","Jungle",7,"63.6%","0.0%","63.6%","57%","-",13,15,45,3.9,"77.3%","20.8%","14%",-293,-356,-4.6,3.9,"13.0%",283,"14.4%","18.7%",0.93,0.59
"Ezreal","ADC",2,"18.2%","0.0%","18.2%","0%","-",4,6,9,2.2,"100.0%","16.7%","0%",94,34,7,8.8,"29.9%",631,"34.6%","25.3%",0.6,0.27
"Gangplank","Middle",2,"18.2%","9.1%","36.4%","100%","-",10,1,21,31,"86.1%","7.7%","50%",355,-147,9,9.8,"31.4%",589,"30.2%","26.9%",0.57,0.24
"Gangplank","Top",1,"9.1%","9.1%","36.4%","0%","-",3,5,6,1.8,"81.8%","19.2%","0%",68,-248,-7,8.6,"31.0%",911,"36.4%","27.0%",0.51,0.27
"Gragas","Jungle",1,"9.1%","45.5%","63.6%","0%","-",0,2,2,1,"66.7%","14.3%","0%",-1408,-455,-12,3,"11.1%",203,"14.6%","17.4%",0.92,0.33
"Gragas","Top",1,"9.1%","45.5%","63.6%","0%","-",0,2,1,0.5,"50.0%","16.7%","0%",295,-88,14,7.3,"21.5%",314,"22.0%","20.8%",0.49,0.24
"Graves","Jungle",6,"54.5%","27.3%","81.8%","50%","-",24,13,24,3.7,"75.0%","23.2%","67%",226,382,5.5,4.6,"15.6%",319,"19.1%","19.8%",0.65,0.67
"Jhin","ADC",3,"27.3%","0.0%","27.3%","67%","-",10,5,12,4.4,"81.5%","21.7%","33%",142,174,1.3,7.5,"23.8%",467,"23.8%","23.3%",0.43,0.15
"Kalista","ADC",5,"45.5%","0.0%","45.5%","40%","-",15,8,16,3.9,"75.6%","19.5%","0%",-254,-221,-5,8,"27.9%",308,"21.3%","23.7%",0.42,0.24
"Kennen","Top",2,"18.2%","0.0%","18.2%","50%","-",2,6,6,1.3,"72.7%","28.6%","0%",48,578,16.5,8.8,"27.5%",450,"28.5%","23.9%",0.47,0.17
"Kindred","Jungle",5,"45.5%","27.3%","72.7%","40%","-",8,14,23,2.2,"79.5%","27.5%","40%",154,-28,1.4,4.1,"14.9%",254,"16.1%","19.9%",0.71,0.6
"LeBlanc","Middle",1,"9.1%","45.5%","54.5%","100%","-",3,0,4,7,"50.0%","0.0%","100%",286,89,0,7.8,"22.7%",477,"26.4%","21.1%",0.56,0.33
"Lee Sin","Jungle",1,"9.1%","0.0%","9.1%","100%","-",3,2,6,4.5,"75.0%","100.0%","100%",440,61,-4,3.8,"11.4%",177,"9.3%","18.2%",1.05,0.43
"Lissandra","Middle",4,"36.4%","0.0%","36.4%","0%","-",10,12,4,1.2,"63.6%","21.8%","50%",58,137,8,9,"28.6%",347,"24.4%","25.2%",0.55,0.1
"Lucian","ADC",7,"63.6%","0.0%","63.6%","86%","-",22,7,50,10.3,"72.7%","15.2%","14%",72,52,3.6,9.6,"31.5%",441,"24.6%","25.7%",0.42,0.31
"Malzahar","Middle",2,"18.2%","0.0%","18.2%","50%","-",5,6,7,2,"80.0%","28.6%","0%",-97,-52,-12,7.7,"24.9%",396,"26.0%","21.9%",0.66,0.18
