"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"ahq eSports Club",3,0,3,34,16,50,0.32,0.65,-2.36,"-12.0%",,,-2352,"0%","33%","0%",,"100%","33%","33%",,"0%","0%","49.0%","44.5%",3.94,0.71,1.34
"Flash Wolves",6,6,0,36.1,106,32,3.31,0.64,2.18,"13.6%",,,2436,"100%","83%","100%",,"17%","50%","71%",,"83%","75%","50.9%","55.4%",3.71,0.89,1.71
"Machi Esports",8,3,5,36.9,55,89,0.62,0.49,-0.68,"-3.6%",,,-1152,"13%","50%","50%",,"70%","50%","36%",,"25%","50%","48.5%","48.8%",3.82,0.79,1.69
"Taipei Assassins",5,2,3,36.2,33,39,0.85,0.4,-0.16,"-3.4%",,,330,"80%","20%","20%",,"22%","60%","56%",,"20%","33%","51.9%","48.7%",3.9,0.89,1.72
