"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Amazing","Origen","Jungle",12,"58%",,37,19,71,5.7,"64.3%","22.0%","13.8%","50%",105,64,-1.7,4.4,"14.4%",340,"16.6%",,222,"19.1%",,0.84,0.18,0.59
"Cabochard","Team Vitality","Top",4,"25%",,5,8,17,2.8,"78.6%","17.9%","18.6%","25%",119,356,5,7.5,"23.6%",273,"18.7%",,209,"20.7%",,0.51,0.11,0.1
"Emperor","G2 Esports","ADC",8,"75%",,20,14,45,4.6,"61.3%","18.9%","15.2%","0%",-299,-350,-13.3,9,"30.0%",509,"23.0%",,292,"23.7%",,0.44,0.07,0.21
"FEBIVEN","Fnatic","Middle",13,"54%",,32,19,52,4.4,"67.7%","25.8%","16.5%","38%",5,266,5.8,9.4,"27.5%",441,"25.6%",,273,"23.2%",,0.47,0.09,0.16
"FORG1VEN","H2k-Gaming","ADC",10,"40%",,22,16,39,3.8,"72.6%","26.2%","16.7%","20%",98,251,7.4,10.8,"34.6%",546,"30.8%",,308,"27.4%",,0.52,0.03,0.3
"Fox","Unicorns of Love","Middle",3,"0%",,8,9,18,2.9,"76.5%","23.5%","14.8%","0%",98,-114,1.7,8.4,"26.8%",537,"25.5%",,248,"22.4%",,0.34,0.06,0.16
"Gamsu","Fnatic","Top",13,"54%",,23,25,64,3.5,"70.2%","18.5%","21.7%","23%",-14,20,3.2,7.5,"22.6%",307,"17.4%",,239,"20.5%",,0.45,0.09,0.16
"Hjarnan","Team Vitality","ADC",4,"25%",,9,9,14,2.6,"82.1%","32.1%","20.9%","0%",-49,-146,1.5,10.1,"34.4%",401,"27.2%",,279,"27.4%",,0.46,0.04,0.25
"Hybrid","G2 Esports","Support",8,"75%",,4,19,70,3.9,"69.8%","3.8%","20.7%","13%",112,281,0.6,1.1,"4.1%",141,"6.4%",,149,"11.8%",,1.28,0.25,0.39
"Hylissang","Unicorns of Love","Support",3,"0%",,0,16,14,0.9,"41.2%","0.0%","26.2%","0%",-57,93,-1.3,1.1,"4.5%",96,"4.9%",,117,"10.6%",,1.39,0.31,0.37
"Jankos","H2k-Gaming","Jungle",10,"40%",,15,23,44,2.6,"70.2%","17.9%","24.0%","40%",-6,-168,-5.9,4.1,"12.0%",301,"17.3%",,209,"18.8%",,0.87,0.23,0.62
"kaSing","Team Vitality","Support",4,"25%",,2,10,18,2,"71.4%","7.1%","23.3%","0%",53,173,0,1.2,"4.3%",105,"7.3%",,108,"10.5%",,1.72,0.46,0.56
"Kikis","G2 Esports","Top",8,"75%",,21,18,45,3.7,"62.3%","19.8%","19.6%","38%",85,38,0.8,7.4,"23.9%",470,"22.3%",,259,"20.9%",,0.49,0.08,0.14
"Klaj","Fnatic","Support",13,"54%",,1,32,95,3,"77.4%","0.8%","27.8%","38%",-106,-22,0,1.2,"4.0%",65,"3.7%",,119,"10.1%",,1.48,0.28,0.32
"Loulex","Unicorns of Love","Jungle",3,"0%",,6,10,13,1.9,"55.9%","17.6%","16.4%","0%",163,456,8,3.9,"11.1%",235,"12.3%",,206,"19.0%",,0.96,0.11,0.37
"Mithy","Origen","Support",12,"58%",,4,33,114,3.6,"70.2%","2.4%","23.9%","25%",-50,0,0.6,1.4,"5.1%",124,"6.1%",,140,"11.8%",,1.49,0.35,0.39
"nukeduck","Team Vitality","Middle",4,"25%",,6,9,17,2.6,"82.1%","21.4%","20.9%","0%",-37,-193,-4.5,8.9,"26.7%",466,"33.2%",,245,"23.9%",,0.46,0.11,0.22
"Odoamne","H2k-Gaming","Top",10,"40%",,15,14,49,4.6,"76.2%","17.9%","14.6%","30%",-50,-351,-10.2,7.4,"24.4%",356,"20.5%",,225,"20.4%",,0.42,0.02,0.1
"Perkz","G2 Esports","Middle",8,"75%",,32,20,36,3.4,"64.2%","30.2%","21.7%","0%",-103,-162,-0.8,8.5,"26.7%",570,"26.0%",,285,"22.7%",,0.48,0.07,0.15
"PowerOfEvil","Origen","Middle",10,"60%",,32,24,67,4.1,"69.7%","22.5%","20.2%","30%",-134,-141,-6.6,8.1,"26.9%",622,"29.6%",,262,"22.4%",,0.41,0.09,0.2
