"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Fnatic",13,7,6,32.5,124,115,1.08,0.56,-0.04,"0.3%",,,-213,"54%","31%","23%",,"28%","31%","50%",,"38%","50%","50.9%","51.8%",3.77,0.72,1.42
"G2 Esports",8,6,2,33.5,106,92,1.15,0.74,0.11,"3.5%",,,20,"38%","75%","75%",,"67%","63%","65%",,"63%","64%","49.3%","54.0%",3.48,0.59,1.19
"H2k-Gaming",10,4,6,36.7,84,96,0.88,0.49,0.13,"0.1%",,,613,"60%","80%","80%",,"63%","70%","47%",,"50%","46%","49.8%","47.3%",3.89,0.79,1.69
"Origen",12,7,5,38.9,168,138,1.22,0.65,0.14,"0.2%",,,-277,"67%","33%","25%",,"55%","42%","54%",,"58%","60%","49.7%","49.0%",3.67,0.81,1.65
"Team Vitality",4,1,3,35.6,28,43,0.65,0.5,-0.83,"-6.7%",,,-630,"25%","50%","75%",,"67%","50%","31%",,"25%","20%","49.3%","44.7%",3.99,0.94,1.67
"Unicorns of Love",3,0,3,37.5,34,61,0.56,0.84,-0.1,"-3.0%",,,773,"0%","33%","67%",,"20%","67%","33%",,"0%","20%","50.5%","51.6%",3.74,0.75,1.31
