"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",2,"2.2%","37.4%","50.5%","50%","50%",1,5,20,4.2,"72.4%","17.2%","50%",-98,-139,-9.5,4.9,"15.3%",237,"13.7%","16.8%",0.36,0.22
"Aatrox","Middle",2,"2.2%","37.4%","50.5%","50%","50%",5,4,7,3,"85.7%","21.1%","50%",340,226,10,9.5,"26.4%",415,"36.5%","27.0%",0.42,0.14
"Aatrox","Top",8,"8.8%","37.4%","50.5%","50%","88%",16,18,35,2.8,"48.6%","15.1%","0%",-221,-115,-0.8,8.3,"26.6%",369,"20.5%","22.6%",0.46,0.11
"Akali","Middle",4,"4.4%","28.6%","39.6%","50%","25%",14,11,9,2.1,"48.9%","17.7%","0%",235,49,4,8.5,"25.5%",410,"23.3%","22.9%",0.42,0.14
"Akali","Top",6,"6.6%","28.6%","39.6%","33%","0%",22,21,19,2,"47.7%","21.6%","0%",232,177,5.3,7.2,"21.7%",388,"20.6%","20.4%",0.51,0.13
"Alistar","Support",35,"38.5%","27.5%","65.9%","60%","31%",23,90,335,4,"72.2%","23.3%","31%",91,4,1.1,1.7,"5.9%",134,"7.3%","11.2%",1.39,0.28
"Ashe","ADC",6,"6.6%","4.4%","11.0%","50%","67%",9,8,33,5.3,"77.8%","13.6%","0%",-29,-26,6,9.9,"30.7%",463,"28.0%","23.7%",0.34,0.35
"Azir","Middle",2,"2.2%","0.0%","2.2%","50%","100%",11,6,13,4,"70.6%","18.2%","0%",48,201,2.5,8.8,"27.1%",575,"26.8%","27.8%",0.36,0.18
"Bard","Support",1,"1.1%","0.0%","1.1%","0%","100%",0,6,3,0.5,"30.0%","28.6%","0%",-307,-184,-15,0.7,"4.0%",151,"8.0%","6.6%",1.74,0.47
"Blitzcrank","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",38,"41.8%","12.1%","53.8%","39%","63%",20,120,277,2.5,"66.9%","23.4%","13%",-37,-110,3.8,1.9,"6.7%",139,"8.7%","11.9%",1.32,0.29
"Caitlyn","ADC",9,"9.9%","5.5%","15.4%","33%","56%",42,15,31,4.9,"76.0%","14.3%","22%",228,-7,6.2,9.7,"34.2%",614,"34.5%","29.7%",0.33,0.27
"Camille","Jungle",7,"7.7%","9.9%","20.9%","100%","86%",22,11,47,6.3,"62.7%","23.4%","71%",11,-209,2.6,5.2,"15.1%",237,"12.8%","17.6%",0.32,0.36
"Camille","Top",3,"3.3%","9.9%","20.9%","33%","67%",8,15,18,1.7,"56.5%","31.9%","0%",-436,-207,-13.7,6.7,"23.9%",362,"18.7%","19.9%",0.5,0.13
"Cassiopeia","ADC",12,"13.2%","51.6%","68.1%","83%","25%",49,24,73,5.1,"62.6%","21.1%","42%",-123,20,-5.7,8.6,"26.7%",422,"22.6%","23.2%",0.4,0.14
"Cassiopeia","Middle",3,"3.3%","51.6%","68.1%","67%","0%",12,5,8,4,"57.1%","16.1%","0%",-20,-550,1,8.7,"27.8%",346,"21.9%","23.9%",0.44,0.29
"Corki","Middle",6,"6.6%","2.2%","8.8%","33%","17%",19,10,19,3.8,"76.0%","14.7%","0%",-28,10,-2.3,9.5,"30.0%",523,"37.2%","27.7%",0.45,0.26
"Draven","ADC",4,"4.4%","6.6%","11.0%","100%","25%",17,6,21,6.3,"55.1%","19.4%","25%",827,334,12.8,9,"28.0%",427,"22.4%","26.1%",0.35,0.24
"Ekko","Jungle",2,"2.2%","1.1%","5.5%","50%","100%",4,9,14,2,"52.9%","30.0%","50%",-356,-284,-10,4.8,"15.6%",287,"13.2%","17.4%",0.42,0.37
"Ekko","Middle",2,"2.2%","1.1%","5.5%","0%","50%",0,6,3,0.5,"25.0%","21.4%","0%",-199,-32,-7,8.3,"25.9%",275,"20.8%","22.6%",0.47,0.08
"Elise","Jungle",8,"8.8%","8.8%","17.6%","50%","75%",13,19,32,2.4,"65.2%","23.8%","38%",-335,-434,-6.6,4.9,"13.8%",247,"15.2%","17.0%",0.8,0.44
"Evelynn","Jungle",4,"4.4%","11.0%","15.4%","25%","25%",14,16,14,1.8,"68.3%","21.3%","25%",-546,-198,-7.5,4.7,"12.7%",396,"27.2%","20.3%",0.43,0.09
"Ezreal","ADC",35,"38.5%","17.6%","56.0%","40%","43%",120,52,147,5.1,"65.8%","11.4%","23%",245,57,3.2,9,"29.6%",663,"34.4%","27.2%",0.4,0.19
"Fiora","Top",1,"1.1%","1.1%","2.2%","0%","100%",1,4,0,0.3,"20.0%","25.0%","0%",-349,-349,-10,8.3,"24.9%",239,"25.9%","23.6%",0.45,0.1
"Galio","Middle",9,"9.9%","33.0%","53.8%","89%","56%",39,12,86,10.4,"79.6%","17.1%","22%",-169,22,-7,7.8,"23.8%",537,"26.7%","21.3%",0.51,0.13
"Galio","Support",10,"11.0%","33.0%","53.8%","70%","40%",14,29,86,3.4,"72.5%","22.8%","30%",112,79,4.5,1.9,"6.5%",178,"10.1%","11.7%",1.24,0.25
"Gangplank","Middle",1,"1.1%","1.1%","2.2%","100%","100%",4,1,10,14,"58.3%","8.3%","0%",32,-247,-8,8,"28.0%",627,"24.5%","23.3%",0.34,0.19
"Gnar","Top",2,"2.2%","1.1%","3.3%","50%","50%",6,5,17,4.6,"69.7%","15.6%","0%",-654,-374,-9.5,7.1,"23.9%",412,"20.5%","21.3%",0.42,0.19
"Gragas","Jungle",16,"17.6%","8.8%","31.9%","44%","50%",41,49,101,2.9,"68.6%","23.1%","38%",-222,-94,-2.3,4.5,"13.2%",307,"17.6%","16.5%",0.45,0.28
"Gragas","Support",4,"4.4%","8.8%","31.9%","0%","25%",0,10,8,0.8,"30.8%","17.9%","0%",-388,-131,-10.8,1.2,"5.5%",170,"11.6%","7.3%",1.39,0.38
"Gragas","Top",1,"1.1%","8.8%","31.9%","0%","100%",0,4,3,0.8,"75.0%","33.3%","0%",-1281,-891,-28,6,"18.9%",192,"22.8%","17.2%",0.46,0.16
"Graves","Jungle",1,"1.1%","0.0%","1.1%","100%","100%",3,0,2,5,"83.3%","0.0%","0%",-138,-537,-3,6.3,"19.4%",156,"12.4%","20.4%",0.33,0.57
"Illaoi","Top",1,"1.1%","0.0%","1.1%","100%","100%",5,0,6,11,"61.1%","0.0%","0%",961,344,14,9.3,"32.1%",924,"39.9%","29.5%",0.55,0.15
"Irelia","Middle",5,"5.5%","46.2%","60.4%","0%","60%",6,17,8,0.8,"53.8%","21.0%","40%",-188,-352,-2.2,8.6,"29.0%",252,"19.6%","24.8%",0.41,0.19
"Irelia","Top",8,"8.8%","46.2%","60.4%","75%","50%",30,23,43,3.2,"57.9%","35.9%","38%",66,49,7.1,8.6,"26.8%",352,"21.2%","23.6%",0.42,0.18
"Ivern","Jungle",4,"4.4%","1.1%","5.5%","25%","25%",2,5,24,5.2,"74.3%","11.1%","75%",-19,169,-0.5,4.5,"11.6%",116,"8.0%","15.9%",0.42,0.23
"Janna","Support",2,"2.2%","0.0%","2.2%","50%","50%",0,6,12,2,"85.7%","24.0%","50%",364,69,-7.5,0.4,"2.3%",140,"11.2%","8.9%",1,0.25
"Jarvan IV","Jungle",16,"17.6%","17.6%","47.3%","44%","38%",22,50,153,3.5,"91.1%","21.7%","50%",-129,-306,-6.5,4.5,"13.0%",189,"11.0%","16.2%",0.75,0.38
"Jarvan IV","Support",1,"1.1%","17.6%","47.3%","0%","0%",1,5,3,0.8,"57.1%","22.7%","0%",-824,48,-18,0.6,"2.9%",202,"12.1%","7.3%",1.02,0.37
"Jarvan IV","Top",10,"11.0%","17.6%","47.3%","60%","30%",26,29,78,3.6,"73.2%","22.1%","10%",-192,-218,-1.5,7.3,"22.6%",324,"16.8%","20.2%",0.39,0.15
"Jax","Top",5,"5.5%","5.5%","11.0%","80%","100%",14,9,9,2.6,"32.9%","21.4%","20%",232,27,5.4,9.2,"28.9%",431,"27.6%","25.2%",0.37,0.06
"Jayce","ADC",1,"1.1%","49.5%","73.6%","0%","0%",0,2,3,1.5,"37.5%","11.1%","100%",160,-49,-3,9.4,"31.3%",195,"15.2%","24.8%",0.37,0.12
"Jayce","Middle",8,"8.8%","49.5%","73.6%","13%","50%",12,19,22,1.8,"60.7%","17.6%","38%",93,94,1.5,8.1,"24.1%",500,"31.9%","22.3%",0.46,0.26
"Jayce","Top",13,"14.3%","49.5%","73.6%","46%","38%",34,29,86,4.1,"71.0%","19.0%","54%",554,237,13.9,8.4,"26.3%",574,"29.8%","24.9%",0.42,0.22
"Jinx","ADC",4,"4.4%","3.3%","7.7%","75%","50%",17,6,12,4.8,"67.4%","19.4%","0%",-94,-162,4,10.1,"34.4%",563,"30.1%","27.7%",0.25,0.29
"Kai'Sa","ADC",26,"28.6%","12.1%","40.7%","50%","58%",82,49,82,3.3,"57.3%","16.1%","23%",-146,-93,-1.3,9.4,"31.3%",410,"25.2%","26.2%",0.31,0.26
"Kalista","ADC",16,"17.6%","23.1%","40.7%","69%","25%",101,35,97,5.7,"75.6%","16.7%","31%",88,-16,1.1,9,"31.7%",468,"23.9%","27.3%",0.34,0.32
"Karma","Support",1,"1.1%","3.3%","4.4%","0%","100%",0,2,4,2,"66.7%","16.7%","0%",98,-5,-14,0.5,"2.5%",197,"14.0%","8.0%",1.04,0.19
"Karthus","ADC",1,"1.1%","40.7%","57.1%","0%","100%",2,2,0,1,"66.7%","15.4%","0%",-206,452,-16,8.5,"28.5%",407,"38.0%","27.9%",0.32,0.14
"Karthus","Jungle",12,"13.2%","40.7%","57.1%","67%","17%",54,27,54,4,"69.2%","22.7%","25%",781,886,19.1,6.7,"18.7%",481,"24.4%","21.5%",0.35,0.23
"Karthus","Middle",2,"2.2%","40.7%","57.1%","50%","50%",12,9,15,3,"87.1%","29.0%","100%",204,-62,11.5,7.9,"22.3%",884,"36.5%","23.5%",0.35,0.1
"Kassadin","Middle",1,"1.1%","1.1%","2.2%","0%","100%",5,2,5,5,"55.6%","11.1%","0%",-637,-273,-19,7.2,"26.6%",440,"22.4%","24.7%",0.22,0.24
"Kayle","Top",1,"1.1%","0.0%","1.1%","100%","0%",2,1,3,5,"45.5%","33.3%","100%",954,739,17,9.3,"28.6%",503,"29.2%","22.6%",0.41,0.21
"Kayn","Jungle",3,"3.3%","0.0%","3.3%","0%","67%",2,15,7,0.6,"47.4%","33.3%","0%",-484,-361,-4.3,5.3,"15.0%",182,"11.8%","18.1%",0.27,0.27
"Kennen","Top",13,"14.3%","6.6%","20.9%","54%","62%",38,38,62,2.6,"58.8%","23.9%","23%",400,208,6.2,7.6,"24.9%",490,"25.7%","23.0%",0.47,0.19
"Kha'Zix","Jungle",6,"6.6%","3.3%","9.9%","17%","67%",14,16,21,2.2,"60.3%","17.4%","33%",-59,-197,-5,5.2,"17.6%",315,"18.4%","19.2%",0.58,0.31
"Kindred","Jungle",15,"16.5%","16.5%","33.0%","67%","27%",57,34,92,4.4,"71.0%","20.9%","53%",406,321,4.3,5.8,"18.3%",398,"20.1%","20.8%",0.34,0.43
"Kled","Top",1,"1.1%","1.1%","2.2%","0%","100%",2,3,1,1,"60.0%","25.0%","0%",187,1073,2,7,"21.1%",323,"22.1%","22.4%",0.38,0.14
"LeBlanc","Middle",10,"11.0%","20.9%","31.9%","50%","60%",35,23,29,2.8,"55.2%","16.9%","10%",-243,-192,-6.2,7.5,"20.9%",380,"22.4%","21.2%",0.33,0.25
"Lee Sin","Jungle",17,"18.7%","5.5%","24.2%","65%","65%",44,41,124,4.1,"66.7%","19.7%","24%",-7,73,0.4,4.6,"13.5%",221,"11.5%","17.0%",0.76,0.3
"Lissandra","ADC",2,"2.2%","20.9%","60.4%","0%","50%",1,5,1,0.4,"22.2%","17.2%","0%",-333,-37,-13.5,7.8,"26.6%",216,"19.1%","21.6%",0.42,0.11
"Lissandra","Middle",31,"34.1%","20.9%","60.4%","61%","26%",67,73,218,3.9,"65.8%","20.8%","10%",92,24,2.4,8.5,"24.7%",446,"24.5%","21.9%",0.39,0.2
"Lissandra","Support",2,"2.2%","20.9%","60.4%","50%","0%",1,11,18,1.7,"55.9%","44.0%","0%",-528,82,-11,1,"6.4%",237,"11.0%","8.9%",1.05,0.42
"Lissandra","Top",1,"1.1%","20.9%","60.4%","0%","0%",0,4,2,0.5,"28.6%","25.0%","0%",-522,-700,-20,6.6,"21.5%",181,"15.2%","19.1%",0.43,0.04
"Lucian","ADC",17,"18.7%","75.8%","95.6%","35%","29%",47,38,65,2.9,"60.5%","15.8%","24%",-25,28,2.7,8.7,"29.6%",455,"27.3%","25.4%",0.32,0.23
"Lucian","Middle",1,"1.1%","75.8%","95.6%","0%","100%",0,5,2,0.4,"66.7%","27.8%","0%",514,311,22,8.3,"27.6%",591,"28.3%","22.4%",0.42,0.46
"Lulu","Middle",3,"3.3%","0.0%","4.4%","100%","67%",9,4,30,9.8,"84.8%","36.4%","67%",174,-21,-7.7,7.4,"20.6%",287,"14.6%","19.6%",0.45,0.09
"Lulu","Support",1,"1.1%","0.0%","4.4%","100%","100%",3,0,11,14,"77.8%","0.0%","0%",-132,-306,2,0.6,"2.1%",138,"6.0%","11.0%",1.06,0.49
"Malphite","Top",2,"2.2%","1.1%","3.3%","100%","50%",0,5,15,3,"45.5%","33.3%","0%",-1188,-618,-19,5.5,"14.6%",249,"16.2%","14.6%",0.49,0.18
"Maokai","Top",1,"1.1%","0.0%","1.1%","0%","100%",1,2,1,1,"50.0%","16.7%","100%",-916,-30,-29,6.5,"20.8%",474,"32.7%","19.6%",0.61,0.2
"Morgana","Support",16,"17.6%","13.2%","30.8%","38%","81%",13,49,89,2.1,"64.6%","26.5%","25%",-82,-38,-3.6,0.7,"2.7%",173,"11.0%","9.5%",1.27,0.36
"Nami","Support",1,"1.1%","0.0%","1.1%","0%","100%",0,3,3,1,"60.0%","18.8%","0%",-610,-728,1,0.4,"1.4%",126,"13.6%","5.9%",1.16,0.23
"Neeko","ADC",1,"1.1%","6.6%","12.1%","0%","100%",3,3,6,3,"75.0%","15.0%","0%",-72,132,7,9,"32.6%",386,"17.0%","28.8%",0.35,0.26
"Neeko","Support",1,"1.1%","6.6%","12.1%","100%","100%",0,2,7,3.5,"63.6%","28.6%","0%",-410,-393,-12,0.7,"4.1%",287,"11.9%","10.6%",1.07,0.31
"Neeko","Top",3,"3.3%","6.6%","12.1%","67%","0%",11,8,6,2.1,"60.7%","25.8%","33%",981,189,23.7,9.2,"29.7%",509,"28.5%","29.1%",0.46,0.22
"Nidalee","Jungle",1,"1.1%","0.0%","1.1%","100%","0%",3,0,9,12,"92.3%","0.0%","0%",-231,142,10,5.9,"11.7%",361,"19.5%","19.3%",0.84,0.46
"Nocturne","Jungle",4,"4.4%","8.8%","14.3%","75%","75%",24,8,23,5.9,"62.7%","21.1%","75%",20,-257,-5.3,5.2,"15.6%",300,"15.5%","17.8%",0.38,0.33
"Nocturne","Middle",1,"1.1%","8.8%","14.3%","100%","0%",5,4,11,4,"64.0%","23.5%","0%",-207,-250,-8,7.4,"26.8%",441,"19.9%","21.8%",0.29,0.12
"Nunu & Willump","Jungle",1,"1.1%","0.0%","1.1%","100%","100%",0,2,9,4.5,"75.0%","40.0%","100%",-103,-228,-5,4.9,"16.5%",150,"7.1%","15.9%",0.45,0.24
"Olaf","Jungle",10,"11.0%","14.3%","25.3%","80%","60%",19,17,81,5.9,"65.8%","17.3%","20%",265,339,11.9,5.6,"16.1%",283,"15.0%","17.3%",0.59,0.4
"Orianna","Middle",3,"3.3%","2.2%","5.5%","0%","100%",6,5,17,4.6,"79.3%","10.4%","33%",206,164,9,9,"28.8%",420,"26.8%","24.6%",0.44,0.17
"Ornn","Support",1,"1.1%","0.0%","5.5%","100%","0%",2,0,5,7,"38.9%","0.0%","0%",-380,0,12,2.3,"7.6%",171,"8.1%","11.8%",1.1,0.12
"Ornn","Top",4,"4.4%","0.0%","5.5%","0%","25%",5,7,9,2,"51.9%","11.3%","0%",-340,-52,-6.3,7.1,"23.4%",300,"21.4%","20.0%",0.43,0.08
"Pantheon","Top",1,"1.1%","0.0%","1.1%","0%","0%",1,6,2,0.5,"30.0%","28.6%","100%",-926,-1155,-15,6.5,"25.0%",278,"14.6%","18.6%",0.94,0.23
"Poppy","Top",6,"6.6%","1.1%","7.7%","33%","67%",5,18,12,0.9,"37.8%","20.0%","33%",-156,84,0.2,7.4,"21.9%",334,"20.9%","20.9%",0.39,0.1
"Pyke","Support",5,"5.5%","8.8%","14.3%","80%","80%",18,9,35,5.9,"60.2%","13.6%","60%",284,-46,1,2,"7.5%",208,"9.2%","15.7%",1.28,0.53
"Rakan","Support",13,"14.3%","6.6%","20.9%","54%","31%",2,23,95,4.2,"70.3%","18.7%","31%",-294,48,-7.4,0.6,"2.6%",111,"6.9%","9.6%",1.24,0.4
"Rek'Sai","Jungle",13,"14.3%","8.8%","23.1%","54%","54%",36,33,55,2.8,"59.9%","22.8%","38%",223,207,4.3,5.4,"15.7%",253,"13.5%","18.2%",0.47,0.39
"Renekton","Top",5,"5.5%","7.7%","13.2%","20%","80%",10,17,18,1.6,"54.9%","22.4%","20%",132,-69,1.6,8.2,"24.6%",306,"18.6%","22.5%",0.43,0.17
