"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Absolute","SuperMassive Esports","Support",1,"100%","0%",2,6,19,3.5,"87.5%","8.3%","27.3%","0%",-4,333,3,1.2,"3.2%",222,"7.9%",,104,"8.9%",,1.12,0.37,0.07
"Algos","HWA Gaming","Support",5,"40%","60%",4,13,49,4.1,"77.9%","5.9%","17.6%","20%",-98,-44,0.6,1.3,"5.0%",166,"9.6%",,103,"9.6%",,1.47,0.43,0.34
"Appen","HWA Gaming","Jungle",4,"25%","25%",7,12,16,1.9,"76.7%","23.3%","23.5%","25%",-141,63,4.3,6,"16.8%",259,"19.7%",,209,"20.7%",,0.37,0.28,0.18
"Armut","Royal Youth","Top",18,"78%","44%",51,37,111,4.4,"60.9%","19.2%","20.0%","33%",392,139,4.8,7.6,"22.4%",411,"21.4%",,264,"22.0%",,0.45,0.13,0.19
"Auspex","Bursaspor Esports","Support",8,"0%","25%",4,30,33,1.2,"59.7%","6.5%","24.2%","0%",-354,58,-5.4,0.8,"3.7%",135,"8.7%",,94,"10.1%",,1.13,0.31,0.39
"Backlund","Dark Passage","Middle",12,"50%","33%",25,14,45,5,"60.9%","21.7%","12.3%","8%",-51,41,5.5,9.6,"27.6%",419,"27.2%",,269,"24.7%",,0.41,0.13,0.12
"Berentt","Dark Passage","Middle",3,"67%","33%",4,6,12,2.7,"57.1%","14.3%","28.6%","0%",-421,-560,-7.7,8,"21.7%",370,"22.7%",,225,"19.4%",,0.46,0.17,0.12
"Bolulu","Fenerbahçe Esports","Middle",18,"89%","39%",72,27,120,7.1,"65.3%","24.5%","19.7%","28%",129,72,-1.3,8.5,"23.1%",409,"20.4%",,285,"21.7%",,0.44,0.2,0.19
"Brolia","Bursaspor Esports","Top",18,"6%","39%",34,52,48,1.6,"65.1%","27.0%","19.3%","22%",-185,-87,-8.7,7.5,"25.6%",352,"24.8%",,216,"23.5%",,0.53,0.18,0.15
"Closer","Royal Youth","Jungle",18,"78%","61%",59,47,114,3.7,"65.0%","22.2%","25.4%","44%",144,130,4.1,4.9,"14.1%",293,"14.5%",,205,"17.2%",,0.58,0.27,0.34
"Crossman","Bursaspor Esports","Support",4,"25%","50%",1,10,20,2.1,"67.7%","3.2%","19.2%","25%",-15,10,1,1.3,"4.7%",132,"10.4%",,90,"9.3%",,0.73,0.17,0.23
"Crystal","Dark Passage","Jungle",18,"44%","61%",33,44,84,2.7,"70.9%","20.0%","23.7%","17%",-360,-362,-8.4,5,"14.9%",199,"13.0%",,183,"17.0%",,0.69,0.23,0.4
"Doxy","Galakticos","Top",8,"13%","50%",16,24,21,1.5,"56.1%","24.2%","19.8%","0%",-312,-206,-5.7,7.1,"21.9%",277,"19.9%",,199,"20.1%",,0.52,0.24,0.13
