"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Fnatic",11,7,4,32,165,136,1.21,0.86,0.21,"7.9%",53.6,10,212,"27%","64%","64%",,"36%","64%","70%","0%","73%","63%","49.3%","58.5%",3.34,1.42,1.43
"G2 Esports",6,6,0,30,109,53,2.06,0.9,1.56,"14.6%",67,33,2609,"83%","50%","83%",,"83%","50%","53%","50%","67%","71%","50.6%","57.0%",3.8,1.17,1.51
"Origen",10,3,7,30.9,111,153,0.73,0.85,-0.57,"-10.1%",38.4,-8.4,-1427,"30%","50%","30%",,"30%","40%","45%","50%","30%","43%","50.4%","43.0%",3.34,1.15,1.28
"SK Gaming",4,1,3,38.6,45,62,0.73,0.69,-0.53,"-1.7%",50.8,-25.8,-842,"25%","50%","50%",,"75%","50%","68%","0%","25%","50%","48.7%","51.5%",3.31,1.16,1.56
"Splyce",8,4,4,36.6,120,107,1.12,0.78,0.09,"-1.9%",50.2,-0.2,612,"88%","38%","50%",,"38%","50%","30%","100%","38%","44%","51.2%","45.4%",3.58,1.28,1.49
"Team Vitality",3,0,3,28.5,20,60,0.33,0.94,-1.46,"-17.5%",39.8,-39.8,-1748,"67%","33%","0%",,"100%","33%","10%",,"0%","0%","49.0%","38.3%",3.31,1.26,1.01
