"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Alphari","Origen","Top",10,"30%","100%",23,31,51,2.4,"66.7%","20.7%","20.3%","20%",-11,97,0.2,7.5,"24.0%",483,"27.1%",,241,"21.9%",,0.43,0.14,0.16
"Attila","Team Vitality","ADC",3,"0%","33%",3,10,7,1,"50.0%","15.0%","16.7%","33%",-243,-325,-9.7,8.5,"27.4%",411,"24.5%",,245,"24.3%",,0.39,0.12,0.21
"Broxah","Fnatic","Jungle",11,"64%","18%",37,20,76,5.7,"68.5%","22.4%","14.7%","27%",83,120,6,5.8,"16.8%",299,"17.1%",,235,"18.8%",,0.42,0.3,0.3
"Bwipo","Fnatic","Top",11,"64%","36%",30,40,75,2.6,"63.6%","18.2%","29.4%","9%",-327,-142,-8.7,7.3,"22.0%",418,"23.8%",,250,"20.0%",,0.48,0.2,0.15
"Cabochard","Team Vitality","Top",3,"0%","33%",3,8,10,1.6,"65.0%","15.0%","13.3%","33%",634,340,15.7,8.7,"31.9%",384,"24.9%",,269,"26.8%",,0.55,0.22,0.14
"caPs","G2 Esports","Middle",5,"100%","80%",22,9,34,6.2,"65.9%","25.9%","19.6%","40%",-155,-198,-5,8.9,"24.4%",525,"25.2%",,312,"24.4%",,0.35,0.1,0.26
"caPs","G2 Esports","Support",1,"100%","100%",6,0,11,17,"70.8%","25.0%","0.0%","0%",-638,-821,-53,2.2,"8.2%",292,"14.9%",,225,"15.1%",,0.8,0.12,0.32
"Crownshot","SK Gaming","ADC",4,"25%","50%",18,14,13,2.2,"68.9%","40.0%","22.6%","25%",-295,-228,-2.5,9.7,"31.7%",576,"31.3%",,326,"30.2%",,0.39,0.17,0.46
"Dreams","SK Gaming","Support",4,"25%","0%",3,18,31,1.9,"75.6%","6.7%","29.0%","25%",-109,-127,5,1.7,"5.8%",119,"6.2%",,108,"9.6%",,1.37,0.46,0.27
"Humanoid","Splyce","Middle",8,"50%","63%",25,21,47,3.4,"60.0%","20.8%","19.6%","13%",-26,27,-0.4,9.6,"28.8%",568,"28.6%",,296,"24.7%",,0.47,0.16,0.17
"Hylissang","Fnatic","Support",11,"64%","82%",10,34,99,3.2,"66.1%","6.1%","25.0%","9%",5,-195,-7.4,1,"3.5%",157,"8.9%",,134,"10.8%",,1.35,0.39,0.29
"Jactroll","Team Vitality","Support",3,"0%","33%",3,15,9,0.8,"60.0%","15.0%","25.0%","33%",-126,-82,-0.3,1.5,"6.0%",139,"9.0%",,102,"10.3%",,1.18,0.37,0.23
"Jankos","G2 Esports","ADC",1,"100%","100%",3,2,13,8,"66.7%","12.5%","28.6%","0%",451,973,68,8.3,"22.9%",366,"18.6%",,294,"19.8%",,0.36,0.04,0.24
