"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",5,"31.3%","12.5%","43.8%","60%","40%",25,6,28,8.8,"61.6%","10.9%","0%",346,384,12.6,8.9,"28.2%",583,"26.2%","25.3%",0.36,0.33
"Akali","Middle",1,"6.3%","56.3%","68.8%","100%","100%",10,2,8,9,"51.4%","10.5%","0%",282,78,1,7.5,"23.9%",775,"26.7%","25.0%",0.23,0.1
"Akali","Top",1,"6.3%","56.3%","68.8%","0%","100%",1,4,0,0.3,"12.5%","14.8%","0%",-1175,-1398,-16,6.6,"19.5%",254,"16.9%","19.0%",0.38,0.05
"Alistar","Support",8,"50.0%","0.0%","50.0%","63%","38%",10,22,86,4.4,"65.8%","22.7%","0%",8,43,0.4,1.2,"2.5%",176,"8.6%","9.8%",1.49,0.3
"Aphelios","ADC",2,"12.5%","0.0%","12.5%","50%","0%",10,8,16,3.3,"81.3%","26.7%","0%",-596,-171,-1.5,8.9,"37.3%",773,"34.1%","28.3%",0.31,0.39
"Azir","Middle",3,"18.8%","0.0%","18.8%","0%","67%",5,7,15,2.9,"66.7%","14.0%","0%",288,194,4.7,8.8,"27.3%",606,"27.7%","23.4%",0.56,0.35
"Blitzcrank","Support",2,"12.5%","6.3%","18.8%","0%","100%",1,13,17,1.4,"60.0%","21.0%","0%",-45,-94,0,0.9,"1.5%",193,"8.4%","8.2%",1.55,0.24
"Camille","-",0,"0%","25.0%","25.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",1,"6.3%","0.0%","6.3%","0%","0%",4,5,8,2.4,"63.2%","14.3%","0%",-463,-360,-4,5.1,"14.5%",622,"21.9%","17.5%",0.41,0.33
"Galio","Middle",5,"31.3%","37.5%","75.0%","60%","40%",16,14,47,4.5,"75.0%","23.7%","20%",-334,-52,-10,7.1,"20.4%",462,"21.5%","19.5%",0.63,0.28
"Galio","Support",1,"6.3%","37.5%","75.0%","0%","100%",3,8,12,1.9,"75.0%","34.8%","0%",63,136,-3,1,"2.4%",337,"10.8%","10.7%",1.78,0.14
"Gnar","Top",7,"43.8%","37.5%","81.3%","57%","43%",29,22,51,3.6,"66.1%","21.6%","14%",148,-72,-3.6,7.5,"24.0%",558,"25.7%","22.1%",0.4,0.19
"Gragas","Jungle",2,"12.5%","18.8%","37.5%","100%","100%",9,7,25,4.9,"65.4%","20.6%","0%",-184,-540,-11.5,5.1,"17.1%",531,"20.0%","16.3%",0.51,0.17
"Gragas","Top",1,"6.3%","18.8%","37.5%","0%","100%",6,6,6,2,"63.2%","17.6%","0%",1139,-108,1,6.6,"18.4%",494,"24.2%","22.0%",0.29,0.09
"Hecarim","Jungle",7,"43.8%","56.3%","100.0%","57%","14%",21,20,54,3.8,"68.8%","22.7%","14%",319,349,7.6,6.7,"17.6%",356,"16.7%","19.7%",0.33,0.42
"Irelia","Middle",1,"6.3%","0.0%","12.5%","100%","100%",3,3,17,6.7,"58.8%","15.8%","0%",484,422,13,8.5,"25.3%",454,"17.0%","19.4%",0.64,0.23
"Irelia","Top",1,"6.3%","0.0%","12.5%","100%","100%",7,2,4,5.5,"57.9%","33.3%","0%",480,-113,23,9.3,"28.8%",495,"25.9%","25.8%",0.28,0.38
"Jayce","Top",2,"12.5%","0.0%","12.5%","0%","100%",4,21,7,0.5,"44.0%","35.0%","0%",-846,-760,-2,7.1,"25.5%",648,"28.5%","21.5%",0.5,0.16
"Jinx","ADC",5,"31.3%","0.0%","31.3%","20%","60%",21,26,19,1.5,"72.7%","24.5%","20%",242,-126,18,9.2,"34.7%",617,"28.6%","28.4%",0.4,0.47
"Kai'Sa","ADC",10,"62.5%","12.5%","75.0%","60%","50%",58,30,60,3.9,"60.2%","19.7%","10%",-38,173,2.9,9.3,"32.1%",531,"24.1%","27.0%",0.79,0.47
"Kalista","ADC",2,"12.5%","0.0%","12.5%","50%","100%",6,4,11,4.3,"63.0%","14.8%","50%",735,300,39.5,9.5,"33.4%",479,"23.2%","27.7%",0.64,0.44
"Karma","Support",1,"6.3%","0.0%","6.3%","0%","100%",1,3,2,1,"100.0%","20.0%","100%",220,-524,-53,0.6,"2.7%",280,"17.0%","9.5%",1.89,0.47
"Karthus","Jungle",3,"18.8%","0.0%","18.8%","100%","100%",25,4,30,13.8,"84.6%","14.3%","33%",813,734,9,8.4,"26.0%",778,"32.7%","25.8%",0.66,0.28
"Kassadin","Middle",1,"6.3%","0.0%","6.3%","0%","100%",1,2,1,1,"33.3%","8.0%","0%",150,-436,1,7.7,"31.9%",355,"19.7%","22.1%",0.4,0.15
"Kayn","Jungle",1,"6.3%","0.0%","6.3%","0%","100%",1,4,4,1.3,"62.5%","14.8%","0%",-1370,-1019,-14,6,"20.8%",276,"18.5%","19.7%",0.8,0.52
"Lee Sin","Jungle",1,"6.3%","0.0%","6.3%","100%","100%",4,1,11,15,"55.6%","9.1%","100%",-982,-1286,-23,6,"19.1%",395,"15.6%","17.9%",0.59,0.18
"Lillia","Jungle",1,"6.3%","43.8%","50.0%","100%","100%",10,4,16,6.5,"76.5%","21.1%","0%",1073,663,13,6.6,"18.2%",638,"23.9%","20.5%",0.85,0.38
"Lucian","Middle",2,"12.5%","18.8%","31.3%","50%","50%",9,10,8,1.7,"48.6%","27.0%","0%",562,-10,11.5,8.3,"24.3%",529,"22.9%","24.2%",0.5,0.18
"Malphite","-",0,"0%","12.5%","12.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mordekaiser","Top",1,"6.3%","0.0%","6.3%","0%","100%",1,7,5,0.9,"40.0%","28.0%","0%",-168,-550,-1,6.8,"19.2%",543,"23.9%","17.1%",0.5,0.19
"Nautilus","-",0,"0%","6.3%","6.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nocturne","Jungle",2,"12.5%","12.5%","25.0%","0%","50%",4,9,3,0.8,"77.8%","24.3%","50%",-657,-998,-17,6,"15.2%",331,"21.6%","21.7%",0.34,0.13
"Olaf","Jungle",4,"25.0%","25.0%","50.0%","0%","25%",7,16,22,1.8,"65.9%","19.8%","0%",-643,-23,6.5,5.2,"14.1%",407,"19.9%","17.1%",0.35,0.39
"Orianna","Middle",3,"18.8%","25.0%","43.8%","33%","33%",5,7,10,2.1,"60.0%","18.4%","33%",-169,-231,-5.3,8.4,"24.6%",422,"25.0%","22.0%",0.48,0.13
"Ornn","Top",3,"18.8%","0.0%","18.8%","67%","0%",7,8,23,3.8,"65.2%","19.5%","33%",-152,209,-11.7,6.6,"21.5%",385,"18.7%","18.5%",0.53,0.09
"Rakan","Support",3,"18.8%","18.8%","37.5%","0%","100%",1,10,13,1.4,"56.0%","15.9%","67%",168,19,-2,1.1,"3.1%",158,"9.0%","9.5%",1.48,0.52
"Rell","Support",4,"25.0%","50.0%","75.0%","100%","75%",5,10,63,6.8,"82.9%","23.3%","75%",90,182,3.3,1.2,"2.8%",231,"10.9%","10.5%",1.57,0.3
"Renekton","Middle",1,"6.3%","68.8%","93.8%","0%","0%",5,5,5,2,"52.6%","14.3%","0%",-282,-78,-1,7.9,"27.0%",475,"16.7%","25.8%",0.56,0.58
"Renekton","Top",3,"18.8%","68.8%","93.8%","67%","0%",5,8,17,2.8,"46.8%","26.7%","0%",612,565,8,9,"23.5%",366,"19.3%","21.3%",0.34,0.16
"Ryze","Middle",3,"18.8%","0.0%","18.8%","33%","67%",7,19,23,1.6,"52.6%","27.5%","33%",-296,-40,4.3,7.9,"22.7%",528,"24.6%","20.8%",0.62,0.18
"Samira","ADC",1,"6.3%","0.0%","6.3%","0%","100%",0,4,0,0,"0.0%","16.0%","0%",-750,-254,-7,7.9,"22.7%",206,"11.4%","19.4%",0.4,0.15
"Senna","ADC",2,"12.5%","31.3%","43.8%","100%","0%",8,3,23,10.3,"88.6%","20.0%","0%",-512,-401,-73.5,2.4,"9.4%",620,"27.4%","17.3%",1.21,0.64
"Seraphine","Middle",1,"6.3%","93.8%","100.0%","100%","0%",2,3,16,6,"72.0%","20.0%","0%",-935,62,-11,6.3,"18.9%",396,"16.9%","16.8%",0.62,0.28
"Sett","Middle",1,"6.3%","43.8%","68.8%","100%","0%",4,3,10,4.7,"82.4%","20.0%","100%",896,884,36,6.6,"18.0%",438,"18.9%","19.3%",0.28,0.35
"Sett","Support",3,"18.8%","43.8%","68.8%","33%","33%",1,10,15,1.6,"48.5%","19.2%","33%",-218,-91,-16.7,1.4,"4.0%",218,"11.1%","9.1%",1.36,0.42
"Sion","Top",3,"18.8%","31.3%","50.0%","33%","67%",3,9,16,2.1,"51.4%","14.5%","33%",-548,-254,-12,7.2,"21.6%",461,"21.6%","19.8%",0.44,0.15
"Sylas","Middle",2,"12.5%","50.0%","68.8%","50%","0%",12,7,12,3.4,"68.6%","18.4%","50%",203,-152,-13,7.7,"25.1%",567,"28.8%","25.3%",0.47,0.12
"Sylas","Top",1,"6.3%","50.0%","68.8%","100%","0%",6,3,14,6.7,"58.8%","15.8%","0%",-1139,108,-1,7.3,"24.1%",609,"22.9%","21.6%",0.56,0.32
