"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Alistar","Support",3,"23.1%","38.5%","61.5%","33%","100%",0,9,23,2.6,"79.3%","23.1%","0%",-81,196,1.3,1,"2.3%",135,"9.2%","7.9%",1.7,0.32
"Ashe","ADC",1,"7.7%","0.0%","7.7%","100%","100%",4,1,8,12,"66.7%","12.5%","0%",-621,23,-15,7.3,"20.7%",440,"19.4%","21.0%",0.48,0.64
"Azir","Middle",3,"23.1%","76.9%","100.0%","100%","33%",9,2,27,18,"72.0%","10.5%","0%",-115,95,0.3,8.5,"25.9%",460,"24.2%","22.4%",0.64,0.21
"Braum","Support",1,"7.7%","0.0%","7.7%","0%","100%",0,3,1,0.3,"25.0%","21.4%","0%",51,301,0,1,"1.4%",127,"7.5%","6.0%",1.5,0.29
"Gangplank","Top",3,"23.1%","15.4%","38.5%","67%","100%",4,6,15,3.2,"48.7%","23.1%","0%",49,233,5.7,8.4,"28.3%",541,"28.9%","25.0%",0.33,0.08
"Gnar","Top",8,"61.5%","38.5%","100.0%","50%","25%",25,17,41,3.9,"66.0%","15.2%","50%",-104,-32,-5.8,8.6,"27.9%",496,"26.1%","25.6%",0.35,0.24
"Gragas","Support",1,"7.7%","0.0%","30.8%","0%","0%",0,3,4,1.3,"44.4%","14.3%","100%",-1286,-661,-67,1,"4.4%",373,"13.8%","7.0%",1.03,0.41
"Gragas","Top",3,"23.1%","0.0%","30.8%","33%","67%",2,8,9,1.4,"47.8%","20.0%","33%",-52,153,-6,7.3,"20.6%",334,"21.1%","20.5%",0.36,0.16
"Hecarim","Jungle",8,"61.5%","38.5%","100.0%","50%","0%",30,20,57,4.4,"80.6%","20.8%","50%",261,313,3.9,6.3,"17.1%",278,"16.4%","18.7%",0.36,0.46
"Heimerdinger","Support",2,"15.4%","0.0%","15.4%","50%","100%",5,3,5,3.3,"32.3%","9.4%","0%",1253,583,66,7.6,"25.4%",510,"26.4%","22.0%",0.53,0.2
"Irelia","Top",1,"7.7%","0.0%","7.7%","0%","100%",4,7,4,1.1,"80.0%","30.4%","100%",1037,855,14,8.5,"27.6%",393,"23.9%","26.5%",0.44,0.25
"Jarvan IV","Support",1,"7.7%","0.0%","7.7%","0%","100%",0,5,6,1.2,"75.0%","20.8%","0%",-818,-659,-10,0.9,"4.7%",220,"8.8%","7.5%",1.3,0.4
"Jayce","Top",4,"30.8%","7.7%","38.5%","50%","75%",17,14,23,2.9,"65.6%","28.0%","0%",-128,-424,3.3,9.2,"29.0%",599,"31.7%","25.9%",0.37,0.18
"Jinx","ADC",3,"23.1%","0.0%","23.1%","0%","33%",6,13,4,0.8,"62.5%","23.6%","0%",-228,-374,-1.7,10.3,"35.0%",409,"25.7%","29.6%",0.47,0.39
"Kai'Sa","ADC",2,"15.4%","69.2%","84.6%","100%","50%",14,3,18,10.7,"74.4%","25.0%","50%",615,361,4.5,10.4,"32.4%",466,"21.9%","27.9%",0.85,0.27
"Kalista","ADC",1,"7.7%","7.7%","15.4%","100%","100%",5,1,9,14,"60.9%","10.0%","0%",1141,877,74,9.8,"31.2%",330,"15.3%","24.5%",0.78,0.34
