"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"All Knights",8,4,4,35.2,98,105,0.93,0.72,0.06,"2.2%",56.4,-6.4,298,"63%","50%","63%",,"44%","25%","49%",,"50%","64%","49.8%","51.2%",3.33,1.36,1.38
"Furious Gaming",5,2,3,32.4,52,79,0.66,0.81,-0.89,"-6.2%",42.6,-2.6,-1065,"80%","40%","40%",,"50%","60%","67%",,"40%","29%","49.1%","49.5%",3.68,1.52,1.73
"INFINITY",9,6,3,33,139,86,1.62,0.76,0.7,"5.5%",51.9,14.8,551,"22%","56%","56%",,"56%","56%","46%",,"56%","70%","50.5%","50.2%",3.63,1.37,1.65
"Rainbow7",4,1,3,36.6,45,64,0.7,0.75,-0.55,"-9.1%",42.2,-17.2,-505,"50%","50%","25%",,"50%","75%","43%",,"25%","25%","50.5%","47.8%",2.6,0.97,1.45
