"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","-",0,"0%","16.7%","16.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Anivia","Middle",1,"4.2%","12.5%","16.7%","0%","100%",1,2,1,1,"40.0%","14.3%","100%",666,549,5,9.8,"28.4%",275,"24.6%","26.8%",0.64,0.12
"Ashe","ADC",1,"4.2%","0.0%","4.2%","0%","100%",2,0,7,9,"90.0%","0.0%","0%",-52,-40,-2,11.1,"36.2%",1128,"43.1%","28.6%",0.27,0.21
"Azir","Middle",2,"8.3%","54.2%","62.5%","0%","50%",2,6,2,0.7,"80.0%","25.0%","0%",323,351,16,10.8,"32.5%",391,"24.5%","28.3%",0.67,0.38
"Braum","Support",13,"54.2%","25.0%","79.2%","62%","46%",4,29,104,3.7,"67.1%","22.7%","38%",6,-28,2.3,1.7,"5.5%",155,"7.6%","9.6%",1.51,0.26
"Caitlyn","ADC",8,"33.3%","50.0%","83.3%","63%","13%",27,6,38,10.8,"74.7%","9.0%","25%",300,52,5.9,11.2,"33.5%",701,"36.1%","28.7%",0.41,0.44
"Camille","Top",7,"29.2%","66.7%","95.8%","57%","29%",19,18,28,2.6,"64.4%","25.7%","29%",409,395,15.7,9.3,"27.6%",479,"27.5%","24.8%",0.51,0.2
"Cassiopeia","Middle",6,"25.0%","37.5%","62.5%","50%","83%",21,9,19,4.4,"61.5%","17.3%","17%",243,34,9.2,9.5,"26.2%",464,"24.6%","24.4%",0.62,0.2
"Cho'Gath","Top",5,"20.8%","4.2%","25.0%","0%","100%",5,19,17,1.2,"51.2%","28.4%","40%",-233,-280,-6.2,7.7,"22.2%",321,"19.1%","20.6%",0.55,0.13
"Ezreal","ADC",7,"29.2%","8.3%","37.5%","57%","29%",18,5,20,7.6,"50.7%","8.5%","14%",268,144,6.1,10.8,"32.5%",657,"34.5%","27.5%",0.49,0.42
