"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",4,"12.9%","12.9%","25.8%","75%","-",20,8,23,5.4,"70.5%","15.4%","-","-","-","-","-","-",618,"30.3%","23.5%",0.48,0.18
"Ashe","ADC",15,"48.4%","29.0%","77.4%","73%","-",48,29,106,5.3,"69.1%","17.2%","-","-","-","-",8.3,"-",528,"23.7%","24.0%",0.35,0.27
"Braum","Support",9,"29.0%","0.0%","29.0%","56%","-",2,21,78,3.8,"70.2%","22.1%","-","-","-","-",0.9,"-",136,"7.0%","11.3%",1.53,0.43
"Caitlyn","ADC",12,"38.7%","19.4%","58.1%","50%","-",42,36,57,2.8,"67.8%","20.5%","-","-","-","-",8.8,"-",512,"27.2%","25.5%",0.3,0.24
"Camille","Top",3,"9.7%","3.2%","12.9%","33%","-",5,8,11,2,"55.2%","23.5%","-","-","-","-","-","-",344,"19.8%","19.8%",0.48,0.09
"Cassiopeia","Middle",1,"3.2%","0.0%","3.2%","0%","-",0,3,1,0.3,"33.3%","18.8%","-","-","-","-","-","-",389,"25.3%","24.8%",0.4,0.1
"Ekko","Middle",3,"9.7%","9.7%","19.4%","0%","-",8,11,10,1.6,"69.2%","25.6%","-","-","-","-","-","-",349,"20.9%","24.5%",0.41,0.21
"Elise","Jungle",14,"45.2%","38.7%","83.9%","57%","-",46,47,86,2.8,"65.0%","24.5%","-","-","-","-",7.1,"-",349,"16.5%","18.3%",0.96,0.45
"Ezreal","ADC",4,"12.9%","6.5%","19.4%","25%","-",11,9,22,3.7,"78.6%","16.4%","-","-","-","-","-","-",516,"30.0%","24.5%",0.39,0.28
"Fiora","Top",1,"3.2%","0.0%","3.2%","0%","-",1,3,0,0.3,"11.1%","15.8%","-","-","-","-","-","-",391,"23.3%","23.8%",0.46,0.03
"Fizz","Middle",1,"3.2%","29.0%","74.2%","0%","-",1,6,1,0.3,"66.7%","35.3%","-","-","-","-","-","-",263,"22.5%","24.6%",0.35,0.07
"Fizz","Top",13,"41.9%","29.0%","74.2%","69%","-",43,29,66,3.8,"52.7%","20.7%","-","-","-","-",7.8,"-",412,"20.4%","21.4%",0.44,0.12
"Galio","Middle",1,"3.2%","12.9%","16.1%","0%","-",1,0,8,9,"90.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Jungle",5,"16.1%","12.9%","74.2%","80%","-",8,13,36,3.4,"57.9%","22.0%","-","-","-","-","-","-",217,"12.0%","16.5%",0.92,0.33
"Gragas","Top",14,"45.2%","12.9%","74.2%","21%","-",26,36,65,2.5,"61.1%","16.8%","-","-","-","-",6.3,"-",372,"20.4%","20.8%",0.49,0.12
"Graves","Jungle",7,"22.6%","48.4%","71.0%","57%","-",16,20,35,2.6,"63.0%","22.2%","-","-","-","-","-","-",299,"15.4%","19.8%",1,0.58
"Ivern","Jungle",5,"16.1%","25.8%","41.9%","40%","-",10,11,33,3.9,"70.5%","16.2%","-","-","-","-","-","-",171,"8.9%","17.5%",0.9,0.29
"Jarvan IV","Jungle",1,"3.2%","0.0%","6.5%","0%","-",1,4,8,2.3,"90.0%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Top",1,"3.2%","0.0%","6.5%","0%","-",1,0,2,3,"50.0%","0.0%","-","-","-","-","-","-",239,"18.0%","21.0%",0.53,0.06
"Jayce","Middle",9,"29.0%","35.5%","67.7%","44%","-",20,26,44,2.5,"64.6%","21.3%","-","-","-","-",7.3,"-",561,"28.1%","23.2%",0.35,0.3
"Jayce","Top",1,"3.2%","35.5%","67.7%","0%","-",0,3,0,0,"0.0%","17.6%","-","-","-","-","-","-",222,"19.0%","20.7%",0.53,0.14
"Jhin","-",0,"0%","3.2%","3.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jinx","ADC",1,"3.2%","0.0%","3.2%","0%","-",1,3,3,1.3,"80.0%","16.7%","-","-","-","-","-","-",546,"40.9%","24.6%",0.28,0.04
