"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Just Toys Havoks",6,3,3,31.6,59,81,0.73,0.74,-0.02,"-4.0%",54.4,-4.4,145,"67%","67%","83%",,"33%","67%","58%",,"33%","40%","49.8%","47.3%",3.44,1.08,1.12
"Lyon Gaming",6,6,0,29.7,104,38,2.74,0.8,1.48,"13.0%",57,43,1801,"67%","50%","50%",,,"40%","47%",,"83%","86%","51.6%","60.3%",3.44,0.84,1.06
"Predators Esports",3,0,3,28.6,16,49,0.33,0.76,-2.37,"-9.6%",32.7,-32.7,-3319,"0%","33%","33%",,,"50%","57%",,"33%","25%","48.6%","37.4%",3.18,0.77,0.86
"ZAGA Talent Gaming",3,0,3,32.4,26,37,0.7,0.65,-0.57,"-8.4%",44.5,-44.5,-574,"33%","33%","0%",,"67%","33%","36%",,"0%","0%","48.7%","47.5%",3.68,1.01,0.94
