"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",7,"16.7%","9.5%","26.2%","57%","100%",29,19,33,3.3,"68.1%","20.9%","29%",-237,-241,-14,8.6,"27.5%",556,"26.9%","23.7%",0.34,0.25
"Ashe","ADC",24,"57.1%","19.0%","76.2%","50%","38%",66,53,166,4.4,"68.6%","19.4%","29%",-74,-16,-1.8,8.7,"28.3%",508,"25.2%","23.4%",0.4,0.28
"Bard","Support",3,"7.1%","0.0%","7.1%","33%","100%",3,17,27,1.8,"65.2%","24.6%","33%",-235,250,-2.7,0.7,"2.8%",256,"12.6%","11.3%",1.43,0.45
"Braum","Support",7,"16.7%","2.4%","19.0%","57%","100%",1,19,42,2.3,"67.2%","22.9%","14%",107,76,0.1,1.2,"3.7%",121,"7.8%","11.0%",1.44,0.4
"Caitlyn","ADC",13,"31.0%","28.6%","59.5%","62%","38%",45,23,59,4.5,"67.5%","14.4%","23%",152,52,7,9.6,"31.8%",582,"30.0%","26.2%",0.38,0.35
"Cassiopeia","Middle",2,"4.8%","7.1%","11.9%","100%","50%",4,4,8,3,"50.0%","36.4%","0%",-133,-3,14,9.7,"28.0%",516,"24.8%","23.2%",0.28,0.19
"Ekko","Middle",1,"2.4%","2.4%","4.8%","100%","100%",6,3,10,5.3,"64.0%","25.0%","0%",-34,-363,-9,9.3,"33.1%",619,"27.0%","24.6%",0.22,0.3
"Elise","Jungle",6,"14.3%","7.1%","21.4%","50%","83%",17,15,35,3.5,"64.2%","19.7%","83%",170,-113,-9.5,4.4,"14.5%",343,"17.0%","18.7%",0.96,0.46
"Ezreal","ADC",5,"11.9%","11.9%","23.8%","40%","80%",10,11,22,2.9,"72.7%","16.2%","20%",-248,-182,-5.2,8.8,"28.1%",522,"30.2%","23.6%",0.42,0.23
"Fiora","Top",1,"2.4%","40.5%","42.9%","100%","0%",2,1,0,2,"25.0%","25.0%","0%",539,1100,20,10.6,"29.8%",343,"25.8%","24.6%",0.42,0.31
"Fizz","Middle",5,"11.9%","54.8%","81.0%","80%","60%",23,8,21,5.5,"66.7%","15.4%","20%",13,157,-2.6,9,"26.0%",396,"22.5%","23.7%",0.33,0.38
"Fizz","Top",6,"14.3%","54.8%","81.0%","83%","50%",21,11,33,4.9,"69.2%","29.7%","50%",454,288,7.7,7.7,"25.4%",391,"22.9%","21.7%",0.53,0.17
"Galio","Support",1,"2.4%","19.0%","64.3%","100%","0%",0,2,9,4.5,"81.8%","28.6%","0%",99,-292,-4,1.5,"4.4%",252,"13.9%","10.9%",1.56,0.46
"Galio","Top",18,"42.9%","19.0%","64.3%","39%","33%",22,51,105,2.5,"62.6%","20.1%","28%",-176,-90,-4.3,8.4,"26.1%",428,"22.0%","21.1%",0.5,0.1
"Gangplank","Top",1,"2.4%","2.4%","4.8%","100%","100%",6,2,5,5.5,"68.8%","25.0%","100%",938,216,5,8.6,"26.4%",638,"28.4%","25.9%",0.49,0.07
"Garen","-",0,"0%","2.4%","2.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Top",8,"19.0%","38.1%","57.1%","50%","63%",16,17,47,3.7,"57.3%","16.2%","38%",4,58,-7.1,7.3,"23.5%",371,"17.9%","19.5%",0.56,0.12
