"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",7,4,3,32.5,70,68,1.03,0.61,0.43,"0.8%",54.6,-4.6,317,"71%","67%","50%",,"75%","50%","65%",,"40%","60%","49.0%","53.2%",4.09,1.31,1.56
"EDward Gaming",8,4,4,31.6,86,81,1.06,0.66,0.13,"-0.1%",53.5,-3.5,279,"50%","50%","50%",,"60%","63%","50%",,"50%","42%","49.9%","46.8%",3.42,1.23,1.47
"Invictus Gaming",9,3,6,36.1,108,143,0.76,0.77,-0.57,"-4.7%",44.4,-11.1,-572,"22%","56%","56%",,"57%","22%","34%",,"44%","40%","49.2%","46.2%",3.57,1.32,1.49
"JD Gaming",2,0,2,32.1,11,31,0.35,0.65,-3.06,"-19.3%",18.5,-18.5,-2408,"0%","0%","0%",,,"0%","0%",,"0%","0%","50.8%","40.8%",3.82,1.33,1.58
"Rogue Warriors",13,7,6,34.3,167,161,1.04,0.74,0.25,"2.3%",53.2,0.7,438,"46%","54%","46%",,"20%","62%","62%",,"50%","55%","50.6%","51.2%",3.89,1.25,1.52
"Royal Never Give Up",15,11,4,35.3,191,118,1.62,0.58,0.23,"5.6%",51.9,21.4,66,"53%","53%","60%",,"70%","60%","63%",,"64%","55%","50.3%","53.5%",3.99,1.23,1.66
"Snake Esports",4,1,3,35.4,29,59,0.49,0.62,-0.55,"-8.6%",41.7,-16.7,-537,"50%","0%","25%",,"33%","25%","29%",,"33%","33%","50.4%","48.5%",4.1,1.29,1.55
"Team WE",2,0,2,46.6,17,19,0.89,0.39,0.12,"-2.0%",44.8,-44.8,-559,"100%","50%","50%",,"0%","50%","20%",,"50%","80%","48.9%","46.9%",3.5,1.27,1.78
