"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lucian","ADC",7,"33.3%","9.5%","42.9%","57%","29%",16,13,25,3.2,"58.6%","17.3%","29%",46,-1,10,9.7,"32.3%",424,"23.7%","25.2%",0.4,0.32
"Morgana","Support",1,"4.8%","57.1%","61.9%","100%","100%",1,0,3,4,"57.1%","0.0%","0%",33,83,-12,0.7,"2.6%",156,"9.4%","11.6%",1.39,0.25
"Nocturne","Jungle",2,"9.5%","9.5%","19.0%","50%","100%",2,6,14,2.7,"53.3%","20.0%","50%",-469,-224,-19,5.2,"15.7%",268,"13.8%","16.0%",0.35,0.28
"Olaf","Jungle",2,"9.5%","4.8%","14.3%","0%","50%",1,7,3,0.6,"80.0%","25.9%","0%",-555,-48,-4.5,4.3,"10.5%",163,"10.9%","15.8%",0.55,0.37
"Orianna","Middle",2,"9.5%","0.0%","9.5%","50%","50%",2,2,9,5.5,"73.3%","11.8%","50%",-27,341,0,8.9,"25.9%",374,"26.6%","23.0%",0.45,0.18
"Ornn","Top",8,"38.1%","4.8%","42.9%","75%","25%",18,13,41,4.5,"57.8%","18.6%","38%",-57,-99,-8,6.9,"18.1%",286,"16.3%","17.8%",0.43,0.09
"Poppy","Jungle",2,"9.5%","0.0%","9.5%","0%","100%",2,12,5,0.6,"63.6%","40.0%","50%",-358,-605,-11.5,3.9,"9.8%",144,"11.8%","14.5%",0.79,0.13
"Rakan","Support",5,"23.8%","28.6%","52.4%","40%","60%",3,14,40,3.1,"68.3%","22.2%","60%",174,-43,-12.6,0.6,"2.5%",148,"7.8%","10.9%",1.53,0.48
"Rek'Sai","Jungle",8,"38.1%","9.5%","47.6%","50%","38%",35,25,36,2.8,"70.3%","28.1%","63%",285,220,2.9,5.3,"14.2%",295,"15.5%","19.1%",0.55,0.34
"Renekton","Top",1,"4.8%","0.0%","4.8%","0%","100%",1,3,0,0.3,"25.0%","21.4%","0%",82,208,8,8.8,"25.1%",370,"24.7%","24.0%",0.34,0.08
"Ryze","Middle",2,"9.5%","66.7%","76.2%","50%","100%",8,6,9,2.8,"58.6%","23.1%","50%",223,125,3,9.1,"26.7%",482,"25.1%","25.3%",0.48,0.11
"Sejuani","Jungle",3,"14.3%","19.0%","33.3%","67%","100%",5,7,22,3.9,"77.1%","22.6%","33%",-128,-159,-5.7,5.1,"13.6%",250,"12.8%","16.5%",0.29,0.41
"Sion","Middle",1,"4.8%","4.8%","19.0%","100%","0%",2,4,5,1.8,"41.2%","66.7%","0%",199,606,-4,6.8,"22.2%",404,"20.4%","17.5%",0.53,0.22
"Sion","Top",2,"9.5%","4.8%","19.0%","50%","50%",3,7,10,1.9,"50.0%","29.2%","0%",-964,-238,-5,6.6,"18.9%",296,"16.2%","17.5%",0.51,0.11
"Sivir","ADC",1,"4.8%","0.0%","4.8%","0%","0%",6,4,1,1.8,"77.8%","28.6%","0%",1059,587,69,10.3,"33.8%",853,"35.5%","29.2%",0.24,0.41
"Sona","ADC",3,"14.3%","4.8%","19.0%","100%","67%",7,3,20,9,"62.8%","18.8%","33%",-442,-70,-56.3,4.7,"19.0%",529,"26.7%","20.3%",0.92,0.2
"Sylas","Middle",2,"9.5%","81.0%","90.5%","0%","0%",4,8,6,1.3,"66.7%","20.0%","0%",269,227,6.5,9.2,"26.1%",389,"24.1%","24.0%",0.41,0.19
"Syndra","Middle",3,"14.3%","14.3%","28.6%","33%","67%",3,4,16,4.8,"73.1%","12.9%","0%",-166,-209,0.7,8.4,"24.4%",410,"26.8%","20.8%",0.33,0.15
"Tahm Kench","Support",4,"19.0%","4.8%","23.8%","25%","25%",2,11,27,2.6,"72.5%","16.9%","25%",-309,5,-6.3,2.2,"7.8%",118,"5.8%","11.2%",1.52,0.16
"Taliyah","-",0,"0%","4.8%","4.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Taric","Support",3,"14.3%","52.4%","66.7%","100%","33%",0,1,28,28,"65.1%","6.3%","33%",376,139,45.3,4.2,"10.0%",54,"2.8%","13.0%",1.3,0.34
"Thresh","-",0,"0%","14.3%","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tristana","ADC",7,"33.3%","9.5%","42.9%","29%","71%",24,18,19,2.4,"65.2%","20.2%","14%",214,178,5.6,9.9,"30.2%",571,"34.8%","27.7%",0.4,0.34
"Urgot","Jungle",3,"14.3%","0.0%","14.3%","33%","100%",8,15,9,1.1,"45.9%","32.6%","33%",-449,-438,-12,4.9,"15.0%",293,"14.9%","16.5%",0.32,0.48
"Vayne","ADC",4,"19.0%","19.0%","38.1%","50%","0%",15,6,18,5.5,"66.0%","11.5%","0%",-244,29,-6.5,9.1,"29.6%",412,"21.5%","25.7%",0.27,0.18
"Vladimir","Middle",1,"4.8%","33.3%","57.1%","100%","0%",4,1,3,7,"50.0%","11.1%","0%",70,109,18,10.8,"32.7%",733,"41.2%","28.7%",0.38,0.16
"Vladimir","Top",4,"19.0%","33.3%","57.1%","25%","50%",9,6,10,3.2,"47.5%","12.8%","0%",-451,-113,-4.3,8.9,"28.9%",452,"24.0%","24.8%",0.38,0.07
"Xayah","ADC",6,"28.6%","4.8%","33.3%","17%","33%",18,14,21,2.8,"75.0%","18.2%","33%",107,-51,0,9.9,"34.1%",624,"33.4%","28.4%",0.42,0.34
"Yorick","Top",3,"14.3%","14.3%","28.6%","33%","67%",2,8,5,0.9,"35.0%","18.6%","33%",-92,215,0.7,8.5,"28.6%",364,"23.4%","23.8%",0.49,0.09
"Zilean","Middle",1,"4.8%","4.8%","14.3%","0%","100%",1,2,1,1,"22.2%","14.3%","0%",-70,-109,-18,7,"19.7%",324,"13.5%","16.2%",0.57,0.11
"Zilean","Support",1,"4.8%","4.8%","14.3%","100%","100%",2,0,10,12,"70.6%","0.0%","100%",596,-162,-11,0.6,"3.1%",227,"11.4%","14.3%",1.09,0.41
"Zoe","Middle",3,"14.3%","23.8%","38.1%","100%","100%",14,6,19,5.5,"70.2%","18.2%","0%",355,211,3.7,8,"22.8%",581,"27.2%","22.2%",0.44,0.24
