"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"All Knights",5,2,3,32.5,60,72,0.83,0.81,-1.06,"-1.7%",43.3,-3.3,-626,"20%","40%","20%",,"40%","60%","63%","0%","60%","57%","49.8%","45.7%",3.86,1.27,1.03
"INFINITY",4,1,3,34.6,37,47,0.79,0.61,0.05,"0.0%",54.6,-29.6,470,"50%","75%","100%",,"50%","50%","39%","0%","50%","67%","50.9%","46.1%",3.38,1.36,1.43
"Isurus",13,9,4,33.8,184,121,1.52,0.69,1,"4.5%",60,9.2,877,"69%","54%","77%",,"54%","38%","50%","100%","69%","67%","50.0%","53.5%",2.74,1.06,1.48
"Pixel Esports Club",4,1,3,36.7,29,46,0.63,0.51,-0.17,"-1.5%",40.3,-15.3,-719,"50%","75%","50%",,"25%","50%","47%","0%","25%","33%","49.3%","48.9%",3.33,1.36,1.04
"Rainbow7",12,7,5,32.5,130,145,0.9,0.71,-0.59,"-1.4%",47.1,11.3,-356,"33%","33%","25%",,"58%","58%","58%","100%","42%","38%","50.5%","51.7%",3.55,1.27,1.27
"XTEN Esports",4,1,3,30.4,42,51,0.82,0.77,-0.14,"-6.8%",39.9,-14.9,-752,"75%","50%","25%",,"50%","50%","25%",,"25%","20%","48.5%","43.8%",3.21,1.28,1.1
