"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"EVOS Esports",13,7,6,36.4,234,222,1.05,0.96,-0.07,"-0.6%",50.4,3.5,77,"54%","38%","31%",,"54%","38%","40%","50%","54%","54%","49.8%","49.4%",3.54,1.3,1.44
"Friends Forever Gaming",5,2,3,37,87,98,0.89,1,-0.01,"1.1%",48.2,-8.2,-149,"80%","80%","80%",,"60%","60%","55%","50%","60%","50%","49.8%","49.1%",3.04,1.08,1.32
"Phong Vũ Buffalo",4,3,1,37.6,78,57,1.37,0.9,1.73,"4.4%",73.6,1.4,3129,"25%","100%","75%",,"75%","50%","80%","0%","50%","63%","50.8%","56.7%",3.81,1.42,1.71
"Sky Gaming",4,1,3,34.5,57,79,0.72,0.99,-1.64,"-3.7%",27.4,-2.4,-3192,"25%","0%","50%",,"0%","75%","44%","100%","25%","17%","50.1%","46.3%",3.77,1.4,1.94
