"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Swain","Top",1,"7.7%","0.0%","7.7%","100%","100%",4,5,5,1.8,"37.5%","23.8%","0%",-238,-78,-1,8.8,"29.6%",509,"21.9%","23.5%",0.4,0.13
"Sylas","Jungle",1,"7.7%","61.5%","100.0%","0%","0%",1,4,6,1.8,"53.8%","25.0%","0%",-270,220,11,5.9,"19.7%",378,"19.9%","19.0%",0.44,0.27
"Sylas","Middle",1,"7.7%","61.5%","100.0%","0%","0%",4,4,8,3,"85.7%","28.6%","0%",122,-114,-6,7.6,"21.7%",496,"32.9%","21.1%",0.47,0.09
"Sylas","Top",3,"23.1%","61.5%","100.0%","67%","33%",18,12,12,2.5,"60.0%","30.0%","0%",526,635,9,8.5,"24.6%",722,"34.7%","23.8%",0.49,0.24
"Syndra","Middle",5,"38.5%","30.8%","69.2%","40%","40%",23,13,38,4.7,"60.4%","12.9%","0%",11,-169,1.2,9.2,"30.5%",643,"27.9%","24.2%",0.51,0.13
"Tahm Kench","Support",4,"30.8%","7.7%","38.5%","50%","75%",2,17,40,2.5,"60.0%","19.8%","25%",-163,-56,9.3,1.9,"6.6%",110,"5.4%","9.8%",1.51,0.24
"Taric","Support",2,"15.4%","0.0%","15.4%","50%","50%",2,4,21,5.8,"79.3%","14.8%","50%",280,539,1.5,1.8,"5.7%",105,"5.7%","10.7%",1.4,0.37
"Thresh","Support",4,"30.8%","38.5%","69.2%","50%","50%",5,13,32,2.8,"63.8%","19.7%","25%",69,-59,-7.8,0.5,"1.7%",111,"6.3%","9.3%",1.65,0.29
"Urgot","Jungle",1,"7.7%","0.0%","15.4%","0%","100%",1,5,8,1.8,"69.2%","26.3%","100%",-213,-359,7,4.6,"11.0%",500,"24.6%","15.5%",0.44,0.56
"Urgot","Top",1,"7.7%","0.0%","15.4%","0%","100%",1,4,5,1.5,"42.9%","28.6%","0%",-698,-238,-3,7.4,"23.4%",154,"10.3%","18.6%",0.4,0.22
"Varus","ADC",3,"23.1%","0.0%","23.1%","67%","33%",21,8,18,4.9,"72.2%","15.1%","0%",255,261,12,9.2,"29.6%",588,"30.3%","27.8%",0.52,0.39
"Vayne","ADC",2,"15.4%","30.8%","46.2%","50%","100%",11,5,13,4.8,"70.6%","13.9%","0%",-998,-100,-18,8.6,"27.8%",500,"27.4%","27.2%",0.37,0.32
"Vladimir","Top",1,"7.7%","0.0%","7.7%","100%","0%",9,5,7,3.2,"61.5%","22.7%","0%",-695,-640,10,7.8,"26.6%",999,"37.4%","25.2%",0.46,0.13
"Xayah","ADC",2,"15.4%","0.0%","15.4%","50%","100%",7,2,11,9,"58.1%","7.1%","0%",-160,-23,-4,10.4,"33.4%",439,"24.0%","28.0%",0.47,0.41
"Yasuo","Top",1,"7.7%","30.8%","38.5%","0%","100%",1,6,7,1.3,"66.7%","27.3%","0%",-884,-563,-24,8.2,"29.8%",346,"22.9%","25.3%",0.43,0.17
"Yorick","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zoe","Middle",1,"7.7%","23.1%","30.8%","100%","0%",4,0,7,11,"47.8%","0.0%","0%",179,333,8,9.1,"23.2%",443,"20.6%","20.8%",0.64,0.22
