"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",11,"35.5%","16.1%","51.6%","55%","64%",8,33,81,2.7,"64.5%","27.0%","27%",3,-22,4.5,1.6,"4.8%",154,"8.5%","10.0%",1.31,0.25
"Anivia","Middle",5,"16.1%","22.6%","38.7%","80%","60%",13,4,28,10.3,"70.7%","8.9%","40%",53,-160,-6.4,9.2,"29.3%",371,"23.0%","24.2%",0.59,0.21
"Ashe","ADC",1,"3.2%","0.0%","3.2%","100%","100%",2,1,7,9,"40.9%","7.1%","0%",146,324,-22,9,"33.5%",362,"14.3%","21.9%",0.37,0.12
"Azir","Middle",5,"16.1%","25.8%","41.9%","60%","80%",17,13,20,2.8,"53.6%","15.7%","0%",-33,-178,0.6,9.6,"28.4%",622,"27.2%","24.5%",0.48,0.24
"Braum","Support",12,"38.7%","12.9%","51.6%","42%","42%",6,27,103,4,"74.1%","15.6%","42%",-226,80,2.4,2,"6.5%",175,"8.8%","10.9%",1.31,0.3
"Caitlyn","ADC",16,"51.6%","29.0%","80.6%","25%","44%",62,48,70,2.8,"72.1%","22.2%","31%",150,32,4.7,9.7,"32.2%",556,"30.5%","27.2%",0.4,0.33
"Camille","Top",7,"22.6%","51.6%","74.2%","57%","43%",20,17,24,2.6,"62.0%","21.5%","0%",-281,-153,-0.7,9.1,"28.0%",420,"22.6%","24.1%",0.56,0.15
"Cassiopeia","Middle",7,"22.6%","35.5%","58.1%","57%","57%",30,15,34,4.3,"63.4%","19.7%","0%",224,52,6,8.4,"23.7%",490,"26.6%","22.7%",0.61,0.23
"Cho'Gath","Top",3,"9.7%","0.0%","9.7%","67%","100%",5,6,9,2.3,"35.9%","24.0%","0%",-65,141,-3.3,7.8,"22.0%",387,"16.7%","19.4%",0.6,0.09
"Draven","ADC",1,"3.2%","0.0%","3.2%","100%","0%",12,6,9,3.5,"46.7%","20.0%","100%",1124,-877,-9,7.4,"25.9%",828,"22.0%","25.7%",0.33,0.04
"Elise","Jungle",2,"6.5%","0.0%","6.5%","100%","50%",15,10,16,3.1,"55.4%","25.0%","50%",424,398,5.5,5,"14.1%",540,"18.9%","18.1%",1.14,0.26
"Ezreal","ADC",9,"29.0%","32.3%","64.5%","44%","67%",26,20,29,2.8,"67.9%","15.5%","22%",-203,-142,-4.8,9,"27.0%",718,"35.2%","26.2%",0.46,0.16
"Ezreal","Top",1,"3.2%","32.3%","64.5%","0%","0%",4,7,14,2.6,"60.0%","15.6%","0%",-436,-548,-13,5,"17.8%",640,"22.7%","19.4%",0.46,0.13
"Fiora","Top",1,"3.2%","16.1%","19.4%","0%","100%",3,5,1,0.8,"40.0%","31.3%","0%",414,285,2,7.9,"22.4%",627,"25.0%","22.3%",0.46,0.14
"Galio","Middle",1,"3.2%","6.5%","9.7%","100%","100%",1,1,9,10,"71.4%","25.0%","0%",-121,-121,-6,7.5,"19.6%",249,"14.4%","16.8%",0.49,0.46
"Gangplank","Top",8,"25.8%","71.0%","96.8%","88%","13%",35,11,52,7.9,"68.0%","20.0%","25%",402,181,1,9.2,"28.2%",697,"31.3%","26.0%",0.61,0.11
"Gnar","Top",3,"9.7%","19.4%","29.0%","0%","67%",6,11,11,1.5,"60.7%","20.8%","33%",190,513,15.3,8.5,"24.5%",325,"18.9%","23.0%",0.57,0.16
"Graves","Jungle",6,"19.4%","6.5%","25.8%","50%","83%",24,22,26,2.3,"64.9%","26.5%","17%",66,590,16.5,7.1,"22.2%",532,"23.8%","22.6%",0.42,0.46
"Irelia","Support",1,"3.2%","9.7%","19.4%","0%","100%",6,9,10,1.8,"53.3%","20.0%","0%",122,682,54,6,"23.0%",511,"18.1%","19.0%",0.54,0.08
"Irelia","Top",2,"6.5%","9.7%","19.4%","50%","100%",6,8,3,1.1,"36.0%","27.6%","0%",-850,-962,-22,8.5,"27.1%",304,"14.6%","22.2%",0.54,0.09
"Ivern","Jungle",1,"3.2%","0.0%","3.2%","0%","100%",0,3,2,0.7,"50.0%","17.6%","100%",138,141,0,4.3,"13.3%",103,"10.1%","16.5%",0.68,0.34
"Janna","-",0,"0%","3.2%","3.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jax","Jungle",1,"3.2%","6.5%","9.7%","0%","100%",0,1,1,1,"50.0%","9.1%","0%",127,503,13,6.2,"18.5%",78,"9.5%","19.9%",0.31,0.34
"Jayce","-",0,"0%","3.2%","3.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jhin","ADC",9,"29.0%","16.1%","45.2%","67%","56%",30,17,47,4.5,"66.4%","18.1%","11%",-98,-72,1.1,9.7,"29.5%",480,"22.8%","24.4%",0.45,0.2
"Kai'Sa","ADC",5,"16.1%","80.6%","100.0%","60%","20%",38,9,15,5.9,"82.8%","17.6%","40%",-157,15,-2.4,10,"33.4%",646,"32.0%","29.0%",0.37,0.31
