"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Ascension Gaming",6,2,4,34.9,73,89,0.82,0.77,-1.26,"-1.7%",36.1,-2.8,-1126,"0%","33%","0%",,"20%","17%","26%","50%","33%","50%","50.5%","50.1%",3.42,1.07,1.19
"Dire Wolves",6,2,4,30.7,54,84,0.64,0.75,-1.25,"-3.4%",37.6,-4.3,-1542,"33%","17%","33%",,"67%","17%","38%",,"33%","29%","50.3%","55.1%",3.52,1.05,1.31
"EVOS Esports",4,3,1,30.2,64,46,1.39,0.91,1.55,"7.9%",76.3,-1.3,2668,"75%","100%","50%",,"50%","50%","43%",,"75%","67%","50.6%","55.4%",3.47,1.18,1.14
"Flash Wolves",3,3,0,32.3,43,15,2.87,0.6,1.57,"8.8%",77.1,22.9,1919,"33%","67%","100%",,"67%","100%","91%","100%","67%","75%","50.1%","52.0%",3.9,1.45,1.24
"Gambit Esports",9,5,4,35.4,99,100,0.99,0.62,0.75,"2.1%",51.5,4.1,259,"89%","67%","56%",,"50%","44%","55%","50%","67%","64%","49.5%","52.1%",3.25,1.25,1.54
"KaBuM! e-Sports",6,4,2,28.9,109,90,1.21,1.15,0.68,"2.1%",56.6,10,298,"67%","67%","67%",,"17%","40%","53%",,"50%","71%","49.5%","46.1%",3.74,1.46,1.2
"Kaos Latin Gamers",6,2,4,31,60,74,0.81,0.72,-0.37,"-4.1%",46.5,-13.1,-325,"33%","50%","67%",,"67%","83%","60%","0%","33%","29%","49.3%","48.4%",3.93,1.55,1.41
"PENTAGRAM",6,1,5,31.2,51,75,0.68,0.67,-0.54,"-9.3%",49.2,-32.6,400,"50%","33%","17%",,"50%","50%","30%",,"17%","14%","49.2%","45.7%",3.61,1.34,1.39
"Rainbow7",6,3,3,38.6,75,72,1.04,0.63,-0.24,"-1.6%",51.7,-1.7,103,"67%","33%","50%",,"50%","33%","39%","50%","50%","36%","51.0%","47.4%",3.19,1.04,1.3
"SuperMassive Esports",10,6,4,28.7,156,139,1.12,1.03,0.08,"3.2%",43.4,16.6,-561,"40%","50%","70%",,"60%","78%","73%",,"60%","64%","50.4%","49.7%",3.33,1.23,1.15
