"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Azir","Middle",1,"10.0%","30.0%","40.0%","100%","-",6,1,7,13,"86.7%","14.3%","0%",233,369,14,10.7,"34.3%",650,"36.5%","29.3%",0.22,0.35
"Cassiopeia","Middle",1,"10.0%","0.0%","10.0%","0%","-",6,7,4,1.4,"76.9%","22.6%","0%",-449,-494,-2,7.4,"29.1%",625,"29.0%","25.6%",0.22,0.14
"Cho'Gath","Middle",3,"30.0%","20.0%","50.0%","33%","-",17,13,26,3.3,"66.2%","18.8%","67%",550,1055,19.3,8.1,"31.1%",586,"26.1%","24.6%",0.51,0.19
"Diana","Middle",1,"10.0%","0.0%","10.0%","0%","-",2,6,2,0.7,"66.7%","28.6%","0%",-398,-203,-1,8.4,"25.8%",310,"20.3%","24.4%",0.5,0.05
"Fizz","Middle",2,"20.0%","30.0%","50.0%","100%","-",21,4,16,9.3,"62.7%","17.4%","50%",-206,142,-19.5,8.2,"31.8%",557,"22.0%","25.3%",0.06,0.16
"Gnar","Top",6,"60.0%","20.0%","80.0%","83%","-",15,19,66,4.3,"65.9%","24.1%","33%",26,-158,0.8,6.2,"23.1%",463,"21.7%","18.8%",0.59,0.12
"Gragas","Jungle",3,"30.0%","60.0%","90.0%","100%","-",17,7,57,10.6,"79.6%","20.0%","33%",43,-359,-12,3.4,"13.6%",551,"20.0%","19.0%",0.96,0.35
"Graves","ADC",1,"10.0%","0.0%","10.0%","0%","-",5,4,6,2.8,"73.3%","17.4%","0%",-113,82,-11,7.4,"25.1%",582,"23.4%","23.9%",0.19,0.14
"Hecarim","Top",5,"50.0%","0.0%","50.0%","20%","-",20,23,41,2.7,"69.3%","20.4%","20%",179,397,11.4,7.4,"28.0%",420,"20.4%","23.7%",0.63,0.16
"Janna","Support",4,"40.0%","0.0%","40.0%","75%","-",2,11,72,6.7,"78.7%","19.3%","25%",9,223,-8,0.5,"2.6%",114,"4.6%","11.3%",1.43,0.42
"Jarvan IV","Jungle",4,"40.0%","0.0%","40.0%","50%","-",8,10,53,6.1,"85.9%","13.3%","0%",-46,38,0,3.3,"11.4%",229,"10.9%","17.3%",0.95,0.36
"Jinx","ADC",3,"30.0%","0.0%","30.0%","33%","-",20,16,26,2.9,"79.3%","19.3%","0%",-169,-180,-0.3,8.1,"33.5%",633,"28.5%","28.1%",0.19,0.11
"Kalista","ADC",4,"40.0%","30.0%","70.0%","25%","-",14,14,16,2.1,"88.2%","19.4%","25%",-21,-189,-5,7.6,"27.6%",361,"22.5%","24.5%",0.16,0.16
"Karthus","Middle",5,"50.0%","10.0%","60.0%","40%","-",26,34,56,2.4,"87.2%","36.2%","20%",-221,-489,-5.4,8,"27.7%",802,"34.9%","24.3%",0.31,0.12
"Kennen","Support",1,"10.0%","0.0%","20.0%","100%","-",3,4,12,3.8,"65.2%","28.6%","0%",125,-146,4,1.1,"5.6%",369,"15.4%","13.3%",1.47,0.6
"Kennen","Top",1,"10.0%","0.0%","20.0%","100%","-",6,3,19,8.3,"80.6%","23.1%","0%",-454,-1479,-23,5,"23.0%",716,"24.9%","19.7%",0.6,0.05
