"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",1,"4.5%","0.0%","4.5%","0%","100%",7,5,6,2.6,"92.9%","26.3%","0%",-2147,-712,-22,6.6,"27.0%",491,"23.6%","27.6%",0.49,0.14
"Ahri","Middle",1,"4.5%","0.0%","4.5%","100%","100%",5,0,12,17,"77.3%","0.0%","0%",-38,102,-6,8.1,"22.7%",563,"29.3%","21.8%",0.47,0.4
"Alistar","Support",10,"45.5%","40.9%","86.4%","60%","10%",9,32,76,2.7,"61.6%","22.7%","30%",-141,-252,-7.6,1.1,"2.4%",173,"9.1%","8.8%",1.55,0.28
"Aphelios","ADC",2,"9.1%","4.5%","13.6%","50%","100%",11,3,5,5.3,"64.0%","11.5%","0%",-291,10,-4,9.1,"30.0%",465,"22.9%","27.8%",0.39,0.47
"Azir","Middle",6,"27.3%","13.6%","40.9%","33%","33%",17,19,33,2.6,"66.7%","20.7%","17%",-48,72,4.3,8.4,"27.0%",510,"27.3%","25.1%",0.52,0.25
"Braum","Support",2,"9.1%","18.2%","27.3%","50%","100%",0,3,18,6,"64.3%","12.5%","0%",-70,202,5.5,1.4,"3.4%",162,"8.2%","8.6%",1.56,0.44
"Caitlyn","ADC",1,"4.5%","0.0%","4.5%","0%","100%",1,4,2,0.8,"42.9%","18.2%","0%",572,355,14,9.6,"29.7%",309,"19.6%","26.4%",0.47,0.45
"Camille","Top",3,"13.6%","31.8%","45.5%","100%","33%",12,11,15,2.5,"54.0%","35.5%","67%",-392,-626,-12,7,"23.8%",402,"22.1%","20.2%",0.46,0.19
"Cho'Gath","Top",1,"4.5%","4.5%","9.1%","0%","100%",3,5,3,1.2,"85.7%","22.7%","0%",-922,-381,-11,7.4,"21.3%",335,"21.2%","21.7%",0.54,0.12
"Darius","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
