"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Flamengo Esports",5,2,3,31.4,70,73,0.96,0.91,-1.11,"-7.1%",30.3,9.7,-1277,"20%","40%","20%",,"50%","20%","39%",,"40%","50%","49.3%","45.5%",3.39,1.43,1.45
"KaBuM! e-Sports",4,1,3,30.5,44,66,0.67,0.9,-0.9,"-7.9%",42,-17,-1135,"0%","50%","75%",,"50%","50%","44%",,"75%","50%","49.1%","50.0%",3.39,1.33,1.48
"LOUD",5,2,3,32,75,72,1.04,0.91,0.16,"1.4%",41.1,-1.1,-142,"40%","60%","40%",,"67%","60%","38%",,"60%","67%","49.1%","48.6%",3.34,1.43,1.49
"paiN Gaming",14,9,5,31.7,198,191,1.04,0.88,0.57,"2.5%",63.1,1.2,696,"64%","64%","71%",,"44%","71%","66%",,"57%","44%","51.0%","53.3%",3.68,1.49,1.46
"RED Canids",8,4,4,30.1,96,95,1.01,0.79,0.04,"0.7%",51,-1,219,"88%","38%","25%",,"50%","75%","57%",,"25%","42%","49.9%","50.8%",3.43,1.58,1.19
"Vorax Liberty",8,4,4,30.7,97,84,1.15,0.74,-0.01,"2.4%",48,2,18,"38%","38%","50%",,"50%","0%","32%",,"50%","58%","49.8%","47.2%",3.25,1.37,1.41
