"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"River","PSG Talon","Jungle",9,"100%","78%",22,28,100,4.4,"73.1%","13.2%","35.4%","67%",297,317,6.1,5.7,"15.1%",293,"14.8%",,212,"17.1%",,0.41,0.3,0.38
"Rock","Hong Kong Attitude","Top",6,"33%","50%",17,15,28,3,"59.2%","22.4%","15.5%","33%",327,179,6,7.5,"24.4%",516,"24.5%",,243,"23.4%",,0.3,0.16,0.19
"Rockky","BOOM Esports","Top",6,"33%","83%",11,27,26,1.4,"56.9%","16.9%","24.8%","17%",-349,-290,-7,7,"23.0%",404,"21.6%",,204,"20.1%",,0.39,0.11,0.15
"Ruby","BOOM Esports","Middle",6,"33%","67%",15,25,32,1.9,"72.3%","23.1%","22.9%","0%",-124,65,5.7,8.1,"24.9%",601,"29.9%",,239,"24.0%",,0.46,0.15,0.21
"Shera","Impunity","Middle",4,"0%","25%",3,18,11,0.8,"50.0%","10.7%","19.6%","25%",-328,-106,3,7.8,"25.3%",438,"23.9%",,198,"21.6%",,0.42,0.15,0.1
"Smerv","Impunity","Support",4,"0%","50%",5,18,14,1.1,"67.9%","17.9%","19.6%","25%",-467,-159,16.8,2.9,"9.5%",173,"9.9%",,118,"12.7%",,1.11,0.32,0.26
"TOPKING","Impunity","Top",4,"0%","75%",8,17,8,0.9,"57.1%","28.6%","18.5%","0%",476,426,16.5,7.7,"25.8%",512,"29.8%",,242,"27.3%",,0.31,0.11,0.09
"Unified","PSG Talon","ADC",9,"100%","33%",65,10,62,12.7,"76.0%","38.9%","12.7%","22%",-107,-155,0,10.8,"37.8%",639,"32.0%",,382,"30.6%",,0.88,0.13,0.63
"Wako","BOOM Esports","ADC",6,"33%","50%",29,18,21,2.8,"76.9%","44.6%","16.5%","0%",389,61,16,9.5,"34.4%",650,"31.4%",,317,"30.7%",,0.79,0.11,0.47
"Wing","Hong Kong Attitude","Support",6,"33%","17%",3,30,40,1.4,"56.6%","3.9%","30.9%","0%",-218,-167,7,1.6,"4.5%",165,"7.9%",,101,"9.9%",,1.37,0.52,0.27
"Woody","J Team","Support",12,"42%","33%",10,37,137,4,"75.4%","5.1%","23.9%","17%",-118,-52,2.3,1.2,"2.4%",167,"8.2%",,105,"9.0%",,1.62,0.51,0.41
"yijie","Berjaya Dragons","ADC",5,"40%","40%",5,16,36,2.6,"67.2%","8.2%","21.3%","20%",-312,-33,-14.2,7.4,"24.3%",259,"15.6%",,228,"21.4%",,0.5,0.12,0.32
