"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lulu","Top",1,"2.7%","0.0%","2.7%","100%","100%",3,1,14,17,"85.0%","6.7%","0%",-256,-406,-8,5.2,"12.9%",376,"14.1%","16.4%",0.44,0.08
"Nautilus","Support",1,"2.7%","0.0%","2.7%","0%","0%",2,5,5,1.4,"87.5%","17.2%","0%",-390,60,7,1.6,"5.1%",191,"8.8%","13.7%",1.08,0.32
"Nidalee","Jungle",4,"10.8%","27.0%","37.8%","75%","25%",22,11,29,4.6,"72.9%","25.0%","50%",337,263,4,6.3,"19.4%",500,"22.4%","20.3%",0.69,0.56
"Nocturne","Jungle",1,"2.7%","5.4%","16.2%","100%","100%",1,5,9,2,"58.8%","38.5%","100%",678,565,12,5.8,"14.7%",208,"10.7%","16.0%",1.06,0.36
"Nocturne","Middle",1,"2.7%","5.4%","16.2%","0%","100%",1,7,7,1.1,"53.3%","31.8%","0%",-589,329,2,6.7,"21.0%",379,"19.2%","18.0%",0.37,0.24
"Nocturne","Top",2,"5.4%","5.4%","16.2%","50%","50%",6,3,6,4,"48.0%","11.5%","0%",36,-37,-6.5,7.5,"22.5%",305,"15.4%","20.0%",0.42,0.17
"Olaf","Jungle",8,"21.6%","27.0%","48.6%","63%","63%",23,17,45,4,"65.4%","15.3%","50%",-44,145,2.1,5.6,"15.1%",289,"15.4%","16.9%",0.41,0.33
"Orianna","Middle",18,"48.6%","24.3%","73.0%","33%","33%",40,58,138,3.1,"73.3%","22.0%","28%",178,183,6,8.6,"26.3%",495,"26.5%","23.1%",0.44,0.23
"Ornn","Top",2,"5.4%","5.4%","10.8%","100%","50%",3,4,17,5,"52.6%","22.2%","50%",93,155,7.5,7.5,"17.8%",364,"17.0%","18.1%",0.4,0.18
"Rakan","Support",6,"16.2%","13.5%","29.7%","17%","100%",5,24,41,1.9,"69.7%","19.8%","0%",-164,-29,-9.7,1.1,"3.3%",176,"8.9%","8.9%",2.2,0.55
"Rell","Support",16,"43.2%","32.4%","75.7%","44%","31%",11,62,131,2.3,"59.2%","26.1%","13%",-176,-85,-3.1,1.1,"2.8%",166,"8.1%","8.5%",1.6,0.34
