"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Rakan","Support",6,"26.1%","34.8%","60.9%","83%","67%",8,12,86,7.8,"85.5%","16.2%","50%",207,124,-3,1.1,"2.8%",141,"7.1%","10.2%",1.77,0.44
"Rell","Support",8,"34.8%","21.7%","56.5%","63%","0%",8,28,55,2.3,"57.3%","27.5%","13%",-94,-28,1.5,1.3,"3.1%",155,"8.1%","8.7%",1.16,0.36
"Renekton","Top",8,"34.8%","0.0%","34.8%","63%","38%",16,21,41,2.7,"53.3%","21.9%","38%",203,-63,2.9,7.3,"20.8%",368,"20.2%","20.9%",0.38,0.2
"Sejuani","Jungle",3,"13.0%","0.0%","13.0%","33%","100%",7,9,12,2.1,"86.4%","23.1%","33%",-54,-77,-5,5.4,"14.0%",289,"17.2%","18.9%",0.31,0.23
"Seraphine","ADC",1,"4.3%","95.7%","100.0%","100%","0%",2,1,17,19,"90.5%","20.0%","100%",-764,-240,-17,6.6,"19.3%",371,"17.8%","17.9%",0.48,0.22
"Sett","Top",1,"4.3%","0.0%","4.3%","0%","100%",3,2,3,3,"54.5%","14.3%","0%",174,137,9,7,"19.2%",350,"16.2%","21.2%",0.33,0.37
"Sion","Top",8,"34.8%","26.1%","60.9%","50%","50%",8,24,49,2.4,"67.9%","23.1%","13%",117,20,-2.8,6.8,"18.7%",329,"18.7%","19.3%",0.45,0.19
"Sivir","ADC",1,"4.3%","0.0%","4.3%","0%","100%",3,1,3,6,"100.0%","6.7%","100%",752,-242,-6,9.9,"35.0%",410,"32.3%","29.7%",0.36,0.21
"Skarner","Jungle",4,"17.4%","0.0%","17.4%","50%","75%",7,7,21,4,"62.2%","15.6%","50%",-197,-217,0.3,5.5,"14.8%",174,"10.2%","17.7%",0.42,0.27
"Soraka","Support",1,"4.3%","4.3%","8.7%","100%","100%",1,0,13,14,"93.3%","0.0%","100%",202,-173,-14,0.5,"2.2%",194,"9.9%","10.2%",1.17,0.22
"Sylas","Middle",2,"8.7%","4.3%","13.0%","50%","0%",7,9,16,2.6,"67.6%","34.6%","100%",284,-242,-6,7.7,"25.2%",417,"20.4%","21.5%",0.33,0.16
"Syndra","Middle",5,"21.7%","21.7%","43.5%","40%","60%",11,15,25,2.4,"63.2%","20.0%","0%",-107,-123,2.4,8.7,"28.1%",564,"29.0%","23.8%",0.39,0.16
"Tahm Kench","Support",2,"8.7%","13.0%","21.7%","50%","0%",1,6,12,2.2,"61.9%","37.5%","50%",-91,153,13.5,1.1,"2.1%",128,"5.9%","8.5%",1.4,0.25
"Thresh","Support",1,"4.3%","95.7%","100.0%","0%","0%",0,2,13,6.5,"92.9%","13.3%","100%",-4,378,1,1.5,"4.7%",158,"6.5%","10.7%",1.43,0.42
"Tristana","ADC",6,"26.1%","73.9%","100.0%","33%","0%",20,14,15,2.5,"71.4%","14.6%","0%",-337,-77,-11.2,9.1,"31.4%",508,"28.0%","27.8%",0.71,0.39
"Twisted Fate","-",0,"0%","4.3%","4.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Udyr","Jungle",15,"65.2%","0.0%","65.2%","60%","33%",25,35,98,3.5,"61.2%","17.9%","33%",239,671,13.7,6,"17.1%",173,"8.8%","17.8%",0.36,0.42
"Urgot","Top",3,"13.0%","4.3%","17.4%","33%","33%",14,8,13,3.4,"61.4%","13.6%","0%",-216,115,8,8.3,"25.1%",404,"19.9%","24.9%",0.61,0.35
