"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Chiefs Esports Club",11,7,4,32.7,150,121,1.24,0.75,-0.27,"-0.3%",46.5,17.1,-341,"64%","36%","27%",,"62%","27%","49%","67%","36%","50%","50.0%","49.6%",2.74,0.99,1.24
"Dire Wolves",7,1,6,33.3,63,127,0.5,0.81,-1.21,"-10.2%",30.7,-16.4,-2214,"14%","29%","29%",,"33%","57%","36%","33%","29%","25%","49.6%","49.3%",2.88,1.15,1.08
"ORDER",3,0,3,30.7,14,53,0.26,0.73,-1.24,"-10.2%",29.7,-29.7,-1402,"33%","33%","67%",,"0%","33%","36%",,"33%","33%","49.1%","45.1%",3.11,1.33,1.07
"PEACE",16,9,7,32.9,250,172,1.45,0.8,1.29,"6.0%",70.9,-14.7,2206,"88%","94%","69%",,"57%","69%","54%","50%","50%","54%","50.6%","50.3%",3.18,1.29,1.58
"Pentanet.GG",9,6,3,35.7,128,135,0.95,0.81,-0.58,"1.0%",38.8,27.8,-1316,"0%","11%","56%",,"53%","44%","59%","50%","78%","67%","49.5%","52.1%",3.42,1.29,1.62
