"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Orianna","Middle",1,"7.7%","0.0%","7.7%","0%","-",3,4,2,1.3,"50.0%","16.0%","-","-","-","-","-","-","-","-","-","-","-"
"Quinn","Middle",1,"7.7%","0.0%","7.7%","0%","-",4,8,2,0.8,"54.5%","32.0%","-","-","-","-","-","-","-","-","-","-","-"
"Rek'Sai","Jungle",6,"46.2%","30.8%","76.9%","33%","-",14,27,43,2.1,"67.1%","22.9%","-","-","-","-","-","-","-","-","-","-","-"
"Rengar","Jungle",1,"7.7%","30.8%","38.5%","0%","-",1,4,3,1,"57.1%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Riven","Top",1,"7.7%","0.0%","7.7%","0%","-",0,5,0,0,"0.0%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Rumble","Top",4,"30.8%","7.7%","38.5%","50%","-",8,13,17,1.9,"39.1%","21.7%","-","-","-","-","-","-","-","-","-","-","-"
"Sejuani","Jungle",4,"30.8%","38.5%","69.2%","75%","-",8,9,41,5.4,"67.1%","19.6%","-","-","-","-","-","-","-","-","-","-","-"
"Sion","Top",2,"15.4%","0.0%","15.4%","50%","-",4,5,15,3.8,"57.6%","18.5%","-","-","-","-","-","-","-","-","-","-","-"
"Teemo","ADC",1,"7.7%","0.0%","7.7%","0%","-",2,4,4,1.5,"54.5%","16.0%","-","-","-","-","-","-","-","-","-","-","-"
"Thresh","Support",7,"53.8%","0.0%","53.8%","71%","-",9,17,92,5.9,"75.4%","17.7%","-","-","-","-","-","-","-","-","-","-","-"
"Udyr","Jungle",2,"15.4%","0.0%","15.4%","50%","-",7,3,8,5,"68.2%","12.0%","-","-","-","-","-","-","-","-","-","-","-"
"Vi","Jungle",1,"7.7%","0.0%","7.7%","100%","-",2,2,12,7,"58.3%","15.4%","-","-","-","-","-","-","-","-","-","-","-"
"Volibear","Support",1,"7.7%","0.0%","7.7%","0%","-",1,3,5,2,"54.5%","12.0%","-","-","-","-","-","-","-","-","-","-","-"
"Xerath","Middle",5,"38.5%","38.5%","76.9%","80%","-",22,15,38,4,"60.6%","19.2%","-","-","-","-","-","-","-","-","-","-","-"
"Zac","Jungle",2,"15.4%","0.0%","15.4%","0%","-",2,3,9,3.7,"73.3%","9.1%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Middle",4,"30.8%","53.8%","84.6%","75%","-",36,9,26,6.9,"69.7%","14.3%","-","-","-","-","-","-","-","-","-","-","-"
