"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Counter Logic Gaming",17,10,7,35.8,230,237,0.97,0.77,-0.01,"2.4%",,,770,"53%","88%","65%",,"55%","35%","38%",,"65%","68%","50.1%","50.1%",3.47,0.65,1.53
"Flash Wolves",14,7,7,37.4,163,135,1.21,0.57,0.02,"-3.1%",,,-236,"50%","43%","36%",,"35%","64%","61%",,"50%","55%","48.7%","48.0%",3.66,0.86,1.49
"G2 Esports",10,2,8,33.5,88,170,0.52,0.76,-0.93,"-8.7%",,,-389,"40%","60%","50%",,"45%","20%","26%",,"20%","33%","49.2%","49.7%",3.41,0.61,1.26
"Royal Never Give Up",14,9,5,37.5,208,162,1.28,0.7,0.98,"3.2%",,,106,"79%","29%","43%",,"80%","64%","63%",,"64%","56%","50.4%","53.6%",3.77,0.81,1.6
"SK Telecom T1",17,12,5,36.9,266,157,1.69,0.67,0.55,"8.4%",,,821,"41%","41%","59%",,"58%","76%","61%",,"41%","45%","51.8%","52.8%",3.73,0.67,1.61
"SuperMassive Esports",10,1,9,31.6,86,182,0.47,0.85,-1.74,"-9.9%",,,-2134,"30%","30%","40%",,"24%","20%","34%",,"20%","20%","48.8%","43.2%",3.52,0.73,1.38
