"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Poppy","Top",30,"73.2%","4.9%","85.4%","57%","-",62,56,169,4.1,"57.2%","16.3%","13%",-118,-204,-7.3,6.8,"23.3%",342,"16.9%","20.0%",0.53,0.12
"Ryze","Middle",20,"48.8%","41.5%","92.7%","75%","-",81,36,107,5.2,"63.1%","20.2%","30%",-59,42,-0.3,8.8,"28.5%",552,"27.1%","23.5%",0.58,0.2
"Ryze","Top",1,"2.4%","41.5%","92.7%","0%","-",0,4,1,0.3,"33.3%","21.1%","0%",487,437,23,7.4,"26.2%",194,"17.2%","20.9%",0.59,0.13
"Sivir","ADC",12,"29.3%","26.8%","56.1%","58%","-",53,24,77,5.4,"68.4%","19.5%","25%",41,-58,-4.8,9.6,"33.3%",638,"29.2%","26.1%",0.51,0.23
"Sona","Support",2,"4.9%","0.0%","4.9%","100%","-",2,5,27,5.8,"87.9%","26.3%","50%",132,-107,1,0.6,"2.3%",170,"8.3%","12.6%",1.18,0.44
"Soraka","Support",12,"29.3%","22.0%","51.2%","50%","-",2,33,110,3.4,"71.3%","24.4%","25%",127,94,-3,0.5,"2.3%",121,"5.9%","11.3%",1.06,0.33
"Tahm Kench","Support",2,"4.9%","2.4%","7.3%","50%","-",3,8,16,2.4,"57.6%","23.5%","50%",-228,-67,-4,1.3,"4.1%",150,"6.5%","11.3%",1.24,0.29
"Thresh","Support",6,"14.6%","4.9%","19.5%","33%","-",1,21,40,2,"58.6%","22.6%","50%",9,125,-1,0.9,"3.2%",121,"6.8%","10.1%",1.33,0.35
"Tristana","ADC",2,"4.9%","0.0%","4.9%","50%","-",3,2,3,3,"60.0%","16.7%","50%",-17,275,-1,9.6,"31.6%",329,"24.4%","26.5%",0.34,0.13
"Trundle","Support",3,"7.3%","12.2%","31.7%","33%","-",0,14,17,1.2,"63.0%","26.9%","0%",-122,-209,4,1.4,"4.4%",98,"4.9%","10.5%",1.58,0.51
"Trundle","Top",5,"12.2%","12.2%","31.7%","60%","-",12,18,22,1.9,"61.8%","23.7%","40%",-93,-124,4.6,7.8,"27.5%",340,"16.6%","22.2%",0.5,0.16
"Twisted Fate","Middle",1,"2.4%","9.8%","12.2%","0%","-",3,5,5,1.6,"53.3%","21.7%","0%",8,-519,-6,7.4,"25.7%",511,"19.7%","23.2%",0.48,0.13
"Twitch","ADC",3,"7.3%","24.4%","31.7%","100%","-",13,4,17,7.5,"69.8%","28.6%","67%",75,-275,-12.3,8.3,"26.7%",550,"29.6%","24.0%",0.49,0.3
"Varus","ADC",1,"2.4%","0.0%","2.4%","0%","-",0,4,5,1.3,"41.7%","25.0%","0%",310,242,8,7.9,"27.2%",549,"26.1%","21.4%",0.46,0.18
"Vayne","ADC",1,"2.4%","0.0%","2.4%","0%","-",0,1,2,2,"66.7%","10.0%","0%",-147,-464,-9,9,"29.5%",257,"20.2%","25.7%",0.46,0.35
"Zed","Middle",3,"7.3%","17.1%","24.4%","0%","-",7,10,9,1.6,"55.2%","20.4%","67%",41,-55,-11,7.9,"26.1%",420,"28.0%","22.3%",0.58,0.17
"Zilean","Middle",1,"2.4%","7.3%","9.8%","100%","-",2,1,6,8,"66.7%","14.3%","0%",-434,333,-5,8,"24.5%",710,"28.3%","20.3%",0.66,0.33
