"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",6,"7.4%","0.0%","7.4%","50%","100%",22,18,21,2.4,"53.1%","20.7%","33%",208,-42,-1.3,8,"23.4%",451,"24.0%","21.5%",0.4,0.17
"Ahri","Middle",1,"1.2%","3.7%","4.9%","0%","100%",0,2,2,1,"66.7%","15.4%","0%",64,451,0,8.5,"25.3%",230,"23.4%","22.9%",0.29,0.25
"Akali","Middle",4,"4.9%","3.7%","9.9%","25%","75%",15,15,15,2,"75.0%","20.3%","25%",-255,-110,-8.8,7.1,"20.1%",418,"23.6%","22.3%",0.3,0.15
"Akali","Top",1,"1.2%","3.7%","9.9%","0%","100%",3,2,2,2.5,"62.5%","15.4%","0%",196,735,12,7.4,"22.1%",660,"36.3%","24.9%",0.26,0.18
"Alistar","Support",21,"25.9%","19.8%","45.7%","48%","62%",13,71,168,2.5,"65.6%","24.5%","14%",-42,-82,0,1.2,"3.1%",119,"6.8%","8.7%",1.46,0.33
"Amumu","-",0,"0%","1.2%","1.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Aphelios","ADC",7,"8.6%","0.0%","8.6%","71%","100%",35,14,38,5.2,"61.9%","18.4%","43%",306,254,7.6,9.6,"33.7%",538,"27.4%","27.7%",0.44,0.29
"Ashe","ADC",1,"1.2%","1.2%","2.5%","0%","100%",0,1,8,8,"80.0%","7.7%","100%",833,493,63,8.1,"29.8%",910,"35.4%","21.7%",0.37,0.32
"Azir","Middle",2,"2.5%","0.0%","2.5%","50%","100%",5,7,19,3.4,"77.4%","28.0%","50%",173,159,12.5,8.7,"24.9%",519,"31.5%","22.3%",0.4,0.25
"Blitzcrank","Support",1,"1.2%","1.2%","2.5%","0%","100%",1,6,12,2.2,"72.2%","22.2%","0%",286,389,0,0.9,"1.6%",293,"14.5%","10.7%",1.11,0.1
"Braum","Support",7,"8.6%","1.2%","9.9%","43%","100%",3,21,57,2.9,"85.7%","20.2%","29%",16,151,0.4,1.2,"2.7%",168,"10.0%","9.4%",1.48,0.37
"Camille","Top",1,"1.2%","2.5%","3.7%","0%","100%",2,9,2,0.4,"40.0%","45.0%","0%",-1173,-673,-12,7.6,"27.1%",451,"25.2%","24.1%",0.39,0.15
"Darius","Top",1,"1.2%","0.0%","1.2%","100%","100%",10,6,8,3,"85.7%","27.3%","0%",-307,-877,-5,7.3,"23.6%",715,"33.4%","26.5%",0.52,0.13
"Diana","Jungle",1,"1.2%","2.5%","3.7%","100%","100%",4,2,8,6,"70.6%","18.2%","0%",-453,-283,-4,7.9,"21.6%",461,"25.0%","20.1%",0.21,0.45
"Draven","-",0,"0%","7.4%","7.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","-",0,"0%","1.2%","1.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Fiddlesticks","Jungle",1,"1.2%","2.5%","3.7%","0%","100%",0,4,4,1,"100.0%","19.0%","100%",-714,-557,-8,5.6,"10.6%",382,"27.6%","17.0%",0.29,0.33
"Galio","Middle",1,"1.2%","6.2%","12.3%","0%","100%",2,2,7,4.5,"69.2%","12.5%","0%",-519,-639,-13,7.9,"21.3%",246,"15.4%","19.7%",0.53,0.28
"Galio","Support",4,"4.9%","6.2%","12.3%","50%","100%",2,10,38,4,"67.8%","21.7%","75%",-160,-54,-0.8,1.3,"2.7%",204,"11.8%","9.0%",1.34,0.19
"Gangplank","Top",9,"11.1%","3.7%","14.8%","44%","78%",21,39,58,2,"61.7%","28.5%","22%",-95,-109,0.2,7.8,"24.3%",545,"26.9%","23.6%",0.43,0.12
"Gnar","Top",41,"50.6%","32.1%","82.7%","46%","27%",84,110,194,2.5,"56.7%","18.6%","12%",-179,-31,-2.9,7.9,"24.0%",402,"22.7%","22.4%",0.43,0.26
"Gragas","Support",1,"1.2%","0.0%","7.4%","100%","100%",0,3,2,0.7,"25.0%","21.4%","0%",77,-8,2,1.1,"1.7%",177,"11.9%","8.6%",1.68,0.4
"Gragas","Top",5,"6.2%","0.0%","7.4%","80%","40%",9,10,54,6.3,"62.4%","20.0%","0%",52,322,-0.2,6.9,"18.5%",443,"17.7%","19.3%",0.4,0.17
"Graves","Jungle",2,"2.5%","0.0%","2.5%","50%","100%",6,4,3,2.3,"47.4%","23.5%","0%",347,734,17.5,7.7,"23.2%",339,"19.7%","21.7%",0.23,0.27
