"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",5,"50.0%","0.0%","50.0%","60%","60%",1,18,35,2,"69.2%","32.7%","20%",27,82,-0.2,1.1,"2.7%",138,"7.8%","8.9%",1.51,0.14
"Anivia","-",0,"0%","10.0%","10.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ashe","ADC",1,"10.0%","0.0%","10.0%","100%","100%",5,0,9,14,"93.3%","0.0%","0%",-411,0,-13,8.9,"29.7%",618,"32.6%","25.2%",0.45,0.35
"Azir","Middle",1,"10.0%","20.0%","30.0%","100%","0%",4,2,2,3,"42.9%","22.2%","0%",-36,0,7,10.9,"31.3%",657,"31.4%","25.9%",0.72,0.36
"Braum","Support",2,"20.0%","40.0%","60.0%","0%","100%",2,4,10,3,"80.0%","16.7%","50%",139,-66,2,1.8,"5.9%",154,"9.7%","11.3%",1.59,0.21
"Caitlyn","ADC",5,"50.0%","10.0%","60.0%","80%","80%",22,7,27,7,"72.1%","15.6%","20%",192,-65,6.2,10.3,"33.7%",830,"35.8%","28.0%",0.37,0.41
"Camille","Top",4,"40.0%","40.0%","80.0%","50%","75%",11,8,15,3.3,"59.1%","16.0%","0%",136,163,7.3,9.1,"29.0%",406,"25.4%","24.4%",0.51,0.16
"Cassiopeia","Middle",6,"60.0%","0.0%","60.0%","33%","17%",17,5,22,7.8,"75.0%","7.5%","33%",283,-112,2,9.5,"28.9%",481,"29.3%","26.1%",0.68,0.31
"Cho'Gath","Top",1,"10.0%","0.0%","10.0%","100%","100%",0,4,8,2,"57.1%","40.0%","100%",254,380,3,7.4,"21.9%",333,"17.9%","18.5%",0.52,0.05
"Ezreal","ADC",2,"20.0%","40.0%","60.0%","50%","50%",10,4,9,4.8,"73.1%","23.5%","0%",284,40,-0.5,9.9,"29.8%",794,"35.7%","27.0%",0.51,0.32
"Galio","Middle",1,"10.0%","40.0%","50.0%","100%","100%",2,2,5,3.5,"50.0%","33.3%","0%",-640,-477,-14,8.6,"24.6%",385,"15.8%","20.8%",0.64,0.22
