"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Flash Wolves",3,3,0,33.8,43,21,2.05,0.63,0.61,"10.4%",60.8,39.2,215,"33%","33%","67%",,"100%","67%","63%","100%","100%","100%","48.9%","54.5%",5.13,1.57,1.65
"G-Rex",6,3,3,34.2,67,76,0.88,0.7,-0.44,"-3.0%",40.3,9.7,-459,"83%","50%","33%",,"17%","50%","61%","0%","17%","33%","49.9%","49.3%",4.3,1.5,1.61
"Machi Esports",4,1,3,34.8,31,47,0.66,0.56,-0.96,"-8.2%",34.7,-9.7,-402,"25%","50%","0%",,"0%","0%","27%",,"25%","29%","50.8%","44.2%",3.23,1.1,1.59
"MAD Team",7,3,4,34.8,80,77,1.04,0.65,0.66,"2.8%",62.4,-19.5,531,"43%","57%","86%",,"86%","71%","52%",,"71%","58%","50.0%","51.9%",4.43,1.4,1.25
