"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","-",0,"0%","0.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ahri","Middle",9,"8.0%","1.8%","9.8%","44%","78%",44,30,60,3.5,"64.6%","20.5%","44%",30,314,2.3,7.7,"25.4%",563,"25.5%","22.7%",0.43,0.24
"Alistar","Support",4,"3.6%","0.0%","3.6%","25%","75%",4,19,54,3.1,"70.7%","21.3%","50%",-209,-614,5.5,1,"3.4%",183,"7.6%","11.9%",1.41,0.4
"Ashe","ADC",41,"36.6%","16.1%","53.6%","39%","41%",102,120,258,3,"62.1%","16.7%","7%",-123,-109,-3,8.1,"28.2%",389,"20.2%","22.9%",0.3,0.15
"Ashe","Support",1,"0.9%","16.1%","53.6%","100%","0%",1,2,14,7.5,"65.2%","8.7%","0%",-280,121,-11,1.1,"5.0%",298,"10.9%","13.8%",1.1,0.33
"Aurelion Sol","Middle",1,"0.9%","0.0%","0.9%","0%","100%",1,4,3,1,"80.0%","33.3%","100%",764,951,14,10,"32.5%",544,"24.1%","27.7%",0.51,0.27
"Azir","Middle",3,"2.7%","0.0%","2.7%","33%","67%",15,10,10,2.5,"69.4%","22.7%","0%",8,-98,2.7,9,"27.3%",666,"34.5%","26.3%",0.41,0.35
"Bard","Support",2,"1.8%","0.9%","2.7%","50%","50%",3,2,14,8.5,"65.4%","15.4%","100%",282,177,-4.5,0.5,"2.1%",127,"9.9%","12.3%",1.36,0.3
"Blitzcrank","Support",4,"3.6%","2.7%","6.3%","25%","100%",3,14,36,2.8,"57.4%","16.5%","25%",25,-2,6.8,1.1,"4.1%",202,"10.4%","12.0%",1.2,0.27
"Brand","Support",2,"1.8%","0.0%","1.8%","0%","100%",4,10,6,1,"90.9%","27.8%","0%",-44,-150,1.5,0.4,"1.7%",384,"25.8%","11.4%",0.98,0.24
"Braum","Support",6,"5.4%","1.8%","7.1%","67%","83%",6,12,64,5.8,"60.9%","16.4%","33%",255,-78,10.2,1.4,"4.7%",192,"8.5%","12.5%",1.18,0.33
"Caitlyn","ADC",22,"19.6%","12.5%","32.1%","45%","77%",80,57,104,3.2,"65.5%","15.7%","9%",-103,-101,-1,8.8,"30.1%",469,"23.7%","24.6%",0.35,0.19
"Camille","Jungle",3,"2.7%","76.8%","95.5%","33%","67%",12,14,28,2.9,"66.7%","25.0%","67%",140,133,-8.3,3.5,"15.1%",491,"24.6%","19.4%",0.45,0.19
"Camille","Support",1,"0.9%","76.8%","95.5%","0%","0%",1,5,7,1.6,"66.7%","20.8%","0%",-105,-311,9,1.6,"6.3%",166,"7.2%","13.2%",1.22,0.44
"Camille","Top",17,"15.2%","76.8%","95.5%","71%","6%",84,66,91,2.7,"61.6%","25.0%","29%",94,53,-2.9,7.4,"26.1%",482,"24.7%","22.4%",0.46,0.11
"Cassiopeia","Middle",20,"17.9%","18.8%","36.6%","50%","85%",98,64,133,3.6,"65.1%","20.8%","10%",36,18,0.5,7.9,"25.9%",539,"25.4%","23.5%",0.49,0.12
"Corki","Middle",28,"25.0%","15.2%","40.2%","57%","39%",124,74,140,3.6,"61.4%","17.2%","7%",-97,-77,-3.4,8.7,"30.0%",670,"30.0%","24.9%",0.47,0.2
"Darius","Top",2,"1.8%","0.0%","1.8%","0%","100%",12,10,5,1.7,"48.6%","20.4%","0%",-361,-156,8,8.9,"32.1%",429,"21.8%","24.8%",0.28,0.12
"Ekko","Jungle",1,"0.9%","11.6%","20.5%","100%","100%",13,1,11,24,"58.5%","4.5%","100%",464,1058,14,5.4,"22.1%",785,"23.3%","24.1%",0.39,0.07
"Ekko","Middle",9,"8.0%","11.6%","20.5%","56%","67%",38,30,46,2.8,"60.0%","20.3%","22%",126,163,-4.2,8,"25.4%",503,"24.0%","23.0%",0.46,0.18
"Elise","Jungle",28,"25.0%","13.4%","38.4%","54%","71%",102,103,185,2.8,"65.8%","23.7%","50%",-74,-312,-1.6,3.8,"12.6%",311,"15.5%","18.4%",0.82,0.34
"Evelynn","Jungle",1,"0.9%","0.9%","1.8%","100%","100%",10,3,7,5.7,"81.0%","27.3%","0%",568,1126,8,4.1,"12.3%",785,"44.6%","20.5%",0.44,0.06
"Ezreal","ADC",14,"12.5%","2.7%","15.2%","43%","100%",40,30,68,3.6,"61.0%","15.6%","0%",41,133,2.9,8.2,"26.4%",585,"27.4%","22.6%",0.36,0.17
"Fiora","Top",10,"8.9%","22.3%","31.3%","30%","80%",38,33,36,2.2,"50.3%","20.8%","0%",-185,-104,4,8.4,"28.6%",495,"25.3%","23.0%",0.51,0.12
"Gangplank","Top",5,"4.5%","4.5%","8.9%","40%","100%",20,19,32,2.7,"61.2%","22.1%","20%",132,188,9.4,9.2,"32.6%",718,"32.3%","27.8%",0.47,0.1
"Gnar","-",0,"0%","0.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Jungle",2,"1.8%","3.6%","17.9%","100%","0%",2,7,25,3.9,"71.1%","31.8%","0%",-278,92,-4,4.3,"13.4%",346,"18.4%","16.6%",0.99,0.34
"Gragas","Middle",1,"0.9%","3.6%","17.9%","0%","100%",4,13,5,0.7,"40.9%","31.7%","0%",-287,101,-6,4.3,"15.3%",591,"24.4%","17.7%",0.25,0.04
"Gragas","Top",13,"11.6%","3.6%","17.9%","54%","85%",27,35,74,2.9,"48.3%","20.5%","15%",-245,-138,-8.3,6.9,"22.8%",373,"17.7%","20.0%",0.48,0.11
"Graves","Jungle",33,"29.5%","24.1%","53.6%","73%","45%",148,84,175,3.8,"64.9%","22.6%","55%",223,69,0.5,5.3,"19.5%",439,"21.2%","21.1%",0.58,0.27
"Heimerdinger","Top",1,"0.9%","0.0%","0.9%","0%","100%",2,7,1,0.4,"27.3%","20.0%","0%",-654,-983,-24,6.5,"36.9%",427,"21.3%","22.7%",0.44,0.08
"Illaoi","Top",1,"0.9%","0.0%","0.9%","0%","0%",2,10,1,0.3,"25.0%","27.0%","0%",-384,-15,2,7.3,"28.4%",610,"31.0%","22.5%",0.44,0
"Irelia","Top",3,"2.7%","0.9%","3.6%","67%","67%",17,10,20,3.7,"47.4%","20.4%","0%",-23,100,9,9.2,"36.4%",488,"21.5%","24.6%",0.41,0.09
"Ivern","Jungle",22,"19.6%","26.8%","46.4%","36%","45%",21,60,214,3.9,"83.0%","18.0%","9%",-142,78,-8.9,2.9,"9.5%",205,"10.4%","16.9%",0.57,0.27
"Janna","Support",1,"0.9%","0.0%","0.9%","0%","100%",0,3,5,1.7,"71.4%","21.4%","0%",102,-253,1,0.6,"2.5%",49,"2.4%","10.6%",1.16,0.5
"Jarvan IV","Jungle",1,"0.9%","0.0%","0.9%","100%","100%",4,6,15,3.2,"82.6%","26.1%","0%",487,1214,-2,3.4,"11.0%",257,"9.4%","17.6%",0.72,0.36
"Jayce","Middle",10,"8.9%","58.0%","73.2%","50%","0%",39,30,57,3.2,"74.4%","21.0%","20%",105,74,2.4,8,"25.3%",648,"29.6%","24.1%",0.45,0.23
"Jayce","Top",7,"6.3%","58.0%","73.2%","43%","0%",26,28,33,2.1,"50.9%","20.7%","14%",374,132,22.3,8.8,"30.7%",610,"27.2%","24.3%",0.47,0.23
"Jhin","ADC",52,"46.4%","28.6%","75.0%","38%","44%",168,115,325,4.3,"66.2%","15.1%","31%",-74,-31,-3.1,7.6,"25.6%",467,"23.5%","22.3%",0.35,0.11
"Jinx","ADC",1,"0.9%","0.0%","0.9%","0%","100%",0,4,3,0.8,"21.4%","16.0%","100%",-533,-157,-9,7.7,"29.4%",207,"11.8%","20.0%",0.37,0.29
"Kalista","ADC",13,"11.6%","12.5%","24.1%","77%","77%",80,41,77,3.8,"62.5%","22.2%","46%",431,182,6.8,8.6,"27.6%",428,"21.1%","24.9%",0.33,0.22
"Karma","Support",45,"40.2%","15.2%","55.4%","53%","31%",21,88,372,4.5,"73.5%","17.2%","16%",-34,-64,-1.7,0.7,"2.9%",182,"9.9%","11.6%",1.16,0.39
"Katarina","Middle",5,"4.5%","2.7%","7.1%","0%","80%",14,22,10,1.1,"54.5%","27.8%","0%",-916,-643,-14.8,7.3,"24.5%",322,"20.0%","22.6%",0.42,0.14
"Kayle","Top",1,"0.9%","0.0%","0.9%","0%","100%",0,3,1,0.3,"20.0%","23.1%","100%",448,110,10,10.5,"32.2%",665,"31.2%","26.1%",0.6,0.17
"Kennen","Top",1,"0.9%","1.8%","2.7%","0%","100%",1,9,0,0.1,"100.0%","40.9%","0%",18,357,12,6.8,"21.8%",451,"27.6%","21.2%",0.44,0.02
