"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Crew e-Sports Club",28,15,13,35.2,451,460,0.98,0.93,0.29,"3.1%",54.5,-0.9,333,"46%","50%","71%",,"50%","57%","58%","50%","54%","55%","50.8%","51.0%",3.03,0.56,1.07
"Dark Passage",28,10,18,34.5,342,438,0.78,0.81,-1.02,"-7.8%",37.1,-1.4,-1024,"39%","43%","36%",,"33%","33%","38%","80%","39%","42%","50.3%","46.1%",2.93,0.77,1.06
"Fenerbahçe Esports",28,14,14,37.1,388,385,1.01,0.74,0.08,"2.0%",44.8,5.2,-39,"50%","25%","46%",,"70%","46%","40%","15%","46%","41%","50.5%","51.4%",3.41,0.92,1.26
"Galakticos",28,13,15,33.8,426,408,1.04,0.88,-0.42,"-0.7%",47.5,-1.1,-446,"64%","43%","32%",,"40%","46%","43%","80%","54%","53%","48.9%","47.8%",3.05,0.82,0.92
"Galatasaray Esports",28,8,20,35.6,360,418,0.86,0.78,-0.7,"-7.7%",38.9,-10.3,-918,"36%","43%","32%",,"25%","25%","33%","75%","29%","38%","49.9%","47.1%",3.03,0.66,0.98
"HWA Gaming",28,14,14,35.2,469,435,1.08,0.92,0.11,"1.3%",53.5,-3.5,109,"57%","57%","43%",,"40%","57%","56%","25%","46%","46%","49.3%","54.0%",3.26,0.87,1.12
"SuperMassive Esports",28,22,6,32.8,477,353,1.35,0.9,1.32,"8.1%",67.1,11.5,1422,"54%","79%","79%",,"83%","82%","75%","100%","71%","81%","50.2%","50.5%",3.19,0.81,1.13
"Team AURORA",28,16,12,36.3,436,460,0.95,0.88,0.38,"1.6%",56.6,0.5,562,"54%","61%","61%",,"33%","52%","58%","40%","46%","47%","50.1%","52.2%",3.08,0.79,1.11
