"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akali","Middle",1,"9.1%","18.2%","27.3%","100%","100%",7,2,5,6,"75.0%","25.0%","0%",-156,28,-4,9.5,"28.1%",504,"27.2%","26.2%",0.47,0.12
"Alistar","Support",6,"54.5%","27.3%","81.8%","67%","50%",6,23,66,3.1,"74.2%","28.0%","17%",-383,-288,-24.5,1.2,"2.9%",168,"7.7%","9.8%",1.36,0.27
"Aphelios","ADC",1,"9.1%","9.1%","18.2%","0%","100%",0,3,4,1.3,"57.1%","13.0%","0%",471,253,16,10,"39.7%",350,"24.3%","32.1%",0.5,0.31
"Ashe","ADC",2,"18.2%","0.0%","18.2%","100%","50%",11,3,15,8.7,"78.8%","14.3%","0%",-114,-144,-6,7.7,"26.3%",473,"22.0%","23.3%",0.46,0.21
"Azir","-",0,"0%","27.3%","27.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",2,"18.2%","0.0%","18.2%","0%","100%",0,8,6,0.8,"42.9%","30.8%","0%",-98,158,0.5,1.1,"2.0%",126,"7.0%","7.8%",1.2,0.21
"Caitlyn","ADC",1,"9.1%","0.0%","9.1%","0%","100%",1,2,1,1,"66.7%","10.5%","0%",962,481,76,9,"32.6%",600,"39.9%","29.2%",0.29,0.6
"Camille","-",0,"0%","9.1%","9.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cassiopeia","Middle",1,"9.1%","9.1%","18.2%","100%","100%",12,1,12,24,"85.7%","6.3%","0%",-344,208,-1,9.1,"37.1%",706,"28.7%","30.1%",0.43,0.32
"Cho'Gath","Top",4,"36.4%","9.1%","45.5%","25%","50%",11,25,19,1.2,"55.6%","29.8%","25%",8,-226,-3.5,6.6,"20.3%",308,"15.4%","19.7%",0.44,0.15
"Corki","Middle",1,"9.1%","0.0%","9.1%","0%","100%",0,5,1,0.2,"100.0%","23.8%","0%",51,-205,3,8.7,"31.1%",612,"38.9%","25.4%",0.37,0.15
"Darius","-",0,"0%","18.2%","18.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",1,"9.1%","9.1%","18.2%","0%","0%",1,1,4,5,"71.4%","8.3%","0%",69,-97,6,8.9,"31.5%",725,"37.6%","26.4%",0.42,0.37
"Gnar","Top",4,"36.4%","0.0%","36.4%","75%","25%",11,13,29,3.1,"71.4%","26.0%","0%",476,477,22,6.8,"21.1%",423,"21.2%","21.1%",0.41,0.15
"Gragas","Support",1,"9.1%","9.1%","18.2%","0%","0%",1,7,5,0.9,"50.0%","38.9%","100%",-109,-66,-5,1.1,"2.3%",231,"9.6%","9.0%",1.35,0.16
"Graves","Jungle",3,"27.3%","0.0%","27.3%","33%","67%",9,8,24,4.1,"75.0%","18.2%","100%",550,646,9.7,8.2,"30.3%",438,"20.2%","24.2%",0.26,0.49
"Hecarim","Jungle",3,"27.3%","72.7%","100.0%","67%","0%",5,9,26,3.4,"72.1%","20.5%","0%",-198,-206,-3.3,5,"14.7%",309,"14.6%","16.2%",0.3,0.19
"Jayce","Middle",2,"18.2%","18.2%","36.4%","50%","0%",9,6,12,3.5,"80.8%","23.1%","50%",154,488,2.5,8.5,"30.3%",691,"37.5%","28.5%",0.45,0.34
"Jhin","ADC",2,"18.2%","0.0%","18.2%","50%","100%",5,3,12,5.7,"65.4%","11.5%","0%",-94,98,-5.5,7.2,"26.0%",361,"19.3%","22.2%",0.48,0.18
"Jinx","ADC",1,"9.1%","9.1%","18.2%","0%","100%",2,3,6,2.7,"66.7%","16.7%","100%",-44,38,3,8.7,"29.7%",692,"28.7%","26.0%",0.35,0.65
"Kai'Sa","ADC",3,"27.3%","45.5%","72.7%","67%","100%",16,5,19,7,"76.1%","12.8%","0%",410,93,62.7,9,"31.5%",544,"26.7%","27.4%",0.83,0.34
"Kassadin","Middle",1,"9.1%","54.5%","63.6%","100%","100%",12,1,7,19,"82.6%","14.3%","0%",311,479,10,9.2,"30.8%",959,"40.0%","30.0%",0.23,0.47
"Kha'Zix","Jungle",1,"9.1%","9.1%","18.2%","100%","100%",10,0,4,14,"66.7%","0.0%","100%",-58,7,1,7.7,"25.7%",420,"19.8%","24.5%",0.21,0.27
"Kindred","-",0,"0%","9.1%","9.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Leona","-",0,"0%","9.1%","9.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lillia","Jungle",4,"36.4%","36.4%","72.7%","25%","0%",12,6,26,6.3,"70.4%","9.7%","50%",-172,-664,-11,6.1,"21.0%",490,"22.9%","19.3%",0.78,0.32
"Lucian","-",0,"0%","18.2%","18.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Maokai","Support",1,"9.1%","0.0%","9.1%","0%","100%",3,7,5,1.1,"61.5%","33.3%","0%",768,754,50,5.2,"14.8%",373,"18.6%","17.1%",0.42,0.19
"Nasus","Top",1,"9.1%","18.2%","27.3%","0%","100%",2,5,5,1.4,"77.8%","27.8%","0%",-479,125,-17,5.9,"23.0%",383,"21.1%","21.7%",0.34,0
"Nautilus","Support",2,"18.2%","0.0%","18.2%","50%","100%",1,6,19,3.3,"62.5%","19.4%","0%",29,-175,0.5,1,"2.3%",173,"8.7%","9.0%",1.21,0.26
"Nidalee","Jungle",2,"18.2%","18.2%","36.4%","100%","100%",7,2,13,10,"66.7%","10.5%","0%",88,10,-1.5,5.4,"15.7%",475,"25.3%","18.2%",0.26,0.62
"Nocturne","Jungle",1,"9.1%","0.0%","9.1%","0%","100%",2,4,2,1,"57.1%","28.6%","100%",193,-113,-3,6.7,"20.5%",251,"14.6%","23.2%",0.3,0.08
"Olaf","Jungle",1,"9.1%","0.0%","9.1%","0%","100%",1,6,4,0.8,"71.4%","26.1%","0%",-733,-455,1,5.3,"14.9%",315,"21.9%","17.4%",0.23,0.29
"Orianna","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ornn","Top",1,"9.1%","0.0%","9.1%","0%","100%",0,5,1,0.2,"100.0%","23.8%","0%",140,426,7,6.8,"20.4%",329,"20.9%","22.6%",0.4,0.18
"Rell","Support",3,"27.3%","9.1%","36.4%","67%","0%",3,13,26,2.2,"85.3%","31.7%","0%",-452,-75,-35,1.2,"3.1%",130,"6.8%","9.0%",1.33,0.28
"Renekton","Middle",1,"9.1%","0.0%","9.1%","100%","100%",4,2,7,5.5,"61.1%","16.7%","0%",169,-27,2,8.8,"26.1%",298,"15.1%","26.3%",0.35,0.24
