"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abaria","Dark Passage","Middle",6,"83%",,21,16,29,3.1,"64.9%","27.3%","26.7%","50%",241,202,10,8.7,"28.3%",561,"27.9%",,273,"23.3%",,0.43,0.08,0.19
"Achuu","SuperMassive Esports","ADC",18,"61%",,50,40,56,2.7,"59.9%","28.2%","20.8%","17%",59,126,1.7,8.5,"27.8%",640,"30.3%",,268,"23.5%",,0.46,0.1,0.23
"âprox","NumberOne Esports","Top",14,"14%",,18,28,48,2.4,"67.3%","18.4%","17.9%","21%",-131,60,-0.9,7.2,"24.5%",298,"19.6%",,211,"21.7%",,0.43,0.08,0.13
"Arphan","Dark Passage","Support",6,"83%",,4,14,54,4.1,"75.3%","5.2%","23.3%","33%",-71,23,0,1.5,"5.9%",171,"8.3%",,148,"12.6%",,1.05,0.19,0.28
"Astarte","ÇİLEKLER","Jungle",14,"21%",,26,40,73,2.5,"67.8%","17.8%","23.5%","43%",-43,5,1.1,3.5,"11.3%",223,"13.4%",,179,"17.5%",,1.01,0.21,0.47
"avenuee","Team AURORA","Middle",14,"71%",,39,10,52,9.1,"61.5%","26.4%","9.7%","14%",264,329,3.6,9.6,"29.7%",532,"32.6%",,298,"26.1%",,0.53,0.08,0.21
"Cognac","ÇİLEKLER","Support",14,"21%",,9,42,107,2.8,"79.5%","6.2%","24.7%","21%",-71,18,-2.1,0.9,"3.6%",132,"7.7%",,120,"11.4%",,1.27,0.25,0.38
"Crystal","Dark Passage","Jungle",14,"79%",,30,26,91,4.7,"65.4%","16.2%","16.4%","29%",40,-24,-1.3,3.9,"13.5%",262,"12.7%",,214,"17.8%",,0.67,0.11,0.45
"DarkSide","Team AURORA","ADC",14,"71%",,52,24,53,4.4,"70.9%","35.1%","23.3%","43%",255,128,3.3,9.2,"30.4%",463,"27.5%",,297,"25.8%",,0.48,0.05,0.32
"Denden","Dark Passage","Support",8,"75%",,0,25,80,3.2,"74.1%","0.0%","25.3%","25%",17,81,0.3,1.2,"4.5%",107,"4.8%",,137,"11.2%",,1.32,0.28,0.39
"Dumbledoge","SuperMassive Esports","Support",18,"61%",,16,33,101,3.5,"66.1%","9.0%","17.2%","33%",179,-4,0.4,1.2,"5.1%",137,"6.9%",,140,"12.4%",,1.27,0.22,0.49
"Elwind","Dark Passage","Top",14,"79%",,33,22,71,4.7,"56.2%","17.8%","13.8%","7%",13,-56,1.6,7.9,"26.9%",412,"18.9%",,261,"21.8%",,0.46,0.1,0.21
"Elysion","NumberOne Esports","Middle",14,"14%",,29,32,37,2.1,"67.3%","29.6%","20.5%","0%",-286,-35,-2,9,"30.2%",438,"30.1%",,239,"24.8%",,0.52,0.06,0.24
"fabFabulous","SuperMassive Esports","Top",6,"50%",,18,12,19,3.1,"62.7%","30.5%","21.8%","0%",215,26,2,7.8,"25.9%",370,"20.5%",,258,"22.3%",,0.47,0.08,0.26
"Hatrixx","HWA Gaming","Middle",17,"53%",,67,42,79,3.5,"70.2%","32.2%","19.7%","29%",-56,-253,-5.4,8.7,"30.5%",639,"33.6%",,278,"25.7%",,0.44,0.1,0.16
"Hioss","Team AURORA","Top",14,"71%",,23,17,61,4.9,"56.8%","15.5%","16.5%","0%",15,-10,-1,7.7,"25.0%",263,"15.9%",,234,"20.2%",,0.4,0.06,0.12
"Immortoru","Beşiktaş.Oyun Hizmetleri","Middle",17,"53%",,55,18,93,8.2,"69.8%","25.9%","10.5%","12%",-103,-14,-2.1,8.6,"26.8%",492,"27.8%",,268,"23.6%",,0.44,0.08,0.15
"Kanani","Team AURORA","Jungle",14,"71%",,22,26,81,4,"69.6%","14.9%","25.2%","50%",122,29,0.2,3.6,"10.9%",256,"15.4%",,194,"16.6%",,0.8,0.18,0.56
"kazze","Team Turquality","ADC",14,"43%",,29,22,44,3.3,"57.0%","22.7%","15.6%","21%",-116,-222,-6.1,7.8,"25.2%",364,"21.4%",,232,"22.1%",,0.39,0.03,0.35
"KissNkite","NumberOne Esports","ADC",14,"14%",,39,19,35,3.9,"75.5%","39.8%","12.2%","21%",-26,72,1.6,8.5,"28.9%",422,"27.1%",,241,"24.6%",,0.36,0.01,0.17
"KonDziSan","NumberOne Esports","Jungle",12,"8%",,7,26,55,2.4,"76.5%","8.6%","20.2%","25%",-114,-5,-0.4,3.8,"12.4%",201,"13.8%",,174,"18.2%",,0.76,0.1,0.48
"LEYL-Ü NEHAR","ÇİLEKLER","Middle",14,"21%",,36,30,57,3.1,"63.7%","24.7%","17.6%","29%",-214,-217,-10.1,8.7,"30.5%",460,"27.2%",,251,"24.6%",,0.49,0.07,0.19
"LongB","Team Turquality","Middle",14,"43%",,30,30,55,2.8,"66.4%","23.4%","21.3%","21%",26,-6,0.1,8.2,"26.4%",486,"29.3%",,249,"24.1%",,0.49,0.09,0.26
"Lukezy","Dark Passage","Middle",8,"75%",,31,21,40,3.4,"65.7%","28.7%","21.2%","38%",240,193,8.4,9.2,"29.7%",702,"30.9%",,317,"25.9%",,0.53,0.09,0.19
"Madness","ÇİLEKLER","ADC",14,"21%",,52,26,62,4.4,"78.1%","35.6%","15.3%","21%",-162,-178,-7.8,8.6,"30.3%",565,"32.3%",,272,"26.4%",,0.37,0.03,0.15
"Marshall","HWA Gaming","Top",17,"53%",,40,33,91,4,"63.0%","19.2%","15.5%","12%",21,12,2.9,7.6,"27.5%",320,"16.6%",,236,"21.5%",,0.51,0.05,0.12
