"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",25,"41.0%","18.0%","59.0%","56%","-",74,37,121,5.3,"67.2%","15.9%","12%",-272,-105,-5.8,8.9,"30.3%",525,"29.2%","25.0%",0.51,0.22
"Akali","-",0,"0%","1.6%","1.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Alistar","Support",25,"41.0%","37.7%","78.7%","52%","-",5,49,188,3.9,"73.9%","19.8%","28%",9,-53,0.3,1.2,"4.3%",76,"4.6%","11.0%",1.21,0.3
"Anivia","Middle",1,"1.6%","0.0%","1.6%","0%","-",1,2,3,2,"66.7%","18.2%","0%",-788,-808,-26,8.3,"29.7%",198,"19.0%","23.9%",0.45,0.28
"Bard","Support",11,"18.0%","8.2%","26.2%","64%","-",8,17,72,4.7,"67.8%","18.1%","45%",57,-19,-6.1,0.7,"3.0%",171,"10.0%","11.3%",1.17,0.48
"Blitzcrank","Support",1,"1.6%","0.0%","1.6%","100%","-",2,0,10,12,"52.2%","0.0%","0%",-107,-186,0,1.3,"4.9%",235,"12.3%","11.8%",0.96,0.36
"Braum","Support",21,"34.4%","6.6%","41.0%","52%","-",7,65,132,2.1,"67.8%","27.7%","24%",-132,-17,2,1.2,"4.6%",148,"8.2%","11.2%",1.12,0.31
"Caitlyn","ADC",5,"8.2%","0.0%","8.2%","40%","-",11,10,8,1.9,"55.9%","19.2%","40%",110,109,2.8,9,"27.9%",518,"27.3%","24.9%",0.4,0.25
"Corki","ADC",12,"19.7%","24.6%","83.6%","92%","-",45,20,65,5.5,"68.8%","18.0%","17%",7,117,2.8,8.2,"26.0%",584,"30.4%","23.1%",0.37,0.19
"Corki","Middle",24,"39.3%","24.6%","83.6%","54%","-",82,51,75,3.1,"65.4%","17.8%","25%",193,-9,5.1,9.4,"29.9%",661,"33.2%","25.3%",0.53,0.26
"Dr. Mundo","Jungle",1,"1.6%","1.6%","8.2%","100%","-",1,3,11,4,"66.7%","18.8%","0%",99,786,12,3.4,"8.4%",562,"14.7%","16.0%",0.65,0.34
"Dr. Mundo","Top",3,"4.9%","1.6%","8.2%","0%","-",10,12,11,1.8,"51.2%","24.0%","0%",-120,75,-7.3,7.8,"27.5%",526,"24.1%","22.2%",0.42,0.19
"Elise","Jungle",28,"45.9%","3.3%","49.2%","43%","-",48,81,127,2.2,"67.6%","22.4%","29%",-154,-162,-6,3.3,"11.1%",260,"14.6%","17.4%",0.87,0.51
