"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akali","Middle",2,"6.5%","29.0%","41.9%","100%","50%",16,3,11,9,"58.7%","10.0%","100%",447,192,-6.5,8.8,"26.3%",511,"26.1%","24.2%",0.33,0.24
"Akali","Top",2,"6.5%","29.0%","41.9%","50%","0%",4,3,2,2,"23.1%","16.7%","0%",-589,151,-7,6.7,"21.3%",280,"23.5%","19.3%",0.35,0.07
"Alistar","Support",7,"22.6%","9.7%","32.3%","14%","29%",9,28,46,2,"67.1%","22.8%","29%",-55,-78,2.4,1.6,"6.2%",115,"7.5%","10.3%",1.41,0.27
"Ashe","ADC",2,"6.5%","9.7%","16.1%","50%","50%",7,3,12,6.3,"86.4%","15.8%","50%",480,77,-10.5,8,"23.6%",547,"31.6%","24.7%",0.37,0.18
"Azir","Middle",1,"3.2%","0.0%","3.2%","0%","100%",3,2,4,3.5,"35.0%","11.1%","0%",544,1022,1,8.3,"29.3%",338,"20.9%","22.6%",0.4,0.18
"Bard","Support",1,"3.2%","9.7%","12.9%","100%","100%",4,4,15,4.8,"82.6%","19.0%","0%",-53,157,-15,0.7,"3.4%",333,"11.7%","11.6%",1.43,0.25
"Braum","Support",21,"67.7%","6.5%","74.2%","52%","52%",14,71,187,2.8,"69.6%","25.4%","19%",-51,53,4.4,2,"7.3%",118,"6.7%","10.8%",1.38,0.21
"Cassiopeia","Middle",2,"6.5%","6.5%","16.1%","0%","50%",10,8,13,2.9,"76.7%","18.2%","50%",-23,-52,3,8.7,"27.4%",314,"17.7%","25.4%",0.47,0.21
"Cassiopeia","Top",1,"3.2%","6.5%","16.1%","100%","100%",3,2,6,4.5,"64.3%","16.7%","100%",1271,1435,49,7.9,"21.5%",395,"22.6%","22.7%",0.29,0.19
"Corki","Middle",5,"16.1%","6.5%","22.6%","20%","80%",15,7,18,4.7,"63.5%","11.3%","0%",86,-45,-0.4,9.5,"30.3%",598,"34.7%","26.6%",0.41,0.3
"Draven","ADC",1,"3.2%","0.0%","3.2%","100%","100%",13,3,10,7.7,"88.5%","12.5%","0%",1264,315,7,9.6,"34.0%",1091,"42.4%","35.0%",0.24,0.5
"Elise","Jungle",1,"3.2%","3.2%","6.5%","100%","100%",1,5,8,1.8,"60.0%","35.7%","0%",145,498,15,5.5,"15.8%",248,"12.4%","15.5%",1.18,0.71
"Ezreal","ADC",1,"3.2%","0.0%","3.2%","0%","100%",1,5,3,0.8,"80.0%","22.7%","0%",-585,-621,-11,7.8,"30.5%",516,"36.1%","29.9%",0.26,0.17
