"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Cloud9",9,4,5,36.4,87,119,0.73,0.63,-0.15,"-1.1%",,,-451,"56%","33%","67%",,,"44%","33%",,"56%","57%","51.4%","48.3%",2.75,0.38,1.08
"Counter Logic Gaming",3,0,3,35.5,27,69,0.39,0.9,-0.73,"-15.1%",,,305,"67%","67%","67%",,,"33%","36%",,"0%","0%","51.6%","44.1%",2.84,0.43,0.72
"Gravity",4,1,3,31.4,37,73,0.51,0.88,-1.72,"-16.7%",,,-3330,"75%","25%","25%",,,"75%","53%",,"25%","40%","47.0%","46.0%",2.44,0.25,0.65
"Team Impulse",13,6,7,34.6,163,165,0.99,0.73,0.03,"0.4%",,,762,"38%","69%","54%",,,"54%","52%",,"46%","35%","50.8%","52.0%",3,0.43,0.73
"Team Liquid",13,8,5,36.7,197,141,1.4,0.71,-0.18,"2.1%",,,-259,"31%","31%","38%",,,"54%","52%",,"62%","56%","48.6%","50.0%",2.68,0.43,0.99
"TSM",8,6,2,35.2,119,65,1.83,0.65,1.48,"11.3%",,,1241,"75%","75%","50%",,,"38%","67%",,"63%","73%","50.4%","52.8%",2.9,0.45,0.99
