"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"M19",5,2,3,34.6,59,69,0.86,0.74,-1.22,"-2.8%",21.7,18.3,-2018,"0%","20%","40%",,"100%","40%","58%","0%","60%","50%","49.2%","48.2%",3.4,0.82,1.13
"Vaevictis eSports",9,5,4,33.7,131,138,0.95,0.88,0.08,"-0.8%",49.3,6.3,-27,"44%","56%","56%",,"67%","33%","43%","0%","44%","42%","50.3%","51.8%",3.54,0.77,1.28
"Vega Squadron",4,1,3,30.3,43,65,0.66,0.89,-1.86,"-11.4%",27.2,-2.2,-1487,"25%","25%","25%",,"50%","25%","23%",,"25%","20%","49.3%","42.0%",3.48,0.78,0.96
"Virtus.pro",10,6,4,35.6,163,126,1.29,0.81,1.16,"6.7%",73.9,-13.9,1628,"90%","70%","60%",,"0%","80%","62%","100%","60%","69%","50.4%","52.5%",3.59,1.12,1.43
