"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",1,"7.1%","0.0%","7.1%","0%","100%",2,3,2,1.3,"57.1%","12.0%","0%",-40,-112,-3,6.8,"26.9%",402,"21.4%","23.7%",0.44,0.15
"Ahri","Middle",5,"35.7%","42.9%","78.6%","80%","20%",19,12,33,4.3,"62.7%","20.3%","20%",-199,81,-11.6,7.3,"22.7%",534,"25.4%","21.2%",0.46,0.17
"Alistar","Support",1,"7.1%","7.1%","14.3%","100%","0%",4,3,9,4.3,"65.0%","33.3%","0%",238,-664,-4,1.2,"3.6%",122,"5.8%","12.5%",1.34,0.25
"Anivia","-",0,"0%","35.7%","35.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ashe","ADC",9,"64.3%","14.3%","78.6%","78%","22%",19,21,62,3.9,"57.4%","20.0%","0%",-257,-259,-9.7,7.7,"24.8%",349,"17.5%","20.8%",0.44,0.17
"Bard","Support",3,"21.4%","14.3%","35.7%","33%","100%",1,10,23,2.4,"75.0%","22.7%","0%",-349,229,-3.7,0.7,"2.3%",186,"11.2%","11.0%",1.35,0.38
"Blitzcrank","-",0,"0%","7.1%","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Brand","Support",1,"7.1%","14.3%","21.4%","0%","100%",1,4,4,1.3,"35.7%","26.7%","0%",182,123,-13,0.8,"4.1%",368,"15.8%","11.8%",1.45,0.42
"Braum","Support",3,"21.4%","0.0%","21.4%","100%","67%",6,4,46,13,"73.2%","16.0%","33%",49,-302,9.7,1.7,"7.7%",155,"7.0%","14.7%",1.37,0.53
"Caitlyn","ADC",2,"14.3%","0.0%","14.3%","0%","50%",3,6,4,1.2,"58.3%","17.6%","0%",-148,-6,-1.5,7.5,"24.9%",302,"19.9%","22.6%",0.44,0.23
"Camille","Top",3,"21.4%","50.0%","71.4%","0%","0%",7,12,14,1.8,"67.7%","20.7%","0%",99,-33,3.7,7.2,"25.1%",495,"24.4%","21.1%",0.47,0.06
"Cassiopeia","Middle",2,"14.3%","50.0%","64.3%","100%","100%",10,5,11,4.2,"67.7%","29.4%","50%",502,255,16,9.4,"28.7%",619,"29.9%","24.8%",0.5,0.17
"Elise","Jungle",2,"14.3%","14.3%","28.6%","50%","50%",3,6,15,3,"85.7%","19.4%","100%",-327,-643,-10.5,4.5,"13.4%",312,"13.6%","18.8%",0.95,0.47
"Ezreal","ADC",3,"21.4%","7.1%","28.6%","67%","100%",11,6,17,4.7,"62.2%","15.4%","0%",47,98,1,8.6,"27.4%",522,"26.5%","23.4%",0.36,0.14
"Fiora","Top",1,"7.1%","35.7%","42.9%","100%","100%",3,3,3,2,"40.0%","21.4%","0%",65,-133,5,8.7,"30.6%",540,"26.3%","23.0%",0.5,0.03
"Fizz","Top",2,"14.3%","14.3%","28.6%","0%","100%",4,9,5,1,"50.0%","19.6%","0%",19,-219,1.5,7.4,"28.7%",265,"15.8%","21.5%",0.42,0.17
"Gangplank","Top",1,"7.1%","0.0%","7.1%","0%","100%",4,4,2,1.5,"66.7%","20.0%","0%",-114,-188,-18,8.8,"34.3%",571,"29.6%","31.5%",0.41,0.19
"Gnar","Top",1,"7.1%","0.0%","7.1%","100%","0%",4,1,4,8,"44.4%","20.0%","0%",-118,-118,-8,8.9,"27.5%",406,"19.5%","21.1%",0.45,0.12
"Gragas","Top",2,"14.3%","50.0%","64.3%","0%","100%",5,5,12,3.4,"70.8%","13.5%","50%",92,-209,-5.5,7.3,"25.1%",533,"27.7%","20.8%",0.54,0.08
"Graves","Jungle",7,"50.0%","50.0%","100.0%","29%","43%",18,24,21,1.6,"58.2%","22.4%","0%",-86,33,-0.1,5.2,"17.7%",330,"20.1%","20.8%",0.83,0.31
"Ivern","Jungle",2,"14.3%","28.6%","42.9%","50%","100%",3,7,20,3.3,"85.2%","15.2%","50%",124,304,-10,3.3,"11.3%",256,"11.3%","17.8%",0.82,0.46
"Jhin","ADC",1,"7.1%","0.0%","7.1%","100%","100%",4,0,5,9,"56.3%","0.0%","0%",420,483,8,8.6,"24.0%",415,"19.8%","21.1%",0.6,0.21
"Kalista","ADC",2,"14.3%","14.3%","28.6%","0%","0%",4,4,6,2.5,"50.0%","10.5%","0%",58,-137,3.5,7.6,"24.4%",308,"16.2%","21.1%",0.27,0.19
"Karma","Support",1,"7.1%","7.1%","14.3%","100%","0%",1,0,11,12,"75.0%","0.0%","0%",54,330,-11,0.9,"4.3%",300,"14.3%","14.1%",0.85,0.38
"Katarina","-",0,"0%","7.1%","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Middle",1,"7.1%","0.0%","7.1%","100%","100%",4,3,11,5,"75.0%","33.3%","0%",-689,-189,0,10.3,"35.7%",487,"23.4%","26.4%",0.44,0.33
"Kha'Zix","Jungle",10,"71.4%","21.4%","92.9%","70%","20%",41,25,89,5.2,"66.3%","22.3%","50%",-86,-267,-2,4.5,"14.8%",413,"18.6%","19.1%",0.86,0.26
"Kled","Top",2,"14.3%","35.7%","50.0%","100%","50%",6,1,16,22,"53.7%","9.1%","0%",-129,133,-4,7.9,"24.4%",386,"17.3%","19.7%",0.48,0.17
"Kog'Maw","ADC",1,"7.1%","0.0%","7.1%","0%","100%",7,5,7,2.8,"66.7%","23.8%","100%",609,506,14,8.6,"30.9%",760,"29.0%","25.7%",0.21,0.17
"Lee Sin","Jungle",2,"14.3%","7.1%","21.4%","0%","100%",6,8,4,1.3,"66.7%","22.2%","100%",218,579,0.5,5.2,"18.0%",214,"14.6%","19.6%",0.75,0.31
"Lucian","ADC",4,"28.6%","0.0%","28.6%","50%","100%",24,9,19,4.8,"67.2%","15.5%","75%",366,318,13.3,8.1,"25.8%",555,"27.0%","25.2%",0.38,0.33
"Lulu","Support",3,"21.4%","71.4%","92.9%","0%","0%",1,14,33,2.4,"81.0%","23.0%","33%",59,-41,-4,0.7,"2.8%",178,"8.4%","11.8%",1.32,0.41
"Malzahar","Support",3,"21.4%","42.9%","64.3%","67%","33%",2,12,24,2.2,"60.5%","30.8%","0%",-123,18,-7,0.9,"4.2%",278,"14.1%","12.4%",1.34,0.45
"Miss Fortune","Support",1,"7.1%","0.0%","7.1%","100%","100%",3,1,11,14,"77.8%","11.1%","0%",434,281,10,1.5,"5.5%",429,"22.8%","15.9%",1.41,0.39
"Nami","Support",1,"7.1%","0.0%","7.1%","100%","100%",3,0,19,22,"88.0%","0.0%","0%",43,301,-12,0.4,"2.0%",300,"12.8%","13.8%",1.29,0.3
"Nautilus","Support",2,"14.3%","0.0%","64.3%","50%","0%",0,7,8,1.1,"40.0%","21.9%","50%",27,78,13.5,1.8,"6.0%",140,"7.6%","11.8%",1.21,0.4
"Nautilus","Top",7,"50.0%","0.0%","64.3%","71%","14%",13,13,63,5.8,"59.4%","16.9%","14%",-61,120,0.4,7.3,"23.4%",348,"17.9%","19.5%",0.55,0.14
"Nocturne","-",0,"0%","7.1%","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Orianna","Middle",4,"28.6%","14.3%","42.9%","25%","0%",9,13,13,1.7,"50.0%","22.4%","25%",-152,-86,-4.8,8.6,"28.9%",419,"23.1%","22.9%",0.4,0.22
"Rek'Sai","Jungle",2,"14.3%","0.0%","14.3%","50%","100%",4,6,7,1.8,"52.4%","22.2%","50%",691,696,15.5,5,"14.4%",320,"16.2%","18.9%",0.83,0.35
"Renekton","Top",3,"21.4%","21.4%","42.9%","100%","100%",10,5,16,5.2,"53.1%","19.2%","33%",210,403,11.3,9.2,"30.9%",460,"20.8%","22.6%",0.57,0.25
"Rengar","Jungle",3,"21.4%","35.7%","57.1%","67%","67%",20,4,14,8.5,"69.4%","10.3%","33%",17,190,10,5.5,"17.3%",441,"21.2%","22.2%",0.82,0.26
"Rumble","Top",2,"14.3%","28.6%","42.9%","50%","50%",4,8,9,1.6,"52.0%","20.5%","0%",-56,195,7.5,7.6,"23.9%",503,"25.3%","21.3%",0.57,0.1
