"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",6,"40.0%","20.0%","60.0%","33%","17%",1,15,27,1.9,"80.0%","25.9%","0%",-49,-19,1,1.7,"4.7%",106,"7.4%","9.2%",1.69,0.39
"Anivia","-",0,"0%","6.7%","6.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Azir","Middle",7,"46.7%","46.7%","93.3%","43%","43%",12,14,20,2.3,"59.3%","20.3%","0%",-89,129,3.7,9.9,"26.0%",399,"25.4%","23.5%",0.66,0.45
"Braum","Support",6,"40.0%","0.0%","40.0%","50%","83%",3,6,39,7,"72.4%","13.0%","33%",-2,-120,4.5,2.1,"6.1%",138,"7.4%","10.5%",1.7,0.43
"Caitlyn","ADC",3,"20.0%","20.0%","40.0%","67%","67%",15,4,12,6.8,"81.8%","11.8%","67%",52,64,-1,11.6,"38.7%",985,"42.2%","31.2%",0.47,0.64
"Camille","Top",5,"33.3%","40.0%","73.3%","40%","20%",9,12,10,1.6,"48.7%","26.1%","0%",-209,-347,-1.8,9.5,"25.9%",306,"24.4%","23.4%",0.51,0.18
"Cassiopeia","Top",2,"13.3%","0.0%","13.3%","100%","100%",12,4,10,5.5,"73.3%","25.0%","0%",517,634,18,9.6,"25.6%",645,"30.6%","24.2%",0.59,0.2
"Cho'Gath","Top",2,"13.3%","6.7%","20.0%","100%","100%",5,6,14,3.2,"55.9%","54.5%","0%",-63,42,-2.5,9.5,"26.2%",489,"21.3%","21.3%",0.69,0.12
"Ezreal","ADC",4,"26.7%","26.7%","53.3%","25%","100%",10,3,19,9.7,"80.6%","7.5%","0%",149,-87,-1.8,10.7,"31.5%",772,"41.4%","28.1%",0.61,0.31
"Galio","Middle",5,"33.3%","0.0%","33.3%","40%","40%",7,13,25,2.5,"66.7%","26.5%","0%",-115,-22,-1.8,9.6,"26.6%",355,"19.7%","22.5%",0.58,0.26
"Gangplank","Top",4,"26.7%","60.0%","86.7%","25%","50%",9,8,25,4.3,"81.0%","20.5%","50%",-75,-101,-16.3,8.7,"27.2%",611,"29.2%","26.4%",0.69,0.17
"Gnar","Top",2,"13.3%","33.3%","46.7%","0%","100%",2,4,3,1.3,"71.4%","23.5%","50%",-135,-303,3.5,9,"23.3%",296,"21.1%","22.7%",0.57,0.1
"Gragas","Jungle",4,"26.7%","0.0%","26.7%","50%","75%",6,5,21,5.4,"73.0%","14.3%","50%",-38,-35,-4.5,4.6,"10.4%",163,"12.0%","15.1%",1.02,0.54
"Jarvan IV","Jungle",3,"20.0%","6.7%","26.7%","33%","100%",2,15,14,1.1,"80.0%","45.5%","0%",-633,-964,-19,4.1,"10.3%",96,"5.4%","13.6%",1.42,0.51
"Jayce","Top",1,"6.7%","6.7%","13.3%","100%","0%",1,2,5,3,"85.7%","33.3%","0%",450,884,24,10.3,"25.4%",399,"28.5%","23.8%",0.78,0.38
"Jhin","ADC",1,"6.7%","6.7%","13.3%","0%","100%",3,5,3,1.2,"75.0%","25.0%","0%",-89,-305,-8,10.9,"31.5%",667,"38.4%","27.0%",0.6,0.31
"Jinx","-",0,"0%","6.7%","6.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kai'Sa","ADC",6,"40.0%","40.0%","80.0%","83%","33%",35,7,22,8.1,"85.1%","17.5%","17%",61,41,5.3,11.6,"32.8%",717,"39.0%","28.7%",0.46,0.58
"Kalista","ADC",2,"13.3%","6.7%","20.0%","100%","100%",6,1,9,15,"57.7%","10.0%","0%",118,-174,5.5,10.7,"26.8%",351,"18.6%","22.8%",0.55,0.45
"Karma","Middle",2,"13.3%","53.3%","73.3%","50%","100%",2,2,14,8,"88.9%","10.5%","50%",253,-323,2,9.2,"25.7%",324,"17.7%","23.3%",0.7,0.17
"Karma","Support",1,"6.7%","53.3%","73.3%","0%","0%",2,1,2,4,"57.1%","7.1%","0%",-171,-19,-11,1.2,"4.1%",236,"12.2%","9.1%",1.33,0.72
