"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",4,"50.0%","25.0%","75.0%","50%","100%",17,8,22,4.9,"83.0%","16.3%","25%",-260,-271,-13,8.1,"28.8%",595,"28.4%","24.0%",0.38,0.22
"Ashe","-",0,"0%","37.5%","37.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Brand","Support",2,"25.0%","12.5%","37.5%","100%","50%",4,10,20,2.4,"64.9%","32.3%","50%",296,521,-0.5,1.1,"3.4%",574,"23.3%","12.6%",1.31,0.47
"Caitlyn","ADC",1,"12.5%","0.0%","12.5%","0%","100%",1,3,2,1,"50.0%","16.7%","0%",33,40,3,9.2,"33.6%",371,"20.3%","25.4%",0.43,0.41
"Camille","Support",1,"12.5%","37.5%","87.5%","0%","0%",1,6,10,1.8,"61.1%","27.3%","0%",-262,-735,7,1.6,"5.6%",175,"7.8%","11.7%",1.44,0.58
"Camille","Top",3,"37.5%","37.5%","87.5%","67%","33%",3,9,18,2.3,"56.8%","30.0%","0%",-322,-443,-11.7,6.9,"24.4%",314,"17.3%","19.8%",0.53,0.13
"Ekko","-",0,"0%","37.5%","37.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",6,"75.0%","0.0%","75.0%","83%","33%",17,11,36,4.8,"67.9%","18.0%","33%",175,-42,4.3,5.6,"18.3%",319,"17.2%","19.9%",0.95,0.61
"Ezreal","ADC",2,"25.0%","0.0%","25.0%","50%","50%",0,1,9,9,"40.9%","5.9%","0%",-10,49,-1,9,"30.4%",344,"22.2%","23.1%",0.43,0.16
"Fizz","Top",1,"12.5%","0.0%","12.5%","0%","100%",2,3,3,1.7,"83.3%","16.7%","100%",959,1325,39,7.5,"25.9%",441,"24.1%","23.5%",0.53,0.25
"Gragas","Jungle",1,"12.5%","0.0%","12.5%","0%","100%",5,5,9,2.8,"77.8%","22.7%","0%",-707,-675,-12,4.1,"14.2%",309,"13.8%","19.4%",0.91,0.43
"Graves","Jungle",2,"25.0%","62.5%","87.5%","50%","0%",9,5,11,4,"80.0%","19.2%","0%",-408,90,5,5.7,"22.3%",545,"23.5%","22.9%",0.81,0.43
"Ivern","-",0,"0%","62.5%","62.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Janna","Support",1,"12.5%","0.0%","12.5%","100%","100%",0,0,8,8,"72.7%","0.0%","0%",-350,133,-4,0.4,"1.7%",31,"2.2%","13.2%",0.87,0.29
"Jhin","ADC",2,"25.0%","12.5%","37.5%","50%","100%",7,3,14,7,"72.4%","15.8%","0%",-178,-114,-27.5,6.8,"24.7%",422,"21.8%","21.5%",0.5,0.13
"Karma","Support",3,"37.5%","0.0%","37.5%","0%","33%",1,9,4,0.6,"35.7%","19.6%","33%",63,51,-6,0.6,"3.5%",221,"15.3%","11.5%",1.29,0.26
"Katarina","Middle",2,"25.0%","12.5%","37.5%","0%","100%",2,4,4,1.5,"85.7%","18.2%","0%",-92,122,-5,8.7,"30.0%",292,"22.2%","25.0%",0.39,0.21
"Kha'Zix","-",0,"0%","25.0%","25.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",4,"50.0%","0.0%","50.0%","25%","50%",9,11,8,1.5,"58.6%","25.0%","50%",209,41,-4,4.2,"13.7%",190,"11.7%","19.1%",0.75,0.28
"Lucian","ADC",6,"75.0%","25.0%","100.0%","67%","33%",23,12,30,4.4,"71.6%","17.9%","33%",381,335,12.3,9.4,"32.6%",538,"28.1%","26.2%",0.44,0.28
"Lulu","Support",3,"37.5%","62.5%","100.0%","100%","0%",3,2,37,20,"88.9%","10.0%","33%",228,184,0.7,0.8,"2.6%",139,"7.4%","13.1%",1.41,0.4
"Malzahar","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Maokai","Top",1,"12.5%","0.0%","12.5%","100%","0%",2,2,16,9,"94.7%","18.2%","0%",247,923,21,6.1,"15.9%",510,"20.1%","18.0%",0.5,0.11
"Nami","Support",1,"12.5%","0.0%","12.5%","0%","100%",2,3,3,1.7,"83.3%","20.0%","0%",-118,199,1,0.5,"2.6%",165,"8.6%","12.9%",1.3,0.32
"Nautilus","Support",1,"12.5%","0.0%","75.0%","0%","100%",2,5,6,1.6,"72.7%","26.3%","0%",298,14,6,1.6,"5.9%",214,"10.6%","12.2%",1.6,0.36
"Nautilus","Top",5,"62.5%","0.0%","75.0%","40%","40%",9,11,23,2.9,"69.6%","16.9%","0%",-40,-249,2.8,6.9,"21.9%",357,"18.8%","19.8%",0.55,0.18
"Olaf","Jungle",1,"12.5%","12.5%","25.0%","0%","100%",4,4,8,3,"92.3%","26.7%","0%",-256,905,-3,4.1,"11.3%",399,"21.0%","19.5%",0.71,0.36
"Orianna","Middle",2,"25.0%","25.0%","50.0%","100%","0%",4,4,23,6.8,"71.1%","18.2%","0%",94,153,15,8.8,"29.2%",663,"30.2%","23.3%",0.26,0.32
"Poppy","Top",1,"12.5%","0.0%","12.5%","100%","100%",3,1,10,13,"86.7%","16.7%","100%",432,159,5,7.5,"22.7%",436,"22.0%","21.1%",0.58,0.26
"Rengar","Jungle",1,"12.5%","12.5%","25.0%","0%","100%",3,3,7,3.3,"90.9%","15.8%","0%",288,-528,-8,6.2,"19.3%",268,"13.3%","21.1%",1.05,0.39
"Rumble","-",0,"0%","50.0%","50.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Top",2,"25.0%","0.0%","25.0%","0%","100%",5,8,16,2.6,"72.4%","19.5%","0%",-318,-635,-20.5,8.1,"29.2%",423,"19.8%","22.6%",0.37,0.09
"Singed","-",0,"0%","62.5%","62.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Middle",4,"50.0%","50.0%","100.0%","50%","25%",11,7,13,3.4,"58.5%","17.5%","0%",122,48,5.3,8.1,"25.4%",424,"25.9%","22.6%",0.42,0.14
"Tahm Kench","Top",3,"37.5%","62.5%","100.0%","67%","33%",6,3,22,9.3,"70.0%","13.6%","0%",54,479,-1,6.5,"22.5%",235,"14.3%","19.3%",0.53,0.17
"Taliyah","Middle",3,"37.5%","25.0%","62.5%","67%","0%",11,6,15,4.3,"63.4%","15.8%","33%",266,193,7.7,7.8,"22.8%",549,"27.1%","21.4%",0.49,0.14
"Talon","-",0,"0%","62.5%","62.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
