"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"3z","Machi Esports","Top",4,"25%","25%",10,20,13,1.2,"52.3%","22.7%","25.0%","25%",-24,-264,3.3,8.2,"28.5%",612,"26.6%",,227,"22.0%",,0.5,0.09,0.15
"Albis","ahq eSports Club","Support",7,"57%","43%",8,26,49,2.2,"74.0%","10.4%","33.8%","29%",90,-32,3.3,0.9,"2.9%",155,"8.4%",,129,"11.0%",,1.44,0.43,0.58
"AN","ahq eSports Club","ADC",7,"57%","29%",21,8,30,6.4,"66.2%","27.3%","10.4%","29%",-117,-48,2.1,9.6,"30.5%",392,"21.3%",,287,"24.8%",,0.48,0.14,0.36
"APEX","Machi Esports","Middle",4,"25%","50%",12,8,20,4,"72.7%","27.3%","10.0%","0%",-120,193,-4,8.9,"29.5%",620,"26.8%",,263,"25.6%",,0.71,0.29,0.29
"BeBe","J Team","ADC",7,"43%","43%",31,17,41,4.2,"73.5%","31.6%","17.7%","29%",138,60,6.7,9,"30.1%",532,"26.0%",,275,"25.0%",,0.37,0.07,0.33
"Betty","Flash Wolves","ADC",4,"75%","75%",10,2,18,14,"47.5%","16.9%","8.0%","50%",222,75,-3.8,10,"33.5%",343,"17.5%",,311,"25.5%",,0.45,0.17,0.36
"Chawy","ahq eSports Club","Middle",7,"57%","14%",24,12,33,4.8,"74.0%","31.2%","15.6%","29%",-56,-190,-1.6,9.2,"26.6%",538,"28.7%",,278,"24.7%",,0.52,0.14,0.26
"CHIEH","J Team","Support",7,"43%","71%",5,18,70,4.2,"76.5%","5.1%","18.8%","29%",-101,-178,0.9,0.7,"2.6%",186,"9.3%",,126,"11.2%",,1.6,0.39,0.31
"Dee","Machi Esports","ADC",4,"25%","75%",8,15,17,1.7,"56.8%","18.2%","18.8%","0%",-260,-97,-11.8,7.9,"27.3%",405,"17.2%",,227,"22.0%",,0.31,0.12,0.27
"Dreamer","Machi Esports","Support",4,"25%","50%",2,15,26,1.9,"63.6%","4.5%","18.8%","0%",-110,70,-2.5,0.7,"2.3%",341,"14.0%",,121,"11.5%",,1.5,0.5,0.47
"FoFo","J Team","Middle",7,"43%","71%",21,21,42,3,"64.3%","21.4%","21.9%","0%",56,-11,4.9,8.9,"28.1%",511,"25.1%",,262,"23.7%",,0.5,0.2,0.14
"Karsa","Flash Wolves","Jungle",4,"75%","25%",14,8,20,4.3,"57.6%","23.7%","32.0%","75%",496,123,3,4.1,"11.3%",239,"11.5%",,213,"17.6%",,1.2,0.48,0.49
"Maple","Flash Wolves","Middle",4,"75%","75%",21,4,18,9.8,"66.1%","35.6%","16.0%","0%",121,159,-1.8,9.2,"27.4%",586,"28.5%",,293,"24.2%",,0.67,0.22,0.18
"MMD","Flash Wolves","Top",4,"75%","50%",9,8,22,3.9,"52.5%","15.3%","32.0%","25%",160,47,-3.3,8.1,"24.6%",502,"25.7%",,252,"20.6%",,0.52,0.13,0.11
"Morning","J Team","Top",7,"43%","57%",15,23,42,2.5,"58.2%","15.3%","24.0%","29%",110,300,1.3,7.6,"23.8%",527,"26.7%",,224,"20.6%",,0.53,0.08,0.1
"Mountain","ahq eSports Club","Jungle",7,"57%","71%",16,19,29,2.4,"58.4%","20.8%","24.7%","29%",-228,9,1.3,5.3,"14.7%",297,"16.4%",,213,"18.5%",,0.67,0.21,0.37
"REFRA1N","J Team","Jungle",7,"43%","29%",26,17,33,3.5,"60.2%","26.5%","17.7%","29%",45,-83,-6.7,4.8,"15.4%",251,"12.8%",,214,"19.5%",,1.27,0.44,0.31
"SwordArt","Flash Wolves","Support",4,"75%","25%",5,3,33,12.7,"64.4%","8.5%","12.0%","50%",130,298,-4.8,0.9,"3.3%",360,"16.8%",,152,"12.2%",,1.68,0.56,0.49
"Taizan","Machi Esports","Jungle",4,"25%","75%",12,22,14,1.2,"59.1%","27.3%","27.5%","25%",-177,8,6.5,4.4,"12.4%",359,"15.4%",,201,"19.0%",,0.91,0.23,0.59
"Ziv","ahq eSports Club","Top",7,"57%","57%",8,12,35,3.6,"55.8%","10.4%","15.6%","14%",-188,-176,-1.3,8.4,"25.3%",442,"25.2%",,237,"20.8%",,0.53,0.05,0.19
