"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",5,"45.5%","36.4%","81.8%","80%","80%",23,9,29,5.8,"64.2%","23.1%","0%",-42,49,-2.8,9.2,"27.8%",565,"28.2%","23.9%",0.47,0.2
"Ashe","ADC",7,"63.6%","36.4%","100.0%","43%","0%",23,16,41,4,"69.6%","15.0%","29%",186,55,12.6,8.9,"29.1%",485,"24.0%","24.1%",0.4,0.35
"Braum","Support",1,"9.1%","0.0%","9.1%","0%","100%",0,4,9,2.3,"81.8%","25.0%","0%",7,-13,-2,1,"3.1%",134,"6.1%","10.7%",1.71,0.27
"Caitlyn","ADC",3,"27.3%","9.1%","36.4%","0%","67%",3,5,5,1.6,"72.7%","9.8%","0%",-122,-97,0.7,10.6,"34.0%",333,"20.6%","27.1%",0.44,0.48
"Camille","Top",1,"9.1%","72.7%","81.8%","100%","100%",3,1,5,8,"57.1%","33.3%","0%",-185,-239,-12,8.9,"27.8%",516,"29.4%","22.0%",0.5,0.24
"Cassiopeia","Middle",1,"9.1%","27.3%","36.4%","0%","100%",2,4,1,0.8,"75.0%","18.2%","0%",432,508,25,9.1,"28.3%",547,"28.6%","24.9%",0.51,0.03
"Ekko","-",0,"0%","9.1%","9.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",2,"18.2%","0.0%","18.2%","50%","100%",3,5,5,1.6,"53.3%","23.8%","50%",-169,25,-4.5,5.8,"16.9%",280,"19.4%","18.8%",0.82,0.5
"Fizz","Top",1,"9.1%","63.6%","72.7%","100%","100%",1,0,6,7,"77.8%","0.0%","100%",-266,174,3,8.3,"23.3%",441,"35.4%","20.5%",0.56,0.22
"Gragas","Top",4,"36.4%","54.5%","90.9%","50%","75%",9,11,28,3.4,"59.7%","19.6%","25%",-66,83,-3,7.4,"22.9%",517,"26.4%","20.0%",0.52,0.07
"Graves","Jungle",4,"36.4%","63.6%","100.0%","50%","0%",10,7,20,4.3,"55.6%","19.4%","50%",311,52,-5,5.3,"17.4%",343,"16.6%","20.0%",1.05,0.38
"Illaoi","Top",1,"9.1%","0.0%","9.1%","0%","100%",1,7,0,0.1,"25.0%","31.8%","0%",169,519,-7,8.3,"24.9%",480,"25.1%","22.3%",0.54,0.03
"Jarvan IV","Top",1,"9.1%","0.0%","9.1%","100%","100%",2,2,10,6,"75.0%","18.2%","0%",-324,-288,-17,7.1,"21.8%",312,"17.1%","19.4%",0.54,0.39
"Jayce","-",0,"0%","9.1%","9.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jhin","ADC",1,"9.1%","0.0%","9.1%","100%","100%",2,1,6,8,"44.4%","50.0%","100%",547,537,1,8.5,"29.0%",203,"8.9%","21.6%",0.41,0.17
"Jinx","ADC",1,"9.1%","9.1%","18.2%","100%","100%",6,0,7,13,"59.1%","0.0%","100%",169,101,5,9.8,"32.8%",626,"24.1%","25.8%",0.45,0.13
"Kalista","-",0,"0%","27.3%","27.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Karma","Middle",2,"18.2%","27.3%","72.7%","50%","50%",7,6,13,3.3,"69.0%","15.0%","0%",-312,-146,-9.5,8.5,"24.6%",601,"26.3%","22.1%",0.63,0.31
"Karma","Support",3,"27.3%","27.3%","72.7%","67%","0%",3,2,29,16,"78.0%","8.3%","33%",213,130,-2.3,0.6,"2.6%",201,"11.0%","11.5%",1.62,0.36
"Kennen","-",0,"0%","54.5%","54.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Jungle",2,"18.2%","0.0%","18.2%","50%","100%",6,7,8,2,"77.8%","24.1%","50%",-538,-285,5.5,5.4,"16.4%",324,"19.4%","19.8%",0.72,0.22
"Kled","Top",2,"18.2%","18.2%","36.4%","50%","100%",6,7,5,1.6,"42.3%","25.0%","0%",-210,110,1,8.5,"25.6%",398,"21.5%","22.4%",0.52,0.16
"Kog'Maw","ADC",1,"9.1%","9.1%","18.2%","0%","100%",8,3,3,3.7,"100.0%","18.8%","0%",-202,-282,-7,8.1,"26.1%",629,"28.6%","25.8%",0.41,0.39
"LeBlanc","-",0,"0%","81.8%","81.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",9,"81.8%","0.0%","81.8%","56%","33%",29,21,45,3.5,"58.3%","20.2%","22%",33,11,-2.7,4.2,"11.7%",215,"10.3%","17.7%",1.11,0.38
"Lucian","ADC",1,"9.1%","0.0%","9.1%","0%","100%",1,1,0,1,"33.3%","7.1%","100%",299,420,12,8.9,"28.3%",258,"22.0%","24.6%",0.35,0.27
"Lulu","Support",5,"45.5%","36.4%","81.8%","40%","80%",6,12,37,3.6,"70.5%","19.7%","40%",-88,-210,2.6,0.8,"2.9%",131,"6.9%","11.6%",1.51,0.52
"Malzahar","Support",4,"36.4%","45.5%","81.8%","50%","25%",4,10,26,3,"68.2%","18.9%","25%",33,182,-1.8,0.9,"2.9%",248,"13.5%","11.1%",1.62,0.5
"Nami","Support",3,"27.3%","0.0%","27.3%","33%","100%",1,13,23,1.8,"80.0%","28.9%","0%",-264,7,3.7,0.6,"2.0%",125,"6.3%","9.9%",1.5,0.35
"Nautilus","Top",3,"27.3%","0.0%","27.3%","67%","0%",4,3,20,8,"53.3%","12.5%","33%",90,111,6,7.8,"24.9%",419,"22.8%","20.2%",0.49,0.13
"Orianna","Middle",5,"45.5%","54.5%","100.0%","80%","0%",16,6,29,7.5,"73.8%","15.4%","20%",76,-203,3,9.3,"27.3%",458,"26.3%","24.8%",0.56,0.26
"Renekton","Top",1,"9.1%","0.0%","9.1%","0%","100%",2,8,1,0.4,"50.0%","40.0%","0%",-255,-612,1,7.7,"25.5%",303,"14.6%","20.7%",0.46,0.14
"Rengar","Jungle",5,"45.5%","0.0%","45.5%","40%","80%",20,26,18,1.5,"59.4%","29.5%","40%",-26,43,8.4,4.6,"12.8%",343,"15.0%","19.1%",0.96,0.54
"Rumble","Top",7,"63.6%","27.3%","90.9%","29%","0%",14,23,28,1.8,"53.8%","20.7%","29%",167,-79,3.4,8.3,"27.4%",664,"30.7%","21.7%",0.54,0.13
"Shen","Top",1,"9.1%","9.1%","18.2%","100%","100%",0,1,9,9,"50.0%","50.0%","0%",102,113,0,8.1,"23.3%",424,"18.6%","18.9%",0.55,0.17
"Syndra","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tahm Kench","-",0,"0%","9.1%","9.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Taliyah","Middle",6,"54.5%","18.2%","72.7%","17%","33%",18,15,31,3.3,"71.0%","16.3%","17%",-61,-55,-4,8.8,"28.2%",581,"27.3%","24.7%",0.64,0.16
"Thresh","Support",2,"18.2%","9.1%","27.3%","50%","50%",1,12,17,1.5,"75.0%","38.7%","50%",8,-130,5.5,1,"2.8%",128,"6.5%","10.0%",1.32,0.55
"Varus","ADC",8,"72.7%","27.3%","100.0%","75%","63%",27,16,44,4.4,"58.7%","19.0%","13%",-218,-108,-12.6,9,"30.6%",419,"19.6%","23.9%",0.4,0.31
"Viktor","Middle",1,"9.1%","0.0%","9.1%","0%","100%",3,2,1,2,"50.0%","10.0%","0%",190,-11,9,10.2,"32.6%",741,"32.7%","28.4%",0.53,0.29
"Zed","Middle",1,"9.1%","0.0%","9.1%","100%","100%",8,1,5,13,"65.0%","16.7%","0%",362,347,9,9.2,"27.1%",565,"22.7%","23.7%",0.69,0.21
"Zilean","Middle",1,"9.1%","18.2%","27.3%","0%","100%",1,2,4,2.5,"83.3%","10.0%","0%",-171,551,-1,8.9,"28.6%",519,"25.0%","24.7%",0.68,0.38
"Zyra","Support",4,"36.4%","36.4%","72.7%","75%","25%",5,9,37,4.7,"62.7%","18.8%","25%",109,46,-4.8,0.8,"3.1%",542,"22.0%","13.4%",1.57,0.48
