"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",2,"7.1%","17.9%","25.0%","0%","-",4,5,8,2.4,"57.1%","11.1%","0%",-41,-208,-11,7.7,"29.3%",386,"23.2%","25.3%",0.16,0.17
"Alistar","Support",9,"32.1%","10.7%","42.9%","78%","-",9,26,111,4.6,"70.2%","21.7%","22%",-14,-16,0.6,1.2,"4.7%",101,"4.5%","10.6%",1.25,0.35
"Annie","Support",8,"28.6%","7.1%","35.7%","63%","-",11,22,89,4.5,"70.4%","17.2%","50%",-31,43,-7.4,0.7,"3.1%",233,"11.8%","11.3%",1.18,0.34
"Azir","Middle",7,"25.0%","28.6%","53.6%","71%","-",37,13,41,6,"65.0%","13.5%","0%",-38,-62,-1.3,8.8,"33.8%",727,"32.4%","26.7%",0.2,0.23
"Bard","Support",2,"7.1%","0.0%","7.1%","0%","-",2,12,5,0.6,"53.8%","22.6%","0%",-204,26,-7,0.3,"1.2%",250,"17.4%","10.4%",0.94,0.17
"Cassiopeia","Middle",9,"32.1%","39.3%","82.1%","78%","-",56,20,67,6.2,"59.7%","17.4%","22%",66,33,6.2,8.4,"29.5%",569,"26.0%","23.9%",0.33,0.21
"Cassiopeia","Top",3,"10.7%","39.3%","82.1%","33%","-",7,15,9,1.1,"41.0%","30.6%","33%",-139,-363,6.3,7.8,"28.4%",480,"24.7%","22.8%",0.51,0.05
"Cho'Gath","Middle",3,"10.7%","0.0%","10.7%","0%","-",11,14,10,1.5,"70.0%","28.0%","0%",223,267,10,7.5,"23.8%",457,"31.1%","24.7%",0.25,0.11
"Corki","ADC",3,"10.7%","0.0%","10.7%","33%","-",14,12,15,2.4,"82.9%","19.7%","33%",-330,-165,7,7.4,"25.5%",713,"31.2%","27.0%",0.17,0.15
"Diana","Middle",2,"7.1%","0.0%","7.1%","0%","-",7,11,2,0.8,"50.0%","20.0%","0%",-908,-525,-10,7.2,"29.2%",312,"20.9%","26.9%",0.27,0.1
"Dr. Mundo","Top",1,"3.6%","0.0%","3.6%","100%","-",4,1,10,14,"51.9%","11.1%","0%",234,45,-2,4.7,"14.3%",487,"16.0%","19.5%",0.5,0.04
