"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sejuani","Jungle",6,"14.3%","7.1%","21.4%","67%","80%",13,11,43,5.1,"64.4%","17.5%","0%",-47,19,2.6,6.1,"15.4%",217,"12.6%","18.5%",0.48,0.43
"Shen","Support",1,"2.4%","0.0%","2.4%","100%","100%",1,1,19,20,"64.5%","14.3%","100%",625,752,4,2.5,"7.3%",123,"5.1%","11.6%",1.86,0.61
"Sivir","ADC",1,"2.4%","2.4%","4.8%","100%","100%",9,2,10,9.5,"82.6%","12.5%","0%",-45,91,1,10.2,"34.9%",825,"36.3%","29.1%",0.39,0.44
"Skarner","Jungle",3,"7.1%","4.8%","11.9%","67%","100%",9,5,20,5.8,"67.4%","11.6%","67%",-49,-261,-1.3,4.8,"13.5%",167,"9.7%","17.1%",1.07,0.55
"Sona","ADC",3,"7.1%","2.4%","9.5%","33%","33%",2,7,19,3,"84.0%","21.2%","0%",-2077,-1323,-82.3,4.6,"19.4%",275,"23.6%","19.1%",0.81,0.28
"Swain","Top",1,"2.4%","0.0%","2.4%","100%","100%",5,1,8,13,"59.1%","33.3%","0%",974,803,28,7.7,"23.7%",850,"35.1%","19.2%",0.45,0.08
"Sylas","Middle",14,"33.3%","45.2%","100.0%","57%","31%",54,43,83,3.2,"62.8%","20.8%","14%",62,177,1,8.6,"25.5%",506,"25.8%","23.4%",0.44,0.17
"Sylas","Top",9,"21.4%","45.2%","100.0%","56%","44%",29,25,41,2.8,"54.3%","21.0%","44%",-472,-209,-10.4,7.9,"26.7%",385,"23.8%","22.0%",0.45,0.15
"Syndra","ADC",1,"2.4%","7.1%","21.4%","100%","100%",3,1,11,14,"66.7%","6.7%","0%",281,718,5,10.2,"36.0%",488,"26.4%","26.7%",0.29,0.29
"Syndra","Middle",5,"11.9%","7.1%","21.4%","20%","80%",10,20,26,1.8,"59.0%","20.0%","20%",-98,-114,4.8,7.8,"24.2%",559,"32.7%","22.1%",0.37,0.13
"Tahm Kench","Support",14,"33.3%","42.9%","76.2%","36%","43%",6,55,72,1.4,"50.0%","23.6%","7%",-112,-97,2.4,1.9,"6.5%",115,"6.7%","9.4%",1.53,0.26
"Talon","Middle",1,"2.4%","0.0%","2.4%","100%","100%",1,3,11,4,"66.7%","30.0%","0%",-171,-441,-3,7.9,"23.0%",406,"22.3%","18.5%",0.68,0.32
"Taric","Support",3,"7.1%","59.5%","66.7%","33%","0%",4,3,18,7.3,"88.0%","9.1%","33%",110,147,40.3,4,"11.7%",81,"7.0%","14.1%",1.2,0.31
"Thresh","Support",2,"4.8%","0.0%","4.8%","100%","50%",0,3,16,5.3,"43.2%","17.6%","100%",215,162,-3.5,0.9,"3.3%",123,"6.4%","8.7%",1.54,0.37
"Trundle","Jungle",1,"2.4%","2.4%","4.8%","100%","100%",1,1,7,8,"72.7%","100.0%","100%",309,309,13,5.5,"12.8%",96,"6.4%","16.2%",0.36,0.57
"Varus","ADC",18,"42.9%","11.9%","54.8%","44%","39%",71,46,90,3.5,"67.9%","16.4%","22%",-108,-35,2.9,9.5,"32.1%",454,"27.7%","27.3%",0.4,0.46
"Vayne","ADC",2,"4.8%","0.0%","7.1%","100%","100%",12,6,18,5,"68.2%","23.1%","50%",766,607,12,9.3,"28.7%",509,"24.7%","26.1%",0.38,0.44
"Vayne","Top",1,"2.4%","0.0%","7.1%","0%","100%",1,7,8,1.3,"64.3%","23.3%","0%",-150,-699,2,5.6,"19.5%",446,"21.6%","15.9%",0.42,0.17
"Vi","Jungle",2,"4.8%","0.0%","4.8%","50%","100%",5,5,12,3.4,"63.0%","21.7%","50%",233,123,1,7.9,"12.9%",165,"10.3%","16.6%",0.45,0.64
"Viktor","Top",3,"7.1%","0.0%","7.1%","33%","100%",6,12,15,1.8,"42.0%","20.3%","0%",310,449,7.7,8.2,"24.6%",590,"27.4%","22.4%",0.41,0.06
"Vladimir","Middle",1,"2.4%","9.5%","23.8%","0%","0%",6,6,5,1.8,"78.6%","20.0%","0%",-545,-247,-15,7,"27.3%",721,"34.9%","30.6%",0.31,0.07
"Vladimir","Top",5,"11.9%","9.5%","23.8%","40%","40%",11,12,12,1.9,"46.0%","19.4%","0%",-253,-13,0.6,8.6,"25.3%",452,"28.9%","23.4%",0.4,0.11
"Xayah","ADC",11,"26.2%","2.4%","28.6%","73%","40%",43,22,67,5,"61.8%","17.7%","27%",178,97,4.3,10.2,"33.6%",498,"24.3%","26.3%",0.35,0.35
"Xin Zhao","Jungle",5,"11.9%","2.4%","14.3%","40%","40%",14,20,31,2.3,"75.0%","28.2%","20%",-147,-307,-4.4,4.9,"13.5%",247,"15.6%","17.3%",0.94,0.43
"Yasuo","Top",1,"2.4%","0.0%","2.4%","100%","0%",3,2,8,5.5,"61.1%","20.0%","0%",94,272,3,9.9,"30.1%",397,"21.8%","25.7%",0.45,0.23
"Yorick","-",0,"0%","2.4%","2.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zoe","Middle",4,"9.5%","9.5%","19.0%","25%","50%",7,12,24,2.6,"50.0%","14.3%","0%",-64,-64,0.3,7.6,"21.7%",621,"28.6%","19.3%",0.42,0.25
