"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Acce","Furious Gaming","Top",5,"40%",,2,15,22,1.6,"63.2%","5.3%","28.3%","20%",212,386,10.8,6.6,"23.9%",299,"18.8%",,191,"19.2%",,0.6,0.23,0.21
"Badmilk","Last Kings","Support",6,"50%",,3,18,54,3.2,"67.9%","3.6%","19.4%","33%",-116,-300,0.3,1.2,"5.2%",127,"6.2%",,129,"11.6%",,1.31,0.3,0.35
"Clatos","Isurus","Jungle",8,"75%",,11,18,56,3.7,"60.9%","10.0%","26.1%","63%",-240,-205,-3.8,3.8,"14.2%",226,"11.0%",,195,"17.7%",,0.79,0.12,0.56
"Dinamox","Furious Gaming","Middle",5,"40%",,13,13,16,2.2,"76.3%","34.2%","24.5%","0%",-34,150,5.4,7.2,"23.9%",516,"30.4%",,212,"21.3%",,0.54,0.11,0.23
"Emp","Isurus","Middle",8,"75%",,43,11,34,7,"70.0%","39.1%","15.9%","50%",8,77,-0.5,7.5,"25.2%",736,"35.4%",,254,"23.4%",,0.48,0.08,0.28
"Focho","Last Kings","Jungle",6,"50%",,11,23,43,2.3,"64.3%","13.1%","24.7%","17%",-186,-205,-0.8,3.8,"14.2%",240,"11.7%",,196,"17.6%",,0.83,0.12,0.54
"Genthix","Furious Gaming","Support",5,"40%",,2,14,27,2.1,"76.3%","5.3%","26.4%","20%",140,316,4.4,1.3,"5.0%",95,"5.9%",,122,"12.2%",,1.1,0.17,0.4
"Gonto","Furious Gaming","Jungle",5,"40%",,8,7,22,4.3,"78.9%","21.1%","13.2%","20%",380,343,6.6,4.2,"14.8%",288,"17.0%",,193,"19.6%",,0.91,0.07,0.48
"MANTARRAYA","Rebirth eSports","Top",3,"0%",,4,10,21,2.5,"69.4%","11.1%","18.9%","0%",111,-408,-10.3,7.4,"27.0%",360,"21.3%",,213,"22.8%",,0.47,0.13,0.09
"Megajp","Rebirth eSports","Middle",3,"0%",,11,11,20,2.8,"86.1%","30.6%","20.8%","33%",-317,-374,-13,7.7,"26.6%",520,"29.4%",,220,"23.6%",,0.42,0.06,0.19
"Newbie","Isurus","Support",8,"75%",,10,7,78,12.6,"80.0%","9.1%","10.1%","38%",-61,-84,-3.6,1.1,"4.8%",138,"6.5%",,149,"13.5%",,1.26,0.25,0.43
"Nipphu","Last Kings","Top",6,"50%",,18,16,38,3.5,"66.7%","21.4%","17.2%","33%",126,309,8,7.7,"29.7%",407,"21.2%",,249,"23.1%",,0.43,0.06,0.08
"Pride","Isurus","Top",8,"75%",,12,21,48,2.9,"54.5%","10.9%","30.4%","38%",-268,-320,-8.9,6,"22.5%",322,"15.6%",,198,"18.0%",,0.49,0.06,0.28
"Prodigy","Furious Gaming","ADC",5,"40%",,13,4,16,7.3,"76.3%","34.2%","7.5%","20%",291,-156,9,9,"32.4%",463,"27.8%",,274,"27.6%",,0.5,0.02,0.23
"Quaker","Rebirth eSports","Jungle",3,"0%",,6,12,21,2.3,"75.0%","16.7%","22.6%","33%",379,385,0.7,3.7,"13.8%",319,"18.6%",,178,"18.8%",,1.05,0.24,0.41
"Rakyz","Last Kings","Middle",6,"50%",,34,17,24,3.4,"69.0%","40.5%","18.3%","33%",177,-40,2.7,7.2,"23.3%",631,"30.6%",,248,"22.7%",,0.52,0.16,0.29
"Slow","Rebirth eSports","Support",3,"0%",,4,11,24,2.5,"77.8%","11.1%","20.8%","0%",161,296,1.7,1.3,"5.3%",139,"7.7%",,114,"11.6%",,1.02,0.17,0.36
"WhiteLotus","Last Kings","ADC",6,"50%",,18,19,34,2.7,"61.9%","21.4%","20.4%","17%",-102,107,-0.2,8.6,"27.5%",614,"30.3%",,277,"25.0%",,0.45,0.03,0.24
"Zealot","Rebirth eSports","ADC",3,"0%",,11,9,17,3.1,"77.8%","30.6%","17.0%","0%",57,-301,-1.3,7.8,"27.4%",399,"23.0%",,225,"23.3%",,0.51,0.09,0.18
"Zeicro","Isurus","ADC",8,"75%",,34,12,51,7.1,"77.3%","30.9%","17.4%","25%",-126,131,-5,9,"33.3%",655,"31.5%",,298,"27.3%",,0.34,0.05,0.14
