"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",4,"36.4%","9.1%","45.5%","75%","-",2,13,44,3.5,"75.4%","23.6%","75%",115,154,0,1.3,"6.0%",93,"4.5%","12.9%",1.13,0.32
"Azir","Middle",3,"27.3%","45.5%","72.7%","67%","-",13,5,12,5,"86.2%","14.3%","33%",-74,71,0.7,8.3,"28.0%",734,"35.4%","24.3%",0.5,0.23
"Braum","Support",5,"45.5%","45.5%","90.9%","60%","-",3,7,36,5.6,"63.9%","17.9%","0%",-133,-68,2.4,1.7,"6.9%",156,"8.3%","12.2%",1.17,0.37
"Corki","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ekko","-",0,"0%","18.2%","18.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",4,"36.4%","0.0%","36.4%","50%","-",8,10,31,3.9,"67.2%","21.3%","50%",47,-210,-4.8,3.8,"14.0%",251,"13.2%","18.7%",0.86,0.57
"Ezreal","ADC",4,"36.4%","0.0%","63.6%","50%","-",9,11,28,3.4,"75.5%","18.3%","0%",-328,320,4.5,8.1,"25.3%",734,"36.3%","24.4%",0.41,0.17
"Ezreal","Middle",3,"27.3%","0.0%","63.6%","33%","-",16,3,12,9.3,"87.5%","8.8%","67%",252,-3,0.7,7.4,"23.2%",835,"42.1%","24.1%",0.48,0.23
"Gangplank","Top",1,"9.1%","0.0%","9.1%","0%","-",2,4,0,0.5,"40.0%","19.0%","0%",10,-177,5,6.9,"29.9%",309,"22.3%","25.5%",0.43,0.07
"Gragas","Jungle",3,"27.3%","45.5%","81.8%","33%","-",4,8,19,2.9,"60.5%","22.2%","67%",414,257,3.3,3.6,"13.5%",256,"15.3%","18.1%",0.98,0.36
