"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Furious Gaming",5,2,3,39.1,38,53,0.72,0.47,1.16,"-1.3%",,,1886,"20%","40%","80%",,"100%","80%","62%",,"40%","50%","49.6%","53.5%",3.64,0.6,1.54
"Isurus",8,6,2,37.6,110,69,1.59,0.6,-0.49,"6.6%",,,-1181,"75%","50%","25%",,"30%","38%","45%",,"50%","71%","49.6%","49.9%",3.36,0.56,1.7
"Last Kings",6,3,3,35,84,93,0.9,0.84,0.55,"-1.3%",,,630,"50%","67%","83%",,"56%","67%","59%",,"33%","33%","51.2%","51.2%",3.54,0.67,1.5
"Rebirth eSports",3,0,3,34.9,36,53,0.68,0.85,-1.85,"-13.1%",,,-1252,"33%","33%","0%",,"33%","0%","20%",,"33%","33%","49.4%","42.1%",3.47,0.69,1.23
