"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Archie","GAM Esports","Support",13,"62%","54%",5,39,128,3.4,"62.1%","2.3%","22.7%","8%",-146,41,-5.8,1.3,"4.2%",171,"8.0%",,124,"9.9%",,1.16,0.29,0.4
"Bigkoro","Young Generation","ADC",4,"25%","50%",24,9,13,4.1,"67.3%","43.6%","10.2%","50%",-208,-44,-2.5,11,"34.0%",804,"35.3%",,330,"30.4%",,0.55,0.17,0.51
"Blazes","UTM Esports","Middle",4,"25%","25%",15,9,8,2.6,"60.5%","39.5%","14.8%","25%",355,400,14.3,10.2,"28.0%",548,"29.8%",,285,"26.8%",,0.68,0.25,0.17
"Calm","UTM Esports","Top",4,"25%","75%",6,12,12,1.5,"47.4%","15.8%","19.7%","0%",-107,-168,-7.5,8.5,"25.2%",382,"22.3%",,233,"22.3%",,0.55,0.06,0.13
"Kriss","GAM Esports","Jungle",13,"62%","54%",33,35,136,4.8,"79.0%","15.4%","20.3%","54%",-8,33,5.2,4.5,"11.0%",242,"11.0%",,183,"15.1%",,1.6,0.42,0.4
"Naul","Young Generation","Middle",4,"25%","100%",14,17,19,1.9,"60.0%","25.5%","19.3%","25%",141,225,2,9.5,"27.1%",642,"28.4%",,265,"24.4%",,0.52,0.19,0.29
"Noway","GAM Esports","ADC",13,"62%","62%",68,27,85,5.7,"71.5%","31.8%","15.7%","8%",42,-29,0.8,10.6,"31.8%",593,"26.5%",,338,"27.8%",,0.39,0.13,0.31
"Palette","Young Generation","Support",4,"25%","25%",3,16,35,2.4,"69.1%","5.5%","18.2%","50%",213,77,11.3,2,"6.0%",177,"7.9%",,111,"10.0%",,1.62,0.62,0.43
"Ren","Young Generation","Top",2,"0%","50%",2,9,9,1.2,"52.4%","9.5%","20.0%","0%",-290,-933,-21.5,7.6,"26.0%",442,"18.4%",,218,"22.3%",,0.4,0.06,0.09
"Ronop","EVOS Esports","Support",5,"60%","60%",2,14,56,4.1,"74.4%","2.6%","21.5%","20%",4,-224,0.6,1.7,"5.0%",132,"6.2%",,124,"10.2%",,1.38,0.44,0.37
"Slay","EVOS Esports","ADC",5,"60%","0%",29,9,30,6.6,"75.6%","37.2%","13.8%","20%",67,17,-0.2,10.2,"30.8%",692,"32.2%",,335,"27.8%",,0.46,0.11,0.33
"Spot","UTM Esports","Jungle",4,"25%","50%",10,13,18,2.2,"73.7%","26.3%","21.3%","50%",-29,-61,-9.8,4.2,"10.5%",235,"12.2%",,160,"14.6%",,1.02,0.33,0.41
"Stark","EVOS Esports","Top",5,"60%","40%",11,15,33,2.9,"56.4%","14.1%","23.1%","20%",-312,-163,-3.2,8.2,"23.4%",380,"17.6%",,253,"20.7%",,0.51,0.1,0.11
"Tear","UTM Esports","Support",4,"25%","50%",2,15,24,1.7,"68.4%","5.3%","24.6%","25%",257,71,7,2,"6.1%",139,"7.7%",,114,"10.5%",,1.26,0.35,0.21
"Venus","Young Generation","Jungle",4,"25%","25%",9,22,32,1.9,"74.5%","16.4%","25.0%","25%",89,128,1,3.9,"9.2%",238,"10.8%",,153,"14.2%",,1.41,0.39,0.69
"Warzone","EVOS Esports","Middle",5,"60%","20%",21,10,25,4.6,"59.0%","26.9%","15.4%","0%",-40,223,6.2,10,"28.6%",671,"31.3%",,307,"25.1%",,0.67,0.25,0.23
"Yado","GAM Esports","Middle",13,"62%","54%",61,34,93,4.5,"72.0%","28.5%","19.8%","31%",-137,-278,-7.4,9.2,"27.1%",672,"30.3%",,292,"24.3%",,0.78,0.31,0.31
"Yijin","EVOS Esports","Jungle",5,"60%","60%",15,17,39,3.2,"69.2%","19.2%","26.2%","20%",-28,-139,-6.6,4.4,"12.2%",277,"12.7%",,200,"16.3%",,0.81,0.31,0.33
"yT","Young Generation","Top",2,"50%","100%",3,15,14,1.1,"50.0%","8.8%","34.9%","50%",-328,91,-10,7.6,"21.6%",360,"16.9%",,230,"19.6%",,0.6,0.19,0.15
"Zeros","GAM Esports","Top",13,"62%","38%",47,37,93,3.8,"65.4%","22.0%","21.5%","54%",248,244,8.4,8.8,"25.8%",538,"24.2%",,278,"23.0%",,0.58,0.09,0.15
"Zin","UTM Esports","ADC",4,"25%","75%",5,12,15,1.7,"52.6%","13.2%","19.7%","0%",-11,118,0,10.5,"30.1%",506,"28.0%",,271,"25.8%",,0.37,0.03,0.36
