"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","-",0,"0%","69.2%","69.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Anivia","Middle",2,"15.4%","0.0%","15.4%","0%","100%",4,6,5,1.5,"40.9%","16.2%","0%",-195,-117,-6,9.5,"28.1%",658,"31.3%","23.8%",0.66,0.2
"Ashe","ADC",2,"15.4%","0.0%","15.4%","0%","50%",7,9,5,1.3,"85.7%","22.5%","0%",-139,-400,-1,9.2,"26.5%",458,"24.4%","26.9%",0.41,0.06
"Azir","Middle",2,"15.4%","38.5%","53.8%","50%","0%",7,4,7,3.5,"77.8%","14.8%","0%",345,482,21.5,10.3,"27.4%",595,"34.4%","27.1%",0.64,0.3
"Braum","Support",8,"61.5%","0.0%","61.5%","38%","25%",3,30,70,2.4,"68.2%","21.9%","13%",136,197,7.1,2,"5.7%",150,"7.6%","10.0%",1.45,0.32
"Caitlyn","ADC",6,"46.2%","38.5%","84.6%","50%","33%",36,15,25,4.1,"77.2%","16.1%","33%",-90,-59,0.7,10.6,"33.2%",810,"35.1%","29.4%",0.45,0.39
"Camille","Top",4,"30.8%","69.2%","100.0%","100%","25%",21,20,26,2.4,"58.0%","36.4%","25%",42,250,6.3,9,"26.7%",529,"24.9%","23.0%",0.54,0.2
"Cassiopeia","Middle",5,"38.5%","53.8%","92.3%","80%","40%",24,7,28,7.4,"54.7%","13.5%","20%",116,146,5,9.4,"27.6%",635,"25.9%","23.9%",0.7,0.28
"Ezreal","ADC",1,"7.7%","7.7%","15.4%","100%","0%",5,0,6,11,"68.8%","0.0%","0%",136,-172,-3,10,"25.6%",647,"33.3%","24.6%",0.46,0.29
"Fiora","Top",2,"15.4%","7.7%","23.1%","0%","100%",4,5,6,2,"58.8%","14.3%","0%",226,79,0,9.1,"28.6%",371,"20.3%","26.8%",0.76,0.19
"Gangplank","Top",1,"7.7%","0.0%","7.7%","0%","100%",2,4,4,1.5,"60.0%","16.7%","0%",-261,-1046,-32,7.8,"28.5%",476,"19.6%","26.4%",0.39,0.06
"Gnar","Top",2,"15.4%","23.1%","38.5%","0%","100%",3,7,6,1.3,"56.3%","20.0%","0%",64,75,6,8.7,"24.4%",390,"23.7%","23.0%",0.54,0.15
"Janna","Support",1,"7.7%","0.0%","7.7%","100%","0%",1,1,15,16,"84.2%","16.7%","100%",282,-51,-10,0.7,"3.7%",216,"11.1%","12.7%",1.13,0.33
"Jarvan IV","Jungle",4,"30.8%","15.4%","46.2%","75%","50%",10,16,57,4.2,"83.8%","28.1%","25%",-326,-295,-2.5,4,"10.9%",250,"9.9%","14.3%",2.08,0.49
"Jayce","Top",1,"7.7%","0.0%","7.7%","0%","0%",7,5,5,2.4,"66.7%","31.3%","100%",285,-802,0,9.9,"30.9%",671,"30.7%","26.4%",1.22,0.28
"Jhin","ADC",3,"23.1%","15.4%","38.5%","33%","67%",12,6,20,5.3,"69.6%","11.3%","0%",-10,117,-1.7,10.2,"31.3%",521,"24.4%","27.4%",0.42,0.19
"Jinx","ADC",1,"7.7%","0.0%","7.7%","0%","100%",0,3,2,0.7,"50.0%","17.6%","0%",-179,41,-7,10.8,"31.2%",445,"33.8%","27.3%",0.46,0.46
"Karma","Middle",1,"7.7%","0.0%","7.7%","100%","100%",4,1,12,16,"80.0%","50.0%","0%",-356,-393,-20,8.6,"25.1%",515,"23.6%","21.6%",0.81,0.12
"Kha'Zix","-",0,"0%","76.9%","76.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Support",5,"38.5%","15.4%","53.8%","80%","80%",2,13,54,4.3,"67.5%","21.0%","20%",-191,30,-11.6,0.7,"2.5%",127,"5.9%","9.7%",1.18,0.45
"Morgana","-",0,"0%","23.1%","23.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Olaf","Jungle",3,"23.1%","76.9%","100.0%","67%","33%",12,9,21,3.7,"66.0%","25.0%","67%",-46,262,2.3,4.7,"12.1%",321,"14.5%","16.2%",1.22,0.29
"Orianna","Middle",1,"7.7%","0.0%","7.7%","100%","100%",3,4,3,1.5,"37.5%","22.2%","0%",468,637,19,10.6,"28.3%",526,"29.1%","24.0%",0.39,0.41
"Ornn","Top",8,"61.5%","30.8%","92.3%","88%","50%",23,17,64,5.1,"61.7%","22.1%","50%",-5,182,2.1,8,"23.4%",451,"18.7%","20.8%",0.48,0.1
"Poppy","Top",1,"7.7%","0.0%","7.7%","0%","100%",0,8,9,1.1,"50.0%","32.0%","100%",-370,-621,-20,6.9,"20.9%",422,"17.3%","17.7%",0.6,0.1
"Rakan","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Renekton","Top",1,"7.7%","0.0%","7.7%","0%","100%",2,4,7,2.3,"75.0%","16.7%","0%",-662,-456,-21,7.2,"23.4%",357,"18.7%","21.1%",0.49,0.07
"Ryze","Middle",7,"53.8%","30.8%","84.6%","43%","29%",41,18,39,4.4,"75.5%","16.4%","43%",11,-105,-3.7,10,"28.2%",605,"29.8%","26.8%",0.76,0.28
"Sejuani","Jungle",10,"76.9%","0.0%","76.9%","50%","20%",24,30,86,3.7,"76.9%","20.0%","50%",1,-82,-1,4.3,"10.7%",259,"12.2%","15.2%",1.5,0.5
"Shen","Support",1,"7.7%","0.0%","7.7%","0%","100%",0,5,10,2,"83.3%","20.8%","0%",-150,-389,-3,1.7,"5.1%",112,"5.9%","9.7%",1.5,0.35
"Sion","Top",6,"46.2%","23.1%","69.2%","33%","17%",7,18,34,2.3,"56.9%","18.9%","33%",50,28,3.2,8.5,"24.0%",475,"22.9%","20.9%",0.51,0.1
"Sivir","ADC",1,"7.7%","0.0%","7.7%","0%","100%",1,3,3,1.3,"57.1%","18.8%","0%",-136,172,3,11.4,"34.7%",460,"32.9%","28.7%",0.36,0.23
"Skarner","Jungle",2,"15.4%","23.1%","38.5%","0%","50%",4,11,12,1.5,"76.2%","27.5%","50%",448,481,9,4.3,"9.9%",209,"9.6%","14.4%",1.14,0.53
"Soraka","Support",1,"7.7%","0.0%","7.7%","100%","100%",1,2,19,10,"95.2%","18.2%","0%",-466,257,-19,0.8,"3.7%",247,"8.5%","11.3%",1.5,0.55
"Swain","Middle",2,"15.4%","84.6%","100.0%","100%","0%",7,4,22,7.3,"78.4%","17.4%","0%",195,117,6,8.1,"23.9%",897,"32.1%","21.5%",0.76,0.4
"Tahm Kench","Support",5,"38.5%","30.8%","69.2%","40%","0%",4,17,33,2.2,"50.0%","24.3%","40%",180,-107,6.2,2,"6.2%",150,"6.9%","9.9%",1.19,0.32
"Taliyah","Middle",6,"46.2%","23.1%","69.2%","17%","83%",21,26,29,1.9,"70.4%","22.2%","33%",-244,-201,-6.8,9.4,"28.1%",684,"32.9%","24.6%",0.7,0.22
"Taric","Support",2,"15.4%","0.0%","15.4%","100%","100%",0,4,24,6,"68.6%","23.5%","0%",-40,-296,1.5,1.7,"4.9%",105,"4.1%","9.5%",1.28,0.36
"Thresh","Support",1,"7.7%","38.5%","46.2%","0%","100%",0,4,7,1.8,"70.0%","16.7%","0%",-37,-244,0,1.9,"6.2%",176,"7.3%","8.3%",1.38,0.35
"Tristana","ADC",1,"7.7%","30.8%","38.5%","100%","100%",9,0,4,13,"81.3%","0.0%","0%",-2,104,1,11.9,"41.6%",1017,"38.3%","33.4%",0.4,0.45
"Trundle","Jungle",5,"38.5%","0.0%","38.5%","40%","100%",10,15,35,3,"75.0%","19.0%","20%",-22,92,3,4.4,"10.4%",182,"9.5%","15.1%",0.6,0.3
"Varus","ADC",8,"61.5%","30.8%","92.3%","63%","25%",40,16,62,6.4,"68.9%","16.5%","13%",149,41,3.1,10.5,"30.6%",546,"24.2%","26.7%",0.39,0.43
"Xayah","ADC",3,"23.1%","7.7%","30.8%","67%","100%",16,5,16,6.4,"58.2%","9.8%","33%",-55,110,-5.3,11.2,"33.4%",712,"31.6%","28.2%",0.51,0.42
