"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"AHaHaCiK","Vega Squadron","Jungle",7,"86%","71%",23,19,46,3.6,"67.0%","22.3%","27.5%","43%",-121,-168,-6.9,5,"15.6%",318,"18.5%",,229,"18.8%",,0.56,0.35,0.34
"Archie2b","Elements Pro Gaming","Support",7,"57%","29%",6,18,52,3.2,"69.0%","7.1%","22.0%","29%",39,-134,2.3,1.7,"5.8%",210,"12.0%",,125,"11.3%",,1.37,0.46,0.33
"Blasting","M19","ADC",3,"0%","100%",5,8,11,2,"76.2%","23.8%","17.4%","0%",-67,35,2.7,9.1,"30.0%",366,"26.3%",,250,"26.5%",,0.33,0.12,0.26
"BOSS","Vega Squadron","Top",7,"86%","14%",25,11,34,5.4,"57.3%","24.3%","15.9%","29%",377,-29,2.3,7.8,"24.3%",328,"18.7%",,280,"22.7%",,0.49,0.19,0.15
"Diamondprox","Gambit Esports","Jungle",3,"0%","0%",5,11,13,1.6,"58.1%","16.1%","26.2%","0%",117,148,12.7,4.9,"14.9%",203,"10.2%",,178,"17.3%",,0.33,0.3,0.48
"DiscotEkka","M19","Middle",3,"0%","33%",3,7,10,1.9,"61.9%","14.3%","15.2%","0%",-102,-116,-3,7.9,"22.2%",384,"28.0%",,193,"20.7%",,0.38,0.19,0.2
"Four","Elements Pro Gaming","Jungle",7,"57%","57%",17,15,39,3.7,"66.7%","20.2%","18.3%","43%",321,272,4.1,5.4,"15.4%",212,"12.5%",,204,"18.6%",,0.55,0.33,0.52
"Gadget","Vega Squadron","ADC",7,"86%","43%",14,11,53,6.1,"65.0%","13.6%","15.9%","43%",-81,176,2,8.9,"28.7%",431,"24.4%",,280,"22.9%",,0.38,0.12,0.3
"Jestkui Max","Gambit Esports","Support",3,"0%","33%",3,7,18,3,"67.7%","9.7%","16.7%","33%",2,186,3.7,1.4,"5.1%",177,"9.0%",,124,"11.9%",,1.09,0.28,0.17
"Kira","Gambit Esports","Middle",3,"0%","33%",5,8,13,2.3,"58.1%","16.1%","19.0%","33%",-9,-81,-7,7.5,"25.1%",607,"31.2%",,218,"20.5%",,0.57,0.26,0.15
"Kreox","M19","Jungle",3,"0%","33%",1,11,14,1.4,"71.4%","4.8%","23.9%","0%",-583,-390,-6.3,4.8,"14.9%",96,"7.0%",,151,"15.9%",,1.08,0.42,0.56
"Lekcyc","M19","Support",3,"0%","67%",1,10,14,1.5,"71.4%","4.8%","21.7%","0%",-188,-85,-3.7,1.6,"6.4%",110,"8.0%",,87,"9.3%",,1.71,0.38,0.41
"Lodik","Gambit Esports","ADC",3,"0%","33%",11,5,13,4.8,"77.4%","35.5%","11.9%","33%",312,-174,5.3,8.8,"32.5%",496,"25.3%",,294,"28.7%",,0.31,0.14,0.21
"Nomanz","Vega Squadron","Middle",7,"86%","57%",30,15,31,4.1,"59.2%","29.1%","21.7%","0%",-77,98,3.4,8.9,"28.9%",562,"30.3%",,304,"24.5%",,0.47,0.14,0.24
"NoNholy","Elements Pro Gaming","Top",7,"57%","57%",28,13,21,3.8,"58.3%","33.3%","15.9%","14%",-298,129,-1.3,8.2,"25.1%",388,"22.9%",,267,"23.2%",,0.43,0.11,0.17
"Phlaty","Elements Pro Gaming","Middle",7,"57%","57%",16,21,43,2.8,"70.2%","19.0%","25.6%","14%",125,-13,0.9,8.6,"25.0%",479,"28.5%",,256,"23.1%",,0.44,0.2,0.16
"PvPStejos","Gambit Esports","Top",3,"0%","100%",7,11,8,1.4,"48.4%","22.6%","26.2%","33%",-148,39,0.7,6.9,"22.4%",481,"24.3%",,224,"21.6%",,0.39,0.12,0.08
"SaNTaS","Vega Squadron","Support",7,"86%","71%",11,13,51,4.8,"60.2%","10.7%","18.8%","43%",40,91,-2.3,0.8,"2.5%",144,"8.0%",,140,"11.1%",,1.26,0.37,0.28
"Smurf","M19","Top",3,"0%","67%",11,10,5,1.6,"76.2%","52.4%","21.7%","0%",-34,-271,-3,8.2,"26.4%",423,"30.7%",,263,"27.7%",,0.4,0.14,0.12
"VincentVega","Elements Pro Gaming","ADC",7,"57%","43%",17,15,29,3.1,"54.8%","20.2%","18.3%","29%",-24,-116,-5.4,8.7,"28.8%",403,"24.1%",,258,"23.9%",,0.37,0.14,0.27
