"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Crest Gaming Act",3,0,3,29.3,16,36,0.44,0.59,-2.55,"-17.1%",13.8,-13.8,-3919,"0%","0%","0%",,"33%","33%","38%",,"0%","0%","49.3%","39.3%",4.06,1.16,1.6
"DetonatioN FocusMe",3,3,0,34.4,52,26,2,0.76,0.3,"10.2%",57.4,42.6,336,"67%","67%","67%",,"67%","33%","50%","0%","100%","67%","50.6%","49.2%",3.96,1.32,1.6
"Unsold Stuff Gaming",6,3,3,31.8,62,68,0.91,0.68,1.01,"3.5%",64.4,-14.4,1791,"67%","67%","67%",,"50%","67%","56%","100%","50%","60%","50.0%","55.8%",3.48,1.35,1.65
