"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akali","-",0,"0%","16.7%","16.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ashe","ADC",5,"83.3%","0.0%","83.3%","40%","60%",5,5,18,4.6,"51.1%","11.6%","0%",-32,-13,-2.8,9.7,"30.5%",452,"27.2%","25.4%",0.33,0.35
"Azir","Middle",2,"33.3%","16.7%","50.0%","0%","50%",8,5,3,2.2,"91.7%","19.2%","0%",-182,-137,-11.5,10.1,"34.2%",573,"35.0%","31.7%",0.47,0.38
"Braum","Support",4,"66.7%","16.7%","83.3%","50%","50%",0,8,22,2.8,"66.7%","20.5%","0%",-31,-143,1,1.9,"6.7%",117,"7.3%","10.1%",1.39,0.31
"Corki","Middle",2,"33.3%","66.7%","100.0%","100%","100%",9,3,7,5.3,"69.6%","21.4%","50%",161,63,7,9.9,"26.6%",822,"42.2%","26.0%",0.56,0.45
"Elise","Jungle",1,"16.7%","0.0%","16.7%","100%","100%",2,4,2,1,"33.3%","40.0%","0%",-61,101,-5,5.1,"15.5%",171,"8.2%","15.9%",0.75,0.44
"Fiora","-",0,"0%","33.3%","33.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Galio","-",0,"0%","16.7%","16.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gnar","Top",1,"16.7%","0.0%","16.7%","0%","100%",3,6,6,1.5,"45.0%","27.3%","0%",168,-59,11,8.2,"27.0%",548,"28.7%","23.0%",0.31,0.15
"Hecarim","-",0,"0%","33.3%","33.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Heimerdinger","-",0,"0%","33.3%","33.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Irelia","Middle",1,"16.7%","0.0%","16.7%","0%","0%",10,4,4,3.5,"70.0%","18.2%","0%",318,318,1,8.5,"28.3%",496,"25.9%","26.8%",0.39,0.11
"Jarvan IV","Jungle",2,"33.3%","50.0%","83.3%","50%","0%",4,3,11,5,"71.4%","18.8%","50%",54,34,2.5,4.6,"11.5%",164,"9.2%","15.9%",1.17,0.72
"Jayce","-",0,"0%","50.0%","50.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kai'Sa","ADC",1,"16.7%","0.0%","16.7%","0%","100%",1,3,0,0.3,"25.0%","18.8%","0%",146,178,11,9.7,"34.0%",251,"20.4%","28.5%",0.36,0.2
"Kalista","-",0,"0%","33.3%","33.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Karma","Middle",1,"16.7%","0.0%","16.7%","100%","100%",2,1,10,12,"75.0%","25.0%","0%",-159,-422,-6,7,"15.7%",442,"23.1%","16.6%",0.75,0.24
