"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Rek'Sai","Jungle",4,"33.3%","0.0%","33.3%","50%","25%",9,11,19,2.5,"73.7%","27.5%","50%",166,161,2.3,5.5,"15.7%",280,"16.2%","18.2%",0.72,0.46
"Renekton","Top",1,"8.3%","0.0%","8.3%","100%","0%",5,0,6,11,"57.9%","0.0%","0%",731,444,5,8.7,"30.7%",363,"18.1%","21.8%",0.5,0.29
"Ryze","Middle",4,"33.3%","41.7%","75.0%","25%","25%",9,5,16,5,"71.4%","10.6%","25%",-310,-107,-12.3,8.1,"25.7%",389,"24.3%","24.3%",0.6,0.2
"Sejuani","Jungle",2,"16.7%","8.3%","25.0%","100%","100%",3,1,16,19,"70.4%","7.7%","0%",-227,20,-4.5,5.1,"15.8%",156,"8.7%","17.0%",0.44,0.72
"Sion","Top",1,"8.3%","0.0%","8.3%","0%","100%",4,4,2,1.5,"75.0%","15.4%","0%",-147,-294,-8,6.8,"19.6%",387,"19.6%","22.6%",0.46,0.06
"Sivir","ADC",1,"8.3%","0.0%","8.3%","0%","100%",0,2,1,0.5,"100.0%","16.7%","0%",-65,-182,-2,10,"35.8%",456,"32.1%","30.2%",0.47,0.38
"Skarner","Jungle",1,"8.3%","0.0%","8.3%","0%","100%",1,7,9,1.4,"66.7%","31.8%","100%",-52,-464,-6,3.8,"10.7%",98,"6.0%","13.5%",1.02,0.5
"Sylas","Middle",2,"16.7%","8.3%","25.0%","100%","100%",7,2,13,10,"74.1%","22.2%","0%",211,-15,4,9,"24.5%",331,"18.9%","23.3%",0.49,0.23
"Syndra","Middle",1,"8.3%","0.0%","8.3%","0%","0%",1,3,3,1.3,"80.0%","30.0%","100%",-37,-80,3,8.7,"23.3%",379,"30.1%","21.7%",0.38,0.03
"Tahm Kench","Support",6,"50.0%","33.3%","83.3%","67%","67%",3,10,38,4.1,"62.1%","20.0%","33%",41,368,2.2,1.6,"5.0%",98,"5.9%","9.3%",1.6,0.14
"Taliyah","Jungle",1,"8.3%","58.3%","75.0%","100%","0%",4,2,8,6,"75.0%","25.0%","100%",-132,-130,-16,6.3,"23.2%",459,"24.4%","23.2%",0.83,0.4
"Taliyah","Middle",1,"8.3%","58.3%","75.0%","100%","100%",2,0,2,4,"80.0%","0.0%","0%",-119,-150,-3,8.1,"21.7%",159,"23.0%","21.5%",0.59,0.25
