"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"ahq eSports Club",9,5,4,34.8,102,90,1.13,0.61,-0.04,"-1.9%",51.9,3.6,632,"56%","56%","56%",,"44%","22%","41%",,"44%","50%","49.2%","48.0%",3.88,1.51,1.71
"Flash Wolves",8,6,2,34.9,115,82,1.4,0.71,0.62,"7.3%",49.6,25.4,-220,"50%","50%","63%",,"63%","63%","61%",,"75%","82%","50.2%","54.2%",3.6,1.36,1.6
"J Team",4,1,3,35.3,27,37,0.73,0.45,0.24,"1.0%",57.4,-32.4,91,"50%","50%","50%",,"50%","75%","59%",,"25%","20%","51.1%","51.0%",4.14,1.3,1.67
"MAD Team",3,0,3,35.7,17,53,0.32,0.65,-1.81,"-15.2%",35.5,-35.5,-1431,"33%","33%","0%",,"33%","67%","36%",,"0%","0%","50.5%","43.4%",3.65,1.34,1.4
