"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Cloud9",5,2,3,32.7,44,59,0.75,0.63,0.04,"1.6%",57.8,-17.8,632,"20%","60%","60%",,"60%","80%","56%","100%","60%","50%","50.3%","52.0%",3.35,1.43,1.43
"Echo Fox",4,1,3,34.7,30,67,0.45,0.69,-1,"-6.8%",41.3,-16.3,-1039,"25%","25%","50%",,"75%","75%","50%","0%","25%","29%","50.6%","47.6%",2.7,1.02,1.3
"FlyQuest",8,3,5,32.8,72,94,0.77,0.63,-0.73,"-5.1%",37.5,0,-1153,"13%","38%","38%",,"25%","38%","34%","0%","50%","42%","49.0%","51.2%",3.2,1.12,1.35
"Golden Guardians",5,2,3,33.5,57,54,1.06,0.66,-0.02,"2.4%",51.5,-11.5,378,"80%","40%","40%",,"60%","60%","59%","100%","40%","57%","50.4%","45.4%",3.75,1.32,1.67
"Team Liquid",8,6,2,35,106,76,1.39,0.65,0.98,"6.9%",68.2,6.8,1458,"63%","88%","88%",,"88%","75%","63%","67%","63%","64%","51.0%","50.5%",3.36,1.13,1.37
"TSM",14,8,6,34.8,183,144,1.27,0.67,0.11,"-0.5%",46,11.2,-238,"71%","43%","36%",,"29%","21%","47%","33%","43%","52%","49.6%","50.6%",3.33,1.28,1.19
