"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Gambit Esports",7,6,1,33,118,76,1.55,0.84,0.8,"6.2%",59,26.7,601,"71%","43%","71%",,"57%","71%","89%","0%","71%","75%","50.5%","53.6%",3.93,1.08,1.47
"M19",10,4,6,34.7,108,124,0.87,0.67,-0.87,"-5.7%",43.4,-3.4,-735,"70%","20%","30%",,"44%","40%","42%","0%","30%","38%","50.5%","47.1%",3.48,1.13,1.33
"RoX",8,3,5,31.8,79,93,0.85,0.68,0.05,"-0.8%",49.2,-11.7,304,"38%","88%","38%",,"29%","63%","55%","100%","38%","36%","49.0%","47.8%",3.3,0.98,1
"Team Just",9,4,5,35.9,121,133,0.91,0.79,0.32,"2.1%",51,-6.5,78,"22%","56%","67%",,"67%","33%","30%","100%","67%","53%","49.9%","52.4%",4.13,1.38,1.4
