"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",3,"21.4%","35.7%","57.1%","67%","-",16,4,24,10,"75.5%","12.9%","33%",69,-123,-5,7.3,"26.0%",664,"27.8%","23.0%",0.49,0.24
"Alistar","Support",5,"35.7%","0.0%","35.7%","40%","-",1,17,44,2.6,"84.9%","18.5%","60%",-11,121,-3.2,1.4,"5.8%",126,"5.4%","12.1%",1.25,0.25
"Anivia","Middle",1,"7.1%","0.0%","7.1%","100%","-",8,2,9,8.5,"70.8%","28.6%","0%",362,641,20,9.2,"32.1%",906,"28.9%","26.0%",0.68,0.28
"Azir","Middle",6,"42.9%","42.9%","85.7%","50%","-",23,23,38,2.7,"72.6%","24.2%","33%",27,115,9,8.5,"30.9%",744,"32.1%","25.1%",0.46,0.3
"Bard","Support",4,"28.6%","28.6%","57.1%","100%","-",4,14,53,4.1,"83.8%","31.1%","25%",-94,273,-3.8,0.9,"5.2%",258,"11.3%","13.5%",1.18,0.34
"Blitzcrank","Support",1,"7.1%","0.0%","7.1%","0%","-",2,5,9,2.2,"52.4%","27.8%","0%",-48,-444,6,1.2,"5.1%",187,"8.2%","12.1%",1.05,0.32
"Braum","Support",9,"64.3%","0.0%","64.3%","44%","-",6,27,88,3.5,"75.2%","26.0%","33%",69,92,3,1.6,"6.5%",170,"7.8%","12.5%",1.1,0.32
"Caitlyn","ADC",1,"7.1%","0.0%","7.1%","100%","-",6,0,3,9,"56.3%","0.0%","0%",67,-212,-2,8.5,"29.6%",407,"20.7%","24.6%",0.39,0.19
"Corki","ADC",1,"7.1%","71.4%","85.7%","100%","-",2,1,7,9,"69.2%","50.0%","100%",-123,182,-9,8.8,"29.3%",708,"36.0%","21.4%",0.3,0.21
"Corki","Middle",1,"7.1%","71.4%","85.7%","100%","-",5,0,4,9,"56.3%","0.0%","100%",652,1089,14,8.4,"27.2%",775,"39.4%","23.3%",0.55,0.52
"Ekko","Top",4,"28.6%","0.0%","28.6%","25%","-",13,11,25,3.5,"61.3%","17.7%","25%",58,25,-2.5,5.7,"21.2%",459,"21.7%","21.0%",0.45,0.2
"Elise","Jungle",4,"28.6%","0.0%","28.6%","25%","-",10,20,17,1.4,"77.1%","31.7%","25%",-368,-360,-5.3,3.5,"12.7%",352,"18.9%","19.2%",0.79,0.35
"Fiora","Top",2,"14.3%","0.0%","14.3%","0%","-",6,3,3,3,"75.0%","12.0%","0%",-425,-468,-12,7.2,"23.9%",288,"15.6%","21.5%",0.48,0.21
"Gangplank","Middle",2,"14.3%","0.0%","14.3%","100%","-",6,3,9,5,"48.4%","13.0%","50%",204,199,-2,9.1,"33.5%",611,"26.4%","25.1%",0.55,0.09
"Gnar","Top",2,"14.3%","0.0%","14.3%","0%","-",2,8,2,0.5,"66.7%","23.5%","0%",27,120,0.5,5.3,"19.9%",362,"20.1%","19.3%",0.45,0.14
"Gragas","Jungle",8,"57.1%","35.7%","92.9%","50%","-",12,18,86,5.4,"77.8%","20.9%","38%",-217,-111,-2.9,3.7,"14.0%",393,"17.0%","17.6%",0.76,0.39
"Graves","Jungle",6,"42.9%","14.3%","57.1%","67%","-",20,14,39,4.2,"73.8%","17.3%","67%",196,254,3.3,4.5,"18.4%",516,"23.2%","20.9%",0.77,0.41
"Janna","Support",2,"14.3%","0.0%","14.3%","100%","-",0,1,22,22,"95.7%","7.1%","50%",40,-323,-1.5,0.9,"4.0%",104,"5.6%","12.8%",1.05,0.44
"Jhin","ADC",3,"21.4%","0.0%","21.4%","0%","-",10,7,8,2.6,"64.3%","15.2%","67%",-539,-380,-14.3,6.8,"26.2%",551,"25.2%","22.4%",0.43,0.07
"Kalista","ADC",4,"28.6%","28.6%","57.1%","50%","-",18,9,20,4.2,"77.6%","12.2%","25%",56,126,2.5,7.5,"28.4%",578,"25.6%","23.8%",0.4,0.18
"Kassadin","Middle",2,"14.3%","0.0%","14.3%","50%","-",11,7,18,4.1,"85.3%","23.3%","50%",-57,-384,-17,6.8,"27.7%",581,"27.9%","23.6%",0.44,0.09
"Kayle","Middle",1,"7.1%","0.0%","7.1%","0%","-",1,5,6,1.4,"63.6%","27.8%","0%",241,33,12,10.2,"37.9%",918,"41.1%","28.0%",0.52,0.19
"Kindred","Jungle",2,"14.3%","71.4%","85.7%","0%","-",3,13,11,1.1,"66.7%","30.2%","0%",119,-187,1,3.6,"13.9%",399,"17.5%","17.9%",0.6,0.36
"LeBlanc","Middle",2,"14.3%","0.0%","14.3%","50%","-",4,8,9,1.6,"54.2%","27.6%","50%",95,337,6,7.4,"26.8%",452,"21.2%","21.0%",0.48,0.19
"Lee Sin","Jungle",2,"14.3%","0.0%","14.3%","0%","-",2,9,8,1.1,"66.7%","26.5%","50%",-90,-436,0,3.4,"10.9%",232,"12.0%","17.3%",0.81,0.36
"Lucian","ADC",9,"64.3%","7.1%","71.4%","67%","-",47,15,62,7.3,"77.9%","13.4%","22%",168,39,4,7.7,"29.5%",583,"24.6%","24.5%",0.45,0.23
