"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",8,"29.6%","0.0%","29.6%","63%","-",43,20,61,5.2,"63.4%","18.2%","50%",191,126,1.9,8.2,"31.7%",612,"26.8%","24.5%",0.25,0.14
"Annie","Support",8,"29.6%","33.3%","63.0%","50%","-",13,28,75,3.1,"65.2%","22.0%","13%",-54,136,-5.5,0.5,"2.5%",226,"10.4%","10.1%",1.29,0.3
"Braum","Support",2,"7.4%","0.0%","7.4%","50%","-",0,8,21,2.6,"91.3%","24.2%","50%",-328,-261,-5,0.9,"3.5%",162,"8.9%","10.7%",1.23,0.2
"Caitlyn","ADC",4,"14.8%","14.8%","29.6%","100%","-",28,7,29,8.1,"64.0%","16.3%","25%",-269,-245,2,9.7,"38.9%",849,"33.0%","28.6%",0.07,0.15
"Cassiopeia","Middle",2,"7.4%","55.6%","63.0%","0%","-",4,7,7,1.6,"84.6%","18.4%","0%",214,135,11,7.8,"29.4%",467,"33.5%","25.8%",0.26,0.16
"Cho'Gath","Middle",5,"18.5%","0.0%","18.5%","40%","-",13,14,15,2,"54.9%","20.9%","0%",18,-26,-1.2,8,"28.3%",343,"21.5%","23.0%",0.26,0.05
"Corki","ADC",1,"3.7%","0.0%","3.7%","0%","-",5,3,5,3.3,"55.6%","14.3%","0%",1013,906,41,10.3,"42.5%",905,"34.5%","31.2%",0.08,0.11
"Diana","Middle",3,"11.1%","22.2%","37.0%","67%","-",19,10,16,3.5,"76.1%","22.2%","0%",-17,352,5.3,7.9,"32.4%",617,"27.8%","26.7%",0.25,0.08
"Diana","Top",1,"3.7%","22.2%","37.0%","0%","-",2,1,0,2,"50.0%","6.3%","0%",-355,-447,-4,6,"24.9%",368,"27.5%","22.4%",0.28,0
"Draven","-",0,"0%","11.1%","11.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",1,"3.7%","0.0%","7.4%","100%","-",2,0,6,8,"50.0%","0.0%","0%",-267,-203,-16,7.9,"23.4%",549,"27.5%","20.7%",0.24,0.08
"Ezreal","Middle",1,"3.7%","0.0%","7.4%","0%","-",2,1,2,4,"80.0%","7.1%","0%",-290,-508,-15,8.7,"30.5%",616,"39.2%","26.4%",0.2,0.2
"Gnar","Jungle",1,"3.7%","0.0%","3.7%","100%","-",2,6,12,2.3,"66.7%","31.6%","0%",102,289,-1,2.8,"10.0%",428,"15.6%","15.4%",0.62,0.26
"Gragas","Jungle",16,"59.3%","29.6%","88.9%","50%","-",23,50,132,3.1,"70.1%","21.4%","25%",-321,-464,-5.7,2.7,"10.0%",278,"13.6%","15.9%",0.62,0.21
"Graves","-",0,"0%","37.0%","37.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","Top",7,"25.9%","51.9%","77.8%","29%","-",27,25,51,3.1,"70.3%","21.0%","29%",-45,28,0.3,6.7,"25.4%",495,"22.8%","22.4%",0.53,0.06
"Irelia","Top",1,"3.7%","0.0%","3.7%","0%","-",4,10,6,1,"71.4%","25.6%","0%",-1680,-1533,-27,5.1,"22.3%",530,"23.6%","19.6%",0.66,0.06
"Janna","Support",11,"40.7%","0.0%","40.7%","64%","-",0,18,108,6,"71.1%","15.0%","45%",30,-8,-3.2,0.6,"3.1%",111,"5.5%","10.6%",1.35,0.37
"Jinx","ADC",15,"55.6%","14.8%","70.4%","40%","-",56,49,57,2.3,"63.5%","20.9%","27%",-146,-92,-8.7,7.8,"31.9%",460,"24.1%","25.8%",0.19,0.12
"Kalista","ADC",6,"22.2%","0.0%","22.2%","0%","-",21,23,26,2,"70.1%","19.3%","33%",-13,-230,2.8,7.9,"32.2%",406,"23.5%","26.7%",0.13,0.12
"Kassadin","Middle",5,"18.5%","0.0%","18.5%","40%","-",20,15,19,2.6,"70.9%","21.7%","40%",4,87,-1,6,"20.1%",461,"22.9%","20.0%",0.22,0.15
"Kog'Maw","ADC",3,"11.1%","25.9%","51.9%","33%","-",8,9,13,2.3,"63.6%","15.5%","0%",-390,-92,-19,7.9,"36.9%",704,"35.6%","27.8%",0.12,0.09
"Kog'Maw","Middle",4,"14.8%","25.9%","51.9%","50%","-",19,8,17,4.5,"62.1%","11.0%","0%",-200,-65,-3.8,7.7,"31.9%",989,"41.1%","25.7%",0.16,0.09
"LeBlanc","Middle",4,"14.8%","25.9%","40.7%","25%","-",11,11,9,1.8,"58.8%","17.7%","25%",-134,-58,-5.3,6.7,"24.0%",422,"26.3%","20.6%",0.26,0.15
